#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/1/22,N,Northwestern St.,Slnd,Stephen F. Austin,A,"W, 102-96",138.1,127.4,75.7,134.7,60.5,15.9,37.5,48.4,126.8,65.1,21.1,35.7,64.2,71.6,0
2,2,12/10/22,N,Northwestern St.,Slnd,Louisiana Monroe,H,"W, 91-73",124.1,117.8,69.7,130.5,51.3,11.5,49,33.3,104.7,50,25.8,40,80.4,64.4,5
3,3,1/19/23,C,Northwestern St.,Slnd,Southeastern Louisia,A,"W, 91-81",118.7,112.9,64.5,125.3,53.7,11,34.1,36.8,111.6,45.5,11,37.2,38.8,64.2,4
4,4,2/9/23,C,Northwestern St.,Slnd,Texas A&M Commerce,A,"W, 88-82",116.8,123,69.6,126.5,62.9,11.5,31.2,43.1,117.9,54.6,24.4,50,16.9,35.5,1
5,5,1/21/23,C,Northwestern St.,Slnd,New Orleans,A,"W, 88-65",115.7,107.3,68.1,129.2,54.3,5.9,32.4,17.1,95.4,54,23.5,20,36,70.4,4
6,6,12/4/22,N,Northwestern St.,Slnd,Southern Miss,H,"W, 84-82",113.5,107.7,75.7,111,51.4,14.5,28.6,22.9,108.4,61.3,25.1,35.5,16.1,64.7,0
7,7,3/8/23,CT,Northwestern St.,Slnd,Texas A&M Corpus Chr,N,"L, 75-71",110.9,113.5,63.8,111.4,50.8,11,25.7,16.1,117.6,63.9,17.3,26.9,18.5,43.3,2
8,8,1/28/23,C,Northwestern St.,Slnd,Lamar,H,"W, 80-65",110,114.5,64.6,123.8,65.8,18.6,36,17.5,100.6,47.2,23.2,42.4,37,38.7,7
9,9,2/2/23,C,Northwestern St.,Slnd,Houston Christian,A,"W, 94-76",109.1,103,75.6,124.3,64.2,17.2,26.7,33.3,100.5,51,25.1,21.2,62,65.8,10
10,10,2/16/23,C,Northwestern St.,Slnd,Southeastern Louisia,H,"W, 81-76",107,119.2,68,119.1,55,10.3,29.7,41.7,111.7,56,20.6,33.3,22.4,22.4,-7
11,11,11/12/22,N,Northwestern St.,Slnd,Illinois St.,H,"L, 69-67",105.9,121.8,59.9,111.9,49.2,21.7,51.3,28.8,115.2,60.8,28.4,42.9,83.8,16.8,0
12,12,11/17/22,N,Northwestern St.,Slnd,Illinois St.,A,"W, 70-67",105.3,103.4,65.6,106.7,51.9,15.2,20,34,102.1,53.8,25.9,33.3,22.6,55.4,5
13,13,2/25/23,C,Northwestern St.,Slnd,Texas A&M Corpus Chr,A,"L, 83-75",105.3,109.7,72,104.2,45.6,15.3,26.5,45.6,115.3,53.8,19.4,31.2,67.3,38.3,-1
14,14,12/27/22,N,Northwestern St.,Slnd,Texas A&M,A,"L, 64-52",105.3,91.7,59,88.1,40.8,15.2,31.8,15,108.4,43,18.6,48.4,54,83.1,1
15,15,11/14/22,N,Northwestern St.,Slnd,TCU,A,"W, 64-63",105.1,87.2,67.3,95.1,50.8,19.3,25,13.6,93.6,37.3,14.9,35.9,45.8,89.5,-2
16,16,1/12/23,C,Northwestern St.,Slnd,McNeese St.,H,"W, 89-75",103.9,111,75.3,118.2,62.7,31.9,58.6,45.5,99.6,48.2,22.6,27.8,56.4,31.7,2
17,17,3/7/23,CT,Northwestern St.,Slnd,New Orleans,N,"W, 74-70",103.1,105.1,68.8,107.5,57.1,24.7,29.6,44.9,101.7,50,21.8,31,22.8,44.7,7
