#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/8/23,C,Northwestern,B10,Indiana,A,"W, 84-83",129.2,97.3,74,113.6,51.6,9.5,23.7,44.4,112.2,58.9,21.6,32.4,22.6,96.3,9
2,2,1/28/23,C,Northwestern,B10,Minnesota,H,"W, 81-61",128.7,101.5,62,130.6,59.2,6.4,26.7,20,98.3,51.1,24.2,30,59.1,93.9,13
3,3,1/25/23,C,Northwestern,B10,Nebraska,A,"W, 78-63",123.2,90.2,67.8,115.1,61.6,22.1,33.3,21.4,93,55.7,23.6,16.1,15.1,97.3,10
4,4,2/26/23,C,Northwestern,B10,Maryland,A,"L, 75-59",122.7,120.1,55.1,107.2,50,12.7,30,13.2,136.2,67.3,12.7,26.9,15.4,56.3,-4
5,5,1/23/23,C,Northwestern,B10,Wisconsin,H,"W, 66-63",120.3,106,59.6,110.8,49,10.1,26.7,35.3,105.7,47.4,11.7,27,28.1,81.1,2
6,6,12/20/22,N,Northwestern,B10,Illinois Chicago,H,"W, 92-54",120.2,89.4,70.1,131.3,57.1,12.8,45.7,21.4,77.1,47.7,30,12.5,43.2,96.8,14
7,7,1/11/23,C,Northwestern,B10,Rutgers,H,"L, 65-62",118,114.1,58.7,105.7,51,15.3,30.3,35.3,110.8,52.8,18.8,36.7,18.5,59.6,-5
8,8,2/19/23,C,Northwestern,B10,Iowa,H,"W, 80-60",114.2,79,68.1,117.6,58.2,14.7,18.8,36.4,88.2,45.4,22,26.5,29.6,98.6,10
9,9,2/15/23,C,Northwestern,B10,Indiana,H,"W, 64-62",114.1,87.5,62.6,102.3,43.9,6.4,13.9,24.6,99.1,52.2,20.8,20,44.4,95.5,9
10,10,12/4/22,C,Northwestern,B10,Michigan St.,A,"W, 70-63",114,89.2,66.1,106,50,18.2,21.4,49,95.4,49.1,19.7,24.2,21.8,94.4,1
11,11,1/31/23,C,Northwestern,B10,Iowa,A,"L, 86-70",113.8,105.9,66.1,106,50,15.1,27.3,24.1,130.2,65.4,19.7,37.5,42.3,69.5,0
12,12,1/15/23,C,Northwestern,B10,Michigan,A,"L, 85-78",113.7,105,74.4,104.8,46.9,10.8,23.1,37.5,114.2,60.7,24.2,35.5,42.9,71.5,-4
13,13,2/9/23,C,Northwestern,B10,Ohio St.,A,"W, 69-63",112.2,91.9,62.8,109.9,57.7,15.9,19.4,25,100.3,51,23.9,35.7,45.8,90.9,0
14,14,3/5/23,C,Northwestern,B10,Rutgers,A,"W, 65-53",109.5,77.2,68.5,94.9,51.9,24.8,32.4,32.1,77.3,38.2,23.3,27.5,38.2,98.2,6
15,15,1/4/23,C,Northwestern,B10,Illinois,H,"W, 73-60",109,85.5,69.9,104.5,38.7,11.4,23.7,75.5,85.9,46.6,21.5,25.7,17.2,94.3,3
16,16,2/23/23,C,Northwestern,B10,Illinois,A,"L, 66-62",107.6,89.4,66.3,93.5,42.1,15.1,28.6,19,99.5,51,24.1,34.5,42,89.5,8
17,17,11/15/22,N,Northwestern,B10,Georgetown,A,"W, 75-63",107.4,95.6,67.7,110.7,50.7,22.1,45.5,17.9,93,48.2,19.2,20,17.5,79.3,3
18,18,2/5/23,C,Northwestern,B10,Wisconsin,A,"W, 54-52",107.3,88.5,56.7,95.2,51.1,19.4,24,28.9,91.7,47,15.9,20.6,22,90.1,3
19,19,3/1/23,C,Northwestern,B10,Penn St.,H,"L, 68-65",106.6,95.4,56,103.2,44.8,7.9,29.5,9,107.9,58.7,20.6,22.6,25,78.2,3
20,20,11/7/22,N,Northwestern,B10,Chicago St.,H,"W, 85-54",106,83,70.9,119.9,51.8,19.8,37.1,57.1,76.2,32.5,16.9,28.6,28.6,94.3,13
21,21,12/17/22,N,Northwestern,B10,DePaul,H,"W, 83-45",104.5,66.3,74,112.2,53,16.2,28.2,20.9,60.8,36.5,29.7,13.5,17.3,99.5,13
22,22,2/12/23,C,Northwestern,B10,Purdue,H,"W, 64-58",102.2,82,65.4,97.8,44.6,13.8,25.7,35.7,88.6,41.5,24.4,30,51.1,92.6,-5
23,23,11/22/22,N,Northwestern,B10,Liberty,N,"W, 66-52",102,80.5,65.1,101.3,49,20,29,41.2,79.8,43,27.6,22.6,18,93.9,-1
24,24,12/29/22,N,Northwestern,B10,Brown,H,"W, 63-58",96.4,90.8,67.2,93.7,37.9,20.8,35.9,36.2,86.3,52.2,25.3,20,48.9,66.5,3
25,25,3/10/23,CT,Northwestern,B10,Penn St.,N,"L, 67-65",96.2,86,61.7,93.7,36.4,5.8,28.3,31.8,96.6,48,21.6,24.2,56.9,78.5,-1
26,26,11/28/22,N,Northwestern,B10,Pittsburgh,H,"L, 87-58",95.6,119.6,64.5,89.9,42.6,17.1,31.7,21.3,134.9,61.1,15.5,43.3,50,7,-9
