#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Notre Dame,ACC,Virginia Tech,H,"L, 93-87",134.1,130.6,65.6,132.6,65.3,9.1,21.4,11.3,141.8,65.2,7.6,25.9,44.6,57.5,-1
2,2,1/14/23,C,Notre Dame,ACC,Syracuse,A,"L, 78-73",126.9,122,59,123.8,58.5,8.5,24.2,8.5,132.3,58.2,10.2,32.3,32.7,61.2,3
3,3,3/1/23,C,Notre Dame,ACC,Pittsburgh,H,"W, 88-81",125.6,102.5,71.4,123.2,58.5,12.6,14.3,58.5,113.4,50,11.2,35.6,59,91.3,10
4,4,11/30/22,N,Notre Dame,ACC,Michigan St.,H,"W, 70-52",125.1,78.5,60.8,115.1,60.2,9.9,13.3,14.8,85.5,42.6,13.2,10.3,11.1,99.5,13
5,5,1/24/23,C,Notre Dame,ACC,North Carolina St.,A,"L, 85-82",121.4,107.9,71.4,114.8,60.2,21,27.6,38.9,119,45.6,2.8,25,39.7,79.4,-2
6,6,11/13/22,N,Notre Dame,ACC,Youngstown St.,H,"W, 88-81",118.4,110.9,69.9,125.8,67.3,20,30.4,27.3,115.8,56.2,12.9,24.2,15.4,68,4
7,7,12/7/22,N,Notre Dame,ACC,Boston University,H,"W, 81-75",118.1,119.1,67.5,120,57.5,11.9,16.7,45.3,111.1,54.2,16.3,27.8,27.1,47.4,8
8,8,11/10/22,N,Notre Dame,ACC,Radford,H,"W, 79-76",117.6,120.6,65.3,121,60.4,15.3,24,52.1,116.4,52.3,9.2,27.8,18.5,43,-2
9,9,1/28/23,C,Notre Dame,ACC,Louisville,H,"W, 76-62",117,98.3,63,120.6,53.1,4.8,22.9,15.6,98.4,53.7,19,23.3,13,88.1,15
10,10,12/21/22,C,Notre Dame,ACC,Florida St.,A,"L, 73-72",115.5,117.9,61.5,117.1,59.1,11.4,18.5,16.4,118.8,53.5,8.1,23.3,24.6,44.3,-1
11,11,12/11/22,N,Notre Dame,ACC,Marquette,H,"L, 79-64",113.3,112.3,61.4,104.2,50.9,16.3,25.7,21.8,128.6,52.2,4.9,39.5,19.4,52.5,-6
