#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/2/23,CT,Oakland,Horz,Northern Kentucky,A,"L, 81-74",119.4,128.4,63.6,116.3,58.3,11,7.4,45.8,127.3,61.8,15.7,32.3,52.9,30.1,-6
2,2,2/4/23,C,Oakland,Horz,Cleveland St.,H,"W, 92-89",113.2,116.6,70.2,116.5,50,21.5,46.7,67.2,112.7,52.2,17.7,39.5,31.9,41.6,-4
3,3,2/11/23,C,Oakland,Horz,Milwaukee,A,"L, 80-77",111.8,113.1,62,110.5,47.9,14.3,34.1,12.7,114.8,56.8,20.1,41.4,25.4,46.8,6
4,4,1/27/23,C,Oakland,Horz,Youngstown St.,A,"L, 77-73",111.8,114.4,62.9,116,64,17.5,12.5,24,122.4,61.3,17.5,33.3,28.3,43.4,-3
5,5,12/29/22,C,Oakland,Horz,Milwaukee,H,"W, 83-61",111.3,94.4,69.6,119.3,57.9,11.5,19.2,40.4,87.6,42.7,21.6,33.3,14.5,86.9,8
6,6,11/16/22,N,Oakland,Horz,Toledo,A,"L, 112-90",110.6,124.9,77.9,115.6,51.3,7.7,21.7,21.3,143.8,72.2,11.6,35.5,20.8,19.8,-16
7,7,1/8/23,C,Oakland,Horz,Wright St.,A,"W, 75-73",109.8,107.9,67.8,110.6,56.5,11.8,16.7,8.1,107.6,51.5,19.2,41,13.4,55,-1
8,8,2/25/23,C,Oakland,Horz,Northern Kentucky,H,"L, 78-69",108.6,121.5,65.1,106,49,12.3,19.2,50,119.8,62.3,29.2,50,14,21.6,-3
9,9,11/19/22,N,Oakland,Horz,Eastern Michigan,H,"W, 92-90",108.1,115.4,70.6,115.8,63.1,16.4,17.2,36.1,113.2,54.5,15.1,25.7,29.9,32.1,7
10,10,11/11/22,N,Oakland,Horz,Bowling Green,H,"L, 87-82",107,125.2,70.9,115.6,56,14.1,24.2,41.4,122.7,53.8,21.1,51.3,33.8,14,-2
11,11,11/27/22,N,Oakland,Horz,Missouri St.,N,"L, 76-64",106.4,116.4,63.5,100.8,56,22,20.7,24,119.7,59,14.2,31.2,11.5,26.1,-2
12,12,12/31/22,C,Oakland,Horz,Green Bay,H,"W, 81-65",106.2,109.9,68.6,118.1,59.1,13.1,24,34.5,94.8,45.7,20.4,25,22.4,40.4,10
13,13,1/23/23,C,Oakland,Horz,Detroit,A,"W, 76-67",106.2,93.3,67.1,113.3,52,11.9,23.1,58,99.9,44.8,14.9,31.6,10.4,81.5,7
14,14,1/12/23,C,Oakland,Horz,Robert Morris,H,"W, 69-65",104.1,104.6,66.4,103.9,52.9,16.6,21.9,41.2,97.9,46.8,24.1,40.5,12.7,48.5,4
15,15,1/6/23,C,Oakland,Horz,Northern Kentucky,A,"W, 64-63",103.1,101,63.3,101,46.2,20.5,32.4,34,99.5,48.1,15.8,22.6,28.3,55.9,-3
16,16,11/26/22,N,Oakland,Horz,San Jose St.,N,"L, 80-67",101.5,117.2,66.2,101.3,44.7,12.1,20,31.6,120.9,63.4,18.1,26.9,17.9,16.1,-11
17,17,11/13/22,N,Oakland,Horz,Oklahoma St.,H,"L, 91-62",100.5,119,72.4,85.6,40,17.9,20.5,25,125.6,64.1,13.8,20.7,15.6,12.6,-10
18,18,1/19/23,C,Oakland,Horz,IUPUI,A,"W, 83-77",98.9,111.3,66.4,111.1,53.3,18.7,35.3,45,103.1,50,17.4,31.4,24.6,20.4,3
