#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/23/22,N,Ohio St.,B10,Texas Tech,N,"W, 80-73",139.7,109.5,61.9,129.3,59.6,16.2,36,34.6,118,55.5,16.2,34.6,23.6,94.2,6
2,2,11/22/22,N,Ohio St.,B10,Cincinnati,N,"W, 81-53",137.5,87,60.3,134.2,51.6,9.9,52.8,28.1,87.8,42.3,23.2,34.3,28.8,99.5,9
3,3,2/23/23,C,Ohio St.,B10,Penn St.,H,"L, 75-71",130.2,121.5,55.5,128,52.4,1.8,38.2,9.5,135.2,61.5,7.2,23.1,28.8,68.9,-1
4,4,12/21/22,N,Ohio St.,B10,Maine,H,"W, 95-61",129.7,99.2,68.6,138.5,67.2,10.2,37,10.4,88.9,43.8,19,25.6,9.4,95.6,16
5,5,3/4/23,C,Ohio St.,B10,Michigan St.,A,"L, 84-78",129.7,121.2,64.6,120.7,57.8,12.4,23.3,20.7,130,66,12.4,21.4,37.7,68.5,-7
6,6,3/1/23,C,Ohio St.,B10,Maryland,H,"W, 73-62",129.5,94.5,60.8,120,53,19.7,36,40,102,51,16.4,25.8,30,97.4,8
7,7,1/5/23,C,Ohio St.,B10,Purdue,H,"L, 71-69",127.6,102.9,60,114.9,55.2,11.7,30,12.1,118.3,54.3,23.3,47.1,17.2,92.3,3
8,8,1/1/23,C,Ohio St.,B10,Northwestern,A,"W, 73-57",127.2,75.5,67.8,107.7,51.8,17.7,30.3,35.7,84.1,35.1,10.3,28,25.4,99.8,17
9,9,1/21/23,C,Ohio St.,B10,Iowa,H,"W, 93-77",126.7,97.9,70.9,131.2,62.5,15.5,38.7,26.6,108.7,54.2,19.8,29.4,23.3,95.1,5
10,10,11/21/22,N,Ohio St.,B10,San Diego St.,N,"L, 88-77",123.2,113.9,71.8,107.2,47.7,11.1,21.1,22.7,122.5,59,9.7,21.2,32.8,71.2,-7
11,11,3/10/23,CT,Ohio St.,B10,Michigan St.,N,"W, 68-58",122,89.8,60.1,113.1,53.6,8.3,24.2,21.4,96.5,40.9,13.3,28.6,32.7,97.2,5
12,12,12/8/22,C,Ohio St.,B10,Rutgers,H,"W, 67-66",121,103.4,63.8,105.1,53.6,22,38.2,21.4,103.5,56.5,20.4,21.4,14.8,86,2
13,13,11/7/22,N,Ohio St.,B10,Robert Morris,H,"W, 91-53",120.4,90.9,70,130,63.9,20,50,34.4,75.7,34.9,15.7,27.7,27,96.2,10
14,14,12/3/22,N,Ohio St.,B10,St. Francis PA,H,"W, 96-59",119.7,99.2,67.9,141.3,60.1,10.3,45.9,26.1,86.8,45.8,16.2,14.3,11.9,89.7,12
15,15,1/8/23,C,Ohio St.,B10,Maryland,A,"L, 80-73",119.6,107.9,67.3,108.4,51.8,17.8,21.2,34.5,118.8,51,17.8,42.4,63.5,76.7,-3
16,16,1/28/23,C,Ohio St.,B10,Indiana,A,"L, 86-70",118.5,119,65.1,107.6,48.3,12.3,33.3,32.2,132.2,57.8,13.8,41.7,26.6,48.8,-8
17,17,3/8/23,CT,Ohio St.,B10,Wisconsin,N,"W, 65-57",118.5,83.4,63.5,102.3,59.1,25.2,29.2,45.5,89.7,37.7,15.7,34.9,29.5,98.3,13
