#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/28/23,N,Oklahoma St.,B12,Mississippi,H,"W, 82-60",127.5,94.5,64.6,127,58.8,20.1,42.3,49,93,39.8,13.9,33.3,17.2,96.9,10
2,2,12/31/22,C,Oklahoma St.,B12,Kansas,A,"L, 69-67",126.6,98.9,62,108.1,54.6,21,29.4,20.4,111.3,56.2,19.4,33.3,17.9,94.4,4
3,3,2/14/23,C,Oklahoma St.,B12,Kansas,H,"L, 87-76",124.8,115,69.3,109.6,57.4,21.6,38.7,40.7,125.5,60,14.4,32.3,20,71.9,-4
4,4,3/4/23,C,Oklahoma St.,B12,Texas Tech,A,"W, 71-68",121.5,94.2,65,109.2,54.1,18.5,34.3,16.4,104.6,50,15.4,28.6,15,94.9,6
5,5,12/6/22,N,Oklahoma St.,B12,Sam Houston St.,H,"W, 65-51",118.5,88.1,59.4,109.5,56.1,28.6,50,28.6,85.9,40.8,18.5,25.8,34.7,96.8,6
6,6,11/27/22,N,Oklahoma St.,B12,Prairie View A&M,H,"W, 78-53",117.6,102.5,63.4,123.1,60.2,17.4,50,42.6,83.6,43,23.7,27.8,14,82.8,5
7,7,2/1/23,C,Oklahoma St.,B12,Oklahoma,A,"W, 71-61",116.9,78.9,69.2,102.6,46.3,15.9,35,17.9,88.2,40.2,18.8,17.6,71.7,98.9,12
8,8,2/4/23,C,Oklahoma St.,B12,TCU,H,"W, 79-73",116.8,87.6,76.1,103.8,59.6,21,22.2,29.8,96,46.8,19.7,22.9,27.4,96.5,9
9,9,1/24/23,C,Oklahoma St.,B12,Texas,A,"L, 89-75",116.2,105.5,74.7,100.5,49.2,21.4,28.9,32.8,119.2,57.9,24.1,46.7,47.4,75.2,-7
10,10,11/13/22,N,Oklahoma St.,B12,Oakland,A,"W, 91-62",114.8,90.8,72.4,125.6,64.1,13.8,20.7,15.6,85.6,40,17.9,20.5,25,93.6,10
11,11,2/18/23,C,Oklahoma St.,B12,TCU,A,"L, 100-75",113.7,119.9,75.4,99.4,55.6,22.5,21.2,40.7,132.5,75.4,21.2,33.3,38.6,35.1,-12
12,12,11/20/22,N,Oklahoma St.,B12,DePaul,N,"W, 82-78",113,100.7,74,110.8,52.6,23,50,48.3,105.4,44.7,18.9,35.1,57.9,79.1,7
13,13,2/8/23,C,Oklahoma St.,B12,Texas Tech,H,"W, 71-68",111.8,94.2,67.8,104.7,48.3,14.7,37.8,40.7,100.3,51.8,23.6,26.7,19.6,87.8,4
14,14,2/27/23,C,Oklahoma St.,B12,Baylor,H,"L, 74-68",109,107.5,61.4,110.8,46.3,16.3,53.7,13.2,120.5,51.8,17.9,41.9,36.4,54,-10
15,15,2/25/23,C,Oklahoma St.,B12,Kansas St.,H,"L, 73-68",108,96.2,70.7,96.2,45.5,15.6,19.4,41.1,103.2,57.1,22.6,14.8,40.8,79.2,0
16,16,12/20/22,N,Oklahoma St.,B12,Texas A&M Corpus Chr,H,"W, 81-58",106.6,76.9,74,109.5,62.3,21.6,22.2,22.8,78.4,39.2,17.6,18.6,15.4,97.7,16
17,17,2/11/23,C,Oklahoma St.,B12,Iowa St.,A,"W, 64-56",105.9,81.7,67.3,95.1,56.8,23.8,11.1,45.5,83.3,41.2,17.8,24.4,33.3,95.2,-1
18,18,1/2/23,C,Oklahoma St.,B12,West Virginia,H,"W, 67-60",105.4,79.4,67.7,99,52.9,20.7,20,32.7,88.6,41.3,22.2,35.1,53.8,96.3,5
19,19,12/1/22,N,Oklahoma St.,B12,Connecticut,A,"L, 74-64",104.7,96.4,67.3,95,42.9,25.2,37.1,33.9,109.9,44.6,10.4,33.3,58.9,72.3,-9
20,20,1/18/23,C,Oklahoma St.,B12,Oklahoma,H,"W, 72-56",104.5,82,69.9,102.9,48.4,10,23.7,27,80.1,44.6,20,9.7,14.3,94.2,2
21,21,11/25/22,N,Oklahoma St.,B12,Tulsa,H,"W, 82-56",104.3,81.4,73.8,111.1,55.3,17.6,32.4,21.2,75.9,41.7,25.8,29.5,6.1,94.5,15
22,22,1/21/23,C,Oklahoma St.,B12,Iowa St.,H,"W, 61-59",103.9,92,64,95.3,54.9,25,20,68.3,92.2,41.3,15.6,37.5,19,80.2,-6
23,23,11/7/22,N,Oklahoma St.,B12,UT Arlington,H,"W, 77-66",101.4,89.5,76.3,100.9,48.3,22.3,36.8,45,86.4,39,24.9,33.3,42.4,80.8,10
24,24,2/20/23,C,Oklahoma St.,B12,West Virginia,A,"L, 85-67",101.2,105,71.5,93.7,40.4,25.2,37.1,65.4,118.9,49.2,12.6,41.5,37.9,39.8,-12
25,25,12/17/22,N,Oklahoma St.,B12,Wichita St.,N,"W, 59-49",99.3,72.7,63.6,92.7,49,22,24.1,31.2,77,37.5,17.3,15.2,28.8,97.3,8
26,26,3/8/23,CT,Oklahoma St.,B12,Oklahoma,N,"W, 57-49",98.1,72.3,63.5,89.7,39.2,14.2,32.6,26.7,77.1,30.4,14.2,22.2,35.7,97.1,6
27,27,12/11/22,N,Oklahoma St.,B12,Virginia Tech,N,"L, 70-65",95.9,93.6,68.7,94.6,46.4,24.7,29.7,34.5,101.9,44.7,14.6,28.9,42.1,57,-3
28,28,11/10/22,N,Oklahoma St.,B12,Southern Illinois,H,"L, 61-60",94.9,93.7,67.5,88.9,45.6,20.8,29.7,28.1,90.4,45.8,13.3,13.5,11.7,53.8,3
29,29,1/10/23,C,Oklahoma St.,B12,Kansas St.,A,"L, 65-57",93.2,83.5,70.7,80.7,37.1,22.6,34.9,13.6,92,43.2,22.6,34.1,32.2,78,-2
30,30,1/14/23,C,Oklahoma St.,B12,Baylor,A,"L, 74-58",91.1,97.3,65.1,89.1,44.2,15.4,21.1,13.3,113.6,54.6,16.9,33.3,40.7,31.9,-13
31,31,11/18/22,N,Oklahoma St.,B12,UCF,N,"L, 60-56",85.7,74.8,65.1,76.5,31,24.6,38.1,41.4,81.9,38.1,28.7,33.3,28.8,82.7,7
32,32,1/7/23,C,Oklahoma St.,B12,Texas,H,"L, 56-46",79.1,76.7,66,69.7,37,27.3,25,45.7,84.9,36.1,22.7,31.6,38.9,58.9,-5
33,33,3/9/23,CT,Oklahoma St.,B12,Texas,N,"L, 61-47",77.4,80.8,68.4,68.7,29.8,29.2,35.7,48.1,89.1,44.1,19,16.7,41.2,37.9,-9
