#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/31/22,C,Oregon St.,P12,Oregon,A,"L, 77-68",122,116.1,59.5,114.2,55,11.8,15.4,30,129.4,52.6,13.4,50,40.4,63.9,-5
2,2,2/25/23,C,Oregon St.,P12,Oregon,H,"L, 69-67",118,111.3,58,115.4,54.2,13.8,25.8,43.8,118.9,48.3,10.3,35.1,25.9,66.4,-3
3,3,1/14/23,C,Oregon St.,P12,Arizona St.,H,"L, 74-69",117.1,109.1,65.7,105,51.8,24.3,39.4,25,112.6,57.1,19.8,33.3,55.1,69.3,3
4,4,1/22/23,C,Oregon St.,P12,California,A,"W, 68-48",112.6,90.9,59.3,114.7,67,18.6,23.1,12,81,40.6,23.6,22.6,25,92.2,7
5,5,12/4/22,C,Oregon St.,P12,USC,A,"L, 63-62",111.2,92.3,61.4,101,51.9,24.4,33.3,15.4,102.6,50,9.8,16.7,42,89.5,4
6,6,11/25/22,N,Oregon St.,P12,Florida,N,"L, 81-68",107.4,126.8,65.4,104,53.6,13.8,22.9,28.6,123.9,64.2,13.8,13,28.3,12.9,-16
7,7,3/2/23,C,Oregon St.,P12,Stanford,H,"L, 83-60",105.4,122.2,60,99.9,40.6,18.3,34.3,34,138.2,70.6,11.7,28,35.3,15.5,-6
8,8,12/15/22,N,Oregon St.,P12,Seattle,H,"W, 73-58",104.7,96.9,68,107.4,56.1,20.6,27.3,44.9,85.3,42,22.1,32.4,35.7,70.9,-1
9,9,1/28/23,C,Oregon St.,P12,Colorado,H,"W, 60-52",104.6,89.9,60.4,99.4,45.7,21.5,33.3,46.8,86.1,40.8,21.5,37.5,11.7,85.2,0
10,10,11/24/22,N,Oregon St.,P12,Duke,N,"L, 54-51",104,89,55.3,92.2,46.5,19.9,20.7,32.6,97.6,30.8,14.5,48.9,35,85.7,0
11,11,12/1/22,C,Oregon St.,P12,Washington,H,"W, 66-65",103.9,90.8,69.3,95.3,49,24.5,26.7,46.9,93.8,47.3,18.8,18.2,29.1,82.5,7
12,12,1/12/23,C,Oregon St.,P12,Arizona,H,"L, 86-74",103.6,107,73.2,101.1,45,16.4,26.8,43.3,117.5,61.5,23.2,39.4,27.9,41,-14
13,13,2/2/23,C,Oregon St.,P12,Arizona St.,A,"L, 68-57",103.3,100.9,63.5,89.8,49,25.2,23.3,28.6,107.1,54.3,18.9,28.1,55.3,56.8,-2
14,14,1/5/23,C,Oregon St.,P12,Utah,A,"L, 79-60",103.3,113.1,65.9,91,46.7,18.2,22.2,8.3,119.8,53.5,12.1,29,35.1,26.2,-8
15,15,2/16/23,C,Oregon St.,P12,Washington St.,A,"L, 80-62",102.6,116.9,64.2,96.5,52.9,21.8,21.4,17.3,124.6,73.5,17.1,8.3,26.5,18.2,-13
16,16,3/4/23,C,Oregon St.,P12,California,H,"W, 69-66",102.3,115.3,64.8,106.4,47.9,17,28,61.7,101.8,51,20.1,27.6,52.1,20.2,-5
17,17,12/11/22,N,Oregon St.,P12,Texas A&M,A,"L, 72-54",99.3,99.6,63,85.6,45.2,19,17.6,21.2,114.2,53,19,36.7,50,49.2,-7
18,18,2/11/23,C,Oregon St.,P12,USC,H,"W, 61-58",98.4,83.8,65.2,93.6,35.9,12.3,31.2,29.7,89,33,15.3,35.9,46.4,86.3,2
19,19,3/8/23,CT,Oregon St.,P12,Arizona St.,N,"L, 63-57",94.5,93.5,66.2,86.1,36.8,18.1,31.2,41.5,95.1,44,18.1,33.3,32.8,53.2,-4
20,20,11/7/22,N,Oregon St.,P12,Tulsa,H,"W, 73-70",93.7,107.9,71.3,102.4,56,26.7,37.5,42,98.2,43.2,16.8,35,27.3,16.4,-6
21,21,2/4/23,C,Oregon St.,P12,Arizona,A,"L, 84-52",91.2,106.4,65.6,79.3,41.1,22.9,21.2,55.6,128,55,18.3,48.6,43.3,14.4,-14
