#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/18/23,C,Oregon,P12,California,A,"W, 87-58",139.8,108.8,60.6,143.5,68.3,8.2,28.6,36.5,95.7,43.6,14.8,23.5,20,94.7,10
2,2,12/31/22,C,Oregon,P12,Oregon St.,H,"W, 77-68",129.7,123.4,59.5,129.4,52.6,13.4,50,40.4,114.2,55,11.8,15.4,30,64,5
3,3,2/9/23,C,Oregon,P12,USC,H,"W, 78-60",127.5,86.3,64.8,120.3,59.6,17,30.8,34.6,92.5,44.6,18.5,25.7,26.8,98.9,12
4,4,3/2/23,C,Oregon,P12,California,H,"W, 84-51",127.3,98.3,61.9,135.7,61.3,11.3,50,21,82.4,37,14.5,16.7,25.9,95.1,10
5,5,11/27/22,N,Oregon,P12,Villanova,N,"W, 74-67",126.3,101.5,61.1,121.1,53.4,18,44.4,27.1,109.6,49.1,11.5,27.8,24.6,92.5,5
6,6,2/25/23,C,Oregon,P12,Oregon St.,A,"W, 69-67",124.3,119.4,58,118.9,48.3,10.3,35.1,25.9,115.4,54.2,13.8,25.8,43.8,61.4,3
7,7,1/14/23,C,Oregon,P12,Arizona,H,"W, 87-68",123.9,86.2,72.5,120.1,61.7,22.1,40.6,15.6,93.8,44.5,22.1,31,20.3,98.5,5
8,8,3/9/23,CT,Oregon,P12,Washington St.,N,"W, 75-70",122.9,97.8,66.1,113.5,50,13.6,30.6,31.7,105.9,54.8,16.6,17.2,28.8,93.2,5
9,9,1/28/23,C,Oregon,P12,Utah,H,"W, 68-56",121.5,90.6,60.7,112.1,53.4,18.1,36.7,15.5,92.3,35.1,9.9,30.2,33.3,96.7,8
10,10,12/10/22,N,Oregon,P12,Nevada,H,"W, 78-65",121.2,88.2,69.3,112.5,55.1,15.9,27.8,32.2,93.7,38.6,10.1,22.7,21.2,97.5,11
11,11,11/25/22,N,Oregon,P12,Michigan St.,N,"L, 74-70",120.1,105,64.2,108.9,50.8,15.6,33.3,12.7,115.2,51.6,12.5,32.4,19.7,82.4,0
12,12,2/2/23,C,Oregon,P12,Arizona,A,"L, 91-76",117.2,111.5,70.5,107.8,48.4,17,30.8,28.6,129.1,62.1,15.6,34.5,37.9,63.9,-11
13,13,11/15/22,N,Oregon,P12,Montana St.,H,"W, 81-51",116.6,79.9,69.2,117,63.3,20.2,34.4,21.7,73.7,35.6,20.2,21.6,15.3,98.7,9
