#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Pacific,WCC,Loyola Marymount,A,"L, 90-88",136.1,124.9,67.2,131,69.2,11.9,12,44.2,134,63.3,11.9,38.7,36.7,72.7,6
2,2,1/28/23,C,Pacific,WCC,Santa Clara,A,"W, 95-89",128,105.3,78.5,121.1,66.9,15.3,12.9,27.4,113.4,57.8,12.7,21.9,39.1,90.4,4
3,3,1/21/23,C,Pacific,WCC,Gonzaga,H,"L, 99-90",127.2,111.2,74.3,121,54.8,8.1,18.2,36.5,133.2,63.5,10.8,35.7,46,82.4,-3
4,4,11/15/22,N,Pacific,WCC,North Dakota,A,"W, 93-63",119.9,90.5,71.9,129.4,71.3,11.1,7.7,16.4,87.7,42.9,20.9,36.4,33.3,96.2,14
5,5,12/10/22,N,Pacific,WCC,Fresno St.,H,"W, 76-72",119.6,111.6,65.6,115.9,57.3,19.8,34.5,29.1,109.8,59.6,19.8,25.9,30.8,68.9,3
6,6,2/11/23,C,Pacific,WCC,San Diego,H,"W, 99-94",118.9,117.7,76.7,129.2,69.7,15.7,30,21.2,122.6,60.3,13,25,20.6,52.9,5
7,7,3/2/23,CT,Pacific,WCC,Pepperdine,N,"W, 84-71",117,98.9,71.2,118,60.3,12.6,20,20.6,99.8,53.5,18.3,16.7,22.8,87.4,9
8,8,11/13/22,N,Pacific,WCC,North Dakota St.,A,"W, 91-86",116.3,106.3,78.9,115.4,57.1,10.1,9.4,39.7,109,56.9,24.1,32.4,43.1,73.8,8
9,9,11/18/22,N,Pacific,WCC,Cal St. Fullerton,H,"L, 94-91",113.3,111.6,67.7,107.5,48.6,14.2,28.3,40.3,111.1,50,15.4,42.9,56.2,54.4,1
10,10,1/14/23,C,Pacific,WCC,Santa Clara,H,"L, 92-81",110,116.1,75.7,107,51.6,13.2,17.5,37.1,121.5,54.3,15.8,44.1,29,34.9,-7
11,11,2/2/23,C,Pacific,WCC,Pepperdine,H,"W, 81-72",108.6,98.6,73.2,110.7,45.9,6.8,29.8,26,98.4,50.8,21.9,29.4,14.3,75.3,7
12,12,2/25/23,C,Pacific,WCC,Portland,H,"W, 81-77",107.5,105.5,70.9,114.2,53.3,8.5,16.1,35,108.5,50,15.5,29.4,39,55.6,1
13,13,11/25/22,N,Pacific,WCC,Idaho,H,"L, 84-81",106.6,128,68.9,117.5,53.5,13.1,25.8,43.9,121.8,60.3,14.5,31,32.8,10.9,-3
14,14,12/3/22,N,Pacific,WCC,UC Santa Barbara,A,"L, 82-71",106.4,112.3,67.3,105.5,50.8,19.3,38.5,27.9,121.8,65.2,19.3,33.3,32.1,34.8,-5
15,15,1/5/23,C,Pacific,WCC,San Diego,A,"W, 84-82",105.6,103,74.8,112.3,59.2,16,21.2,35,109.6,50.7,9.4,22.5,23.2,57.1,2
16,16,2/16/23,C,Pacific,WCC,San Francisco,H,"L, 76-68",105.3,108.6,66.4,102.4,56.4,22.6,20.7,40.4,114.5,52,27.1,48.5,60.8,41.3,-2
17,17,12/31/22,C,Pacific,WCC,Loyola Marymount,H,"W, 78-72",105.1,92.8,74.7,104.5,54.8,24.1,25.9,46.2,96.4,45.2,17.4,29.7,37.1,80.7,6
18,18,11/7/22,N,Pacific,WCC,Stanford,A,"L, 88-78",104.2,106.4,75.4,103.4,50,15.9,23.1,20.9,116.7,68.8,21.2,21.4,70.8,44,-8
19,19,12/20/22,N,Pacific,WCC,Lamar,A,"W, 74-65",102.7,98.5,69,107.2,58.8,26.1,31.2,19.3,94.2,41.4,18.8,39.5,50,61.8,11
20,20,1/7/23,C,Pacific,WCC,Pepperdine,A,"W, 80-75",102.3,97.1,77.1,103.7,54.1,16.9,21.1,36.1,97.3,43.5,19.5,31.7,46.8,64.5,1
21,21,2/4/23,C,Pacific,WCC,BYU,A,"L, 81-66",102.2,107.7,70.6,93.5,44.2,25.5,33.3,46.2,114.7,51.6,12.7,34.1,42.9,35.2,-7
22,22,2/9/23,C,Pacific,WCC,Portland,A,"L, 81-73",102.2,102.6,71.9,101.5,49.2,12.5,15.8,25.8,112.7,51.8,12.5,23.7,57.1,49,0
23,23,12/1/22,N,Pacific,WCC,UC Davis,A,"W, 74-72",102,99.6,73.2,101.1,44.9,15,31.8,25,98.4,49.1,17.8,28.9,52.6,57,-3
24,24,12/17/22,N,Pacific,WCC,San Jose St.,H,"W, 59-58",98.9,98.4,58.6,100.7,53.9,12,13.3,15.7,99,57.3,30.7,35.7,14.6,51.5,-6
25,25,3/3/23,CT,Pacific,WCC,San Francisco,N,"L, 80-63",95.1,104.6,70.5,89.4,44.9,15.6,15.2,53.1,113.5,57.5,18.4,23.3,26.7,25,-5
26,26,11/22/22,N,Pacific,WCC,Mount St. Mary's,H,"L, 69-65",93.1,111.4,67.9,95.8,42.7,17.7,35,29,101.7,50.8,19.2,34.2,21.3,11.2,-4
27,27,12/6/22,N,Pacific,WCC,Northern Arizona,H,"L, 73-69",92.8,103.4,69.6,99.1,44,20.1,29,60,104.9,50,18.7,29.4,36.8,22.3,-2
28,28,11/28/22,N,Pacific,WCC,Cal Poly,H,"L, 62-58",92.4,103.8,65.1,89.1,50,23,13.3,33.3,95.2,47.1,20,25.8,31.4,20.7,5
29,29,2/23/23,C,Pacific,WCC,Saint Mary's,A,"L, 83-52",91.4,107.4,68.9,75.4,37.8,27.6,16.7,44.4,120.4,55.9,8.7,24.2,44.1,13.6,-15
30,30,1/19/23,C,Pacific,WCC,San Francisco,A,"L, 78-57",85.9,105.5,69.2,82.4,34.7,15.9,25.6,37.3,112.8,65.2,24.6,25.9,10.7,8.5,-12
31,31,12/29/22,C,Pacific,WCC,BYU,H,"L, 69-49",75.2,93.8,70.3,69.7,37.5,19.9,20.5,32.1,98.1,52.9,29.9,33.3,32.7,7.3,-9
