#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/14/23,C,Penn St.,B10,Illinois,H,"W, 93-81",142.1,109.3,70.8,131.4,68.4,9.9,10.7,33.3,114.5,53.3,11.3,20.6,32.8,95.3,9
2,2,2/23/23,C,Penn St.,B10,Ohio St.,A,"W, 75-71",140.4,115.2,55.5,135.2,61.5,7.2,23.1,28.8,128,52.4,1.8,38.2,9.5,90.7,1
3,3,1/29/23,C,Penn St.,B10,Michigan,H,"W, 83-61",135.9,91.6,63.8,130.1,65.8,14.1,25.9,17.5,95.6,47.5,12.5,19.4,13.6,98.9,12
4,4,1/11/23,C,Penn St.,B10,Indiana,H,"W, 85-66",134.4,97.7,65.2,130.3,69.5,10.7,10.7,6.8,101.2,47.5,16.9,33.3,30.5,97.5,7
5,5,3/9/23,CT,Penn St.,B10,Illinois,N,"W, 79-76",127.4,106.1,67.7,116.6,58.9,14.8,32.3,39.3,112.2,50,10.3,31.4,29.7,89.2,3
6,6,12/18/22,N,Penn St.,B10,Canisius,H,"W, 97-67",126.8,110.5,68.7,141.2,67.4,4.4,21.9,11.6,97.5,45.1,18.9,32.5,26.2,83,6
7,7,11/10/22,N,Penn St.,B10,Loyola MD,H,"W, 90-65",125.4,109.4,65,138.5,71.9,12.3,19.2,19.3,100,51.8,13.8,15.2,17.9,82.8,12
8,8,12/10/22,C,Penn St.,B10,Illinois,A,"W, 74-59",125.2,89.2,63.7,116.1,61.1,14.1,10.7,18.5,92.6,51,18.8,23.3,23.1,98,6
9,9,11/29/22,N,Penn St.,B10,Clemson,A,"L, 101-94",123.4,109.5,67.3,111.7,48.6,13.1,27.9,40.8,120,59.5,11.9,16.2,58.7,80,1
10,10,3/11/23,CT,Penn St.,B10,Indiana,N,"W, 77-73",121.9,96.3,68.8,111.9,47.4,11.6,28.1,45.6,106.1,48.5,7.3,19.4,16.7,93.8,5
11,11,1/1/23,C,Penn St.,B10,Iowa,H,"W, 83-79",120.9,95.6,70,118.5,62.7,12.9,7.7,29.1,112.8,50,10,26.3,34.9,93.7,9
