#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Penn,Ivy,Brown,H,"W, 90-69",128.8,97,73.1,123.1,65.1,23.2,48.1,17.5,94.4,43.1,12.3,19.1,29.2,96.3,16
2,2,12/10/22,N,Penn,Ivy,Temple,H,"W, 77-57",123.7,99.9,60.2,128,54.1,11.6,42.4,21.3,94.7,49,24.9,35.5,26,92.1,3
3,3,11/11/22,N,Penn,Ivy,Missouri,A,"L, 92-85",123.6,113.1,70.3,120.9,62.7,27,43.3,18.6,130.9,59,12.8,33.3,42.6,73.6,-2
4,4,1/28/23,C,Penn,Ivy,Harvard,H,"W, 83-68",123,102.4,69.7,119,54.9,12.9,28.6,32.8,97.5,42.7,15.8,30.2,33.9,89.2,11
5,5,11/27/22,N,Penn,Ivy,Delaware,H,"W, 86-73",121.7,117.4,66.4,129.5,65.5,13.6,23.1,20.7,109.9,49.2,13.6,35,23.4,60.3,3
6,6,2/25/23,C,Penn,Ivy,Dartmouth,H,"W, 89-79",121.3,118.7,70.6,126.1,69.2,21.2,25,34.6,111.9,64.5,21.2,20.7,25.5,56.2,6
7,7,2/11/23,C,Penn,Ivy,Harvard,A,"W, 80-72",116.8,100,73.2,109.3,50.9,24.6,43.3,46.4,98.4,48.3,26,38.9,36.2,85.7,8
8,8,2/4/23,C,Penn,Ivy,Cornell,H,"W, 92-86",116,112.9,73.7,124.9,60.8,19,38.5,53.3,116.7,53.4,8.1,28.3,17.6,57.7,2
9,9,1/21/23,C,Penn,Ivy,Yale,A,"L, 70-63",114.6,105.3,61.2,102.9,55.8,21.2,27.6,17.3,114.4,47.5,8.2,30,24.6,72.6,1
10,10,3/11/23,CT,Penn,Ivy,Princeton,A,"L, 77-70",113.4,109.4,65.4,107.1,50.8,13.8,27,19.7,117.8,52.4,13.8,38.5,30.6,60.2,1
11,11,1/2/23,C,Penn,Ivy,Brown,A,"W, 76-68",110.7,100,71.2,106.8,55.8,19.7,21.4,42.3,95.6,43.3,22.5,40,41.7,76.3,2
12,12,11/26/22,N,Penn,Ivy,Colgate,H,"W, 81-69",110.3,97.9,69,117.4,70.8,27.5,30,13.2,100,53.6,20.3,25.8,25,79.8,1
13,13,1/14/23,C,Penn,Ivy,Dartmouth,A,"L, 75-71",109.5,114.8,65.8,108,50.9,10.6,23.5,33.3,114,52.6,16.7,35.3,34.5,36.7,4
14,14,1/7/23,C,Penn,Ivy,Columbia,A,"W, 84-55",109.1,89.5,70.9,118.4,66.4,24,25,25.5,77.5,39.3,18.3,20.9,18,90.7,11
15,15,12/3/22,N,Penn,Ivy,La Salle,H,"L, 84-81",109,115.4,64.9,110.9,52.5,13.7,21.1,34.4,115,54.4,13.7,32.5,25,34.1,3
16,16,11/22/22,N,Penn,Ivy,Lafayette,A,"W, 74-68",107.2,106.7,62.6,105.1,47.6,11.4,26.8,40.3,96.6,44.6,14.2,17.9,41.1,51.5,2
17,17,2/17/23,C,Penn,Ivy,Yale,H,"W, 66-64",106.9,97.8,64.3,102.7,47.2,14,31.4,42.6,99.6,50,17.1,21.2,25.5,73.5,0
18,18,1/23/23,N,Penn,Ivy,Hartford,A,"W, 76-52",106.3,105.8,60.6,125.4,61.7,11.6,25.8,5,85.8,46.2,18.2,22.9,18.9,51.5,6
19,19,12/7/22,N,Penn,Ivy,Villanova,A,"L, 70-59",105.2,106.1,59.8,98.6,49,23.4,32.1,24.5,117,52,10,19.4,42,47.4,-5
20,20,2/3/23,C,Penn,Ivy,Columbia,H,"W, 74-65",104.2,106.7,67.2,110.2,48.1,22.3,44.1,57.4,96.8,42.6,10.4,25,26.2,43.2,8
21,21,11/30/22,N,Penn,Ivy,Saint Joseph's,H,"L, 85-80",103.8,106.3,69.9,101.8,49.2,22.9,35.6,43.8,108.2,53.1,12.7,22.5,38.5,43.2,6
22,22,11/13/22,N,Penn,Ivy,Towson,H,"L, 80-74",103.2,116.5,69,107.3,53.3,18.8,27.3,16.4,116,52.8,15.9,36.4,59.3,19.8,-8
23,23,11/15/22,N,Penn,Ivy,Drexel,A,"W, 64-59",100.8,86.3,68.1,94,46.4,17.6,15.2,25.5,86.7,43.1,14.7,23.8,34.5,85.7,7
24,24,11/18/22,N,Penn,Ivy,West Virginia,A,"L, 92-58",96.3,117.6,67.4,86,40.8,26.7,45.2,30,136.4,66.7,10.4,24,48.1,9.1,-17
25,25,11/25/22,N,Penn,Ivy,Hartford,H,"W, 75-55",95.9,100.8,66.4,113,56.9,15.1,21.2,22.4,82.8,36.7,7.5,23.4,25,35.9,8
26,26,3/4/23,C,Penn,Ivy,Princeton,A,"L, 77-69",94.6,88.4,70.3,87.2,43.4,12.6,16.7,22.1,97.3,43.8,11.4,19.6,23.6,68.5,7
27,27,1/6/23,C,Penn,Ivy,Cornell,A,"L, 88-69",92.3,104.6,75.5,91.4,51.9,26.5,25.8,31.5,116.6,59,17.2,24.2,37.7,19.2,-4
28,28,1/16/23,C,Penn,Ivy,Princeton,H,"L, 72-60",89,98.2,69.8,85.9,33.3,11.5,27.3,34.9,103.1,43.9,15.7,33.3,52.6,24.4,-3
29,29,11/7/22,N,Penn,Ivy,Iona,A,"L, 78-50",81.7,99.9,70.2,71.3,35.5,25.7,28.2,30.9,111.2,46.1,7.1,34,14.5,9,-10
