#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Pepperdine,WCC,Gonzaga,H,"L, 97-88",124.6,110,73.9,119,57,13.5,36.4,34.4,131.2,62.3,12.2,30.3,36.9,80.9,-3
2,2,2/9/23,C,Pepperdine,WCC,BYU,H,"W, 92-80",123.6,105.4,76.2,120.8,66.4,22.3,29.6,37.9,105,51.7,17.1,27.3,38.3,86.3,2
3,3,2/11/23,C,Pepperdine,WCC,San Francisco,A,"L, 88-80",119.7,113.1,71.2,112.4,52.5,21.1,36.4,35.6,123.6,58.3,16.9,43.3,40,65.6,0
4,4,1/14/23,C,Pepperdine,WCC,BYU,A,"L, 91-81",118,117.3,73.9,109.6,56.7,14.9,15.2,30,123.2,57.9,19,41.9,56.1,51.7,-7
5,5,11/7/22,N,Pepperdine,WCC,Rice,H,"W, 106-67",115.4,94.5,79.2,133.9,73.6,16.4,18.5,5.7,84.6,46,17.7,20,34.9,90.8,6
6,6,11/13/22,N,Pepperdine,WCC,Alabama St.,H,"W, 91-62",114.1,95.9,74.3,122.5,62.7,12.1,26.5,30.2,83.4,37,16.1,25,23.2,88.1,18
7,7,12/6/22,N,Pepperdine,WCC,Nevada,H,"L, 85-77",113.5,106.6,74.3,103.7,49.2,17.5,26.2,23.1,114.5,53.3,13.5,23.5,39.3,67.1,2
8,8,12/31/22,C,Pepperdine,WCC,Gonzaga,A,"L, 111-88",112.7,105.4,85.1,103.4,56.7,20,21.2,23.9,130.4,67.5,12.9,25,18.2,68.3,-9
9,9,2/23/23,C,Pepperdine,WCC,Santa Clara,A,"L, 91-82",112.5,108.1,77.7,105.6,55.4,12.9,11.8,20,117.2,55.3,12.9,32.5,17.3,61.3,-4
10,10,11/11/22,N,Pepperdine,WCC,Cal St. Fullerton,A,"L, 74-71",112,107.1,68.1,104.3,53.6,25,39.3,27.3,108.7,44.1,11.7,37.2,25,62.5,-1
11,11,12/3/22,N,Pepperdine,WCC,Northern Arizona,H,"W, 88-69",110.5,100,71.5,123,61.9,11.2,24.2,27,96.5,45.1,19.6,33.3,34.4,75.8,4
12,12,1/5/23,C,Pepperdine,WCC,Santa Clara,H,"L, 89-79",107.8,113.6,75.1,105.2,54,14.7,16.7,23.8,118.5,53.4,12,38.1,26,35.4,-7
13,13,1/21/23,C,Pepperdine,WCC,Portland,A,"L, 91-76",103.7,123.7,70.1,108.4,54.8,20,40,22.2,129.8,69.1,15.7,16,32.7,11.7,-13
14,14,1/12/23,C,Pepperdine,WCC,San Diego,A,"L, 92-89",103.3,114.1,78.3,113.7,62.5,17.9,27.8,31.2,117.6,58.1,16.6,31.4,27.9,24.2,-8
15,15,2/4/23,C,Pepperdine,WCC,Portland,H,"W, 94-93",101,102.3,70.4,106.9,49.4,20.5,40.4,29.1,105.7,47,19.3,35.7,60.6,46.3,-1
16,16,12/22/22,N,Pepperdine,WCC,Hawaii,A,"L, 76-70",100.3,111.2,72.2,97,47.3,19.4,19.4,36.4,105.3,53.6,26.3,45.2,45.5,23.3,-10
17,17,11/23/22,N,Pepperdine,WCC,UCLA,A,"L, 100-53",99.2,115.4,72.9,72.7,40.8,23.3,18.4,11.7,137.2,62.7,12.3,40.6,29.9,14.9,-12
18,18,12/23/22,N,Pepperdine,WCC,George Washington,N,"W, 81-70",98,89.4,76.4,106,60.7,23.6,31,19.7,91.6,45.2,17,16.2,27.4,74.2,4
19,19,3/2/23,CT,Pepperdine,WCC,Pacific,N,"L, 84-71",96.5,115.4,71.2,99.8,53.5,18.3,16.7,22.8,118,60.3,12.6,20,20.6,11.3,-9
20,20,2/2/23,C,Pepperdine,WCC,Pacific,A,"L, 81-72",96.3,107.2,73.2,98.4,50.8,21.9,29.4,14.3,110.7,45.9,6.8,29.8,26,22.5,-7
21,21,2/25/23,C,Pepperdine,WCC,Loyola Marymount,H,"L, 75-67",96,106.4,69.1,97,54.4,23.2,27.3,15.8,108.6,50.9,15.9,33.3,46.6,23.5,-5
22,22,1/28/23,C,Pepperdine,WCC,Loyola Marymount,A,"L, 84-70",95.7,106.8,74.7,93.7,43.3,13.4,13.5,31.7,112.5,60.5,21.4,29.4,45.6,22.2,-8
23,23,1/7/23,C,Pepperdine,WCC,Pacific,H,"L, 80-75",94.8,100.9,77.1,97.3,43.5,19.5,31.7,46.8,103.7,54.1,16.9,21.1,36.1,32.8,-1
24,24,12/25/22,N,Pepperdine,WCC,Iona,N,"L, 76-66",94,99.9,73.3,90,42.7,16.4,27.5,33.9,103.6,54.8,19.1,26.5,19,33.2,-8
25,25,12/17/22,N,Pepperdine,WCC,Grand Canyon,A,"L, 83-73",94,92.4,71.1,91.2,37.2,16.2,36.4,29.5,103.7,44.4,16.2,35.7,57.1,55,0
26,26,1/26/23,C,Pepperdine,WCC,San Diego,H,"L, 87-78",92.3,106.8,78,100,44.5,14.1,28.9,19.2,111.5,58.6,23.1,33.3,44.8,15.7,-4
27,27,11/19/22,N,Pepperdine,WCC,UC Irvine,H,"W, 64-55",89.6,79.5,71.4,89.6,44.9,16.8,8.3,59.2,77,32.1,21,37.3,25.4,79.7,0
28,28,12/10/22,N,Pepperdine,WCC,UC Santa Barbara,H,"L, 67-64",79.4,81.5,69.7,81.6,42.9,25.5,28.6,22.2,85.4,43.9,19.1,20,19.7,42.5,-2
29,29,1/19/23,C,Pepperdine,WCC,Saint Mary's,H,"L, 73-44",78.7,97,67.8,64.9,33,20.7,13.2,22.6,107.7,53.2,20.7,35.3,9.5,8.3,-12
