#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/28/22,N,Pittsburgh,ACC,Northwestern,A,"W, 87-58",145.6,91.5,64.5,134.9,61.1,15.5,43.3,50,89.9,42.6,17.1,31.7,21.3,99.5,9
2,2,2/25/23,C,Pittsburgh,ACC,Syracuse,H,"W, 99-82",142.1,122.7,66.4,149,58.8,7.5,47.4,32.4,123.4,58,16.6,36.7,42.9,84.5,6
3,3,2/7/23,C,Pittsburgh,ACC,Louisville,H,"W, 91-57",130.1,96.5,64,142.1,71.6,21.9,41.7,39.2,89,36.2,20.3,37.2,31,96.9,16
4,4,3/8/23,CT,Pittsburgh,ACC,Georgia Tech,N,"W, 89-81",128.6,115.5,70.4,126.3,62.7,12.8,22.2,45.5,115,51.5,11.4,30,28.8,77.4,5
5,5,1/25/23,C,Pittsburgh,ACC,Wake Forest,H,"W, 81-79",123.6,107.6,67.7,119.7,63.8,16.3,16.7,13.8,116.7,59.6,10.3,15.6,31.6,83.2,6
6,6,2/21/23,C,Pittsburgh,ACC,Georgia Tech,H,"W, 76-68",122.9,115.3,61.1,124.3,55.9,11.5,22.2,39.2,111.2,55.5,6.5,9.7,18.2,67.5,2
7,7,12/20/22,C,Pittsburgh,ACC,Syracuse,A,"W, 84-82",119,101.1,73.4,114.4,57.5,21.8,41.2,35,111.7,47.8,12.3,33.3,36.2,86.7,9
8,8,1/7/23,C,Pittsburgh,ACC,Clemson,H,"L, 75-74",118.4,109.5,65.7,112.7,50,10.7,23.7,40.4,114.2,53.8,12.2,21.2,45.3,71,-1
9,9,1/3/23,C,Pittsburgh,ACC,Virginia,H,"W, 68-65",117.4,104.1,61.5,110.6,49.1,13,29,31.5,105.7,55.5,17.9,20.7,7.3,80,-4
10,10,2/11/23,C,Pittsburgh,ACC,Florida St.,A,"W, 83-75",117.1,107.3,69.7,119.1,48.5,11.5,39.5,34.8,107.7,46.6,15.8,36.4,40.7,73.3,4
11,11,3/9/23,CT,Pittsburgh,ACC,Duke,N,"L, 96-69",116.4,136.3,65.5,105.4,47.1,15.3,29,46.2,146.6,71.6,12.2,33.3,31,14,-17
12,12,1/14/23,C,Pittsburgh,ACC,Georgia Tech,A,"W, 71-60",114.2,96.6,63,112.8,48.2,4.8,18.8,35.7,95.3,45.5,15.9,32.6,4.5,87.3,4
13,13,1/11/23,C,Pittsburgh,ACC,Duke,A,"L, 77-69",113.7,95.7,70.9,97.3,48.3,18.3,25,29.3,108.5,40.9,24,55.8,40.9,87.9,3
14,14,2/18/23,C,Pittsburgh,ACC,Virginia Tech,A,"L, 79-72",113.5,113.2,64.2,112.2,49.2,14,34.3,31.7,123.1,65.6,17.1,28,62.2,50.7,-7
15,15,3/4/23,C,Pittsburgh,ACC,Miami FL,A,"L, 78-76",112.9,100.6,68.5,110.9,56,10.2,9.7,25.9,113.8,52.7,23.3,45.2,41.8,79.1,-3
16,16,12/30/22,C,Pittsburgh,ACC,North Carolina,H,"W, 76-74",111.1,100.6,71.5,106.3,50,11.2,18.9,27,103.5,49.1,15.4,23.5,36.2,75.9,-4
17,17,2/1/23,C,Pittsburgh,ACC,North Carolina,A,"W, 65-64",109.4,92,64.8,100.3,51.8,15.4,22.6,20,98.7,38.6,13.9,41.3,33.3,88,0
18,18,3/1/23,C,Pittsburgh,ACC,Notre Dame,A,"L, 88-81",109.3,120.2,71.4,113.4,50,11.2,35.6,59,123.2,58.5,12.6,14.3,58.5,25,-10
19,19,12/7/22,N,Pittsburgh,ACC,Vanderbilt,A,"L, 75-74",109,97.3,68.8,107.5,60,21.8,22.2,42,109,47.1,16,41.9,17.1,78.6,-1
20,20,11/25/22,N,Pittsburgh,ACC,William & Mary,H,"W, 80-64",107.2,108.8,65.8,121.6,52.4,15.2,42.1,30.6,97.3,45.8,16.7,30.2,30,45.8,3
21,21,12/10/22,N,Pittsburgh,ACC,Sacred Heart,H,"W, 91-66",107.1,104.3,74.9,121.5,52.7,18.7,50,20.5,88.1,48.4,18.7,15,23,57.6,5
22,22,12/17/22,N,Pittsburgh,ACC,North Florida,H,"W, 82-56",106.9,82.1,68.3,120.1,57.4,11.7,33.3,36.1,82,43.4,17.6,8.8,28.3,95.4,12
23,23,11/16/22,N,Pittsburgh,ACC,Michigan,N,"L, 91-60",105.2,119.9,66.5,90.2,48,19.5,19.4,40,136.8,65.8,9,23.3,30,18.1,-7
24,24,2/14/23,C,Pittsburgh,ACC,Boston College,H,"W, 77-58",104.3,87.5,71.7,107.5,52.5,22.3,32.4,31.7,80.9,41.1,19.5,23.8,14.5,88.3,6
25,25,1/18/23,C,Pittsburgh,ACC,Louisville,A,"W, 75-54",104,85.3,67.2,111.5,61.4,19.3,23.3,12.3,80.3,38.4,25.3,29.7,23.2,90.7,8
26,26,11/17/22,N,Pittsburgh,ACC,VCU,N,"L, 71-67",103.8,95.6,72.8,92,46.5,24.7,32.4,36.8,97.5,45.9,20.6,24.2,71.4,72.1,-1
27,27,12/2/22,C,Pittsburgh,ACC,North Carolina St.,A,"W, 68-60",101.9,78.2,70.1,97,51.9,20,12.9,27.8,85.6,40,17.1,29.3,31.7,95.5,4
28,28,11/22/22,N,Pittsburgh,ACC,Fairleigh Dickinson,H,"W, 83-61",101.1,91.4,69.4,119.6,60.3,21.6,43.3,29.3,87.9,42.9,21.6,29.3,15.9,76.2,8
29,29,1/28/23,C,Pittsburgh,ACC,Miami FL,H,"W, 71-68",100.3,89.9,69.5,102.2,46.9,15.8,29.3,18.5,97.9,56.6,17.3,3.6,20.8,77.9,-4
30,30,1/21/23,C,Pittsburgh,ACC,Florida St.,H,"L, 71-64",96.1,110,64.9,98.6,49.1,18.5,23.3,22.2,109.4,61.2,20,15.4,30.6,17.5,-2
31,31,11/7/22,N,Pittsburgh,ACC,Tennessee Martin,H,"W, 80-58",93.6,79,78.7,101.7,44.4,19.1,38.3,32.4,73.7,34.7,21.6,26.7,38.7,87.5,10
32,32,11/11/22,N,Pittsburgh,ACC,West Virginia,H,"L, 81-56",93.5,104,67.3,83.2,47.8,28.2,24.1,40,120.4,59.6,16.3,28.6,33.3,22.6,-8
33,33,11/20/22,N,Pittsburgh,ACC,Alabama St.,H,"W, 73-54",93.3,98,68.5,106.6,50,19,36.8,22.6,78.9,37.7,17.5,26.7,13.8,36.3,2
