#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/27/22,N,Portland,WCC,Michigan St.,H,"L, 78-77",130.2,116.8,63,122.3,53.3,7.9,24.2,19.7,123.9,59.3,12.7,35.7,18.6,77.8,-1
2,2,1/21/23,C,Portland,WCC,Pepperdine,H,"W, 91-76",128.2,107.7,70.1,129.8,69.1,15.7,16,32.7,108.4,54.8,20,40,22.2,88.1,13
3,3,2/11/23,C,Portland,WCC,Saint Mary's,H,"L, 81-64",125.8,124.1,59.7,107.2,56.2,15.1,18.5,29.2,135.7,56.3,18.4,52.8,19,53.9,-6
4,4,11/25/22,N,Portland,WCC,Villanova,N,"W, 83-71",125.1,95.8,68.9,120.4,67.7,20.3,17.4,47.9,103,39.9,11.6,35.3,30.4,95.6,7
5,5,2/23/23,C,Portland,WCC,San Francisco,A,"L, 92-89",124.6,118.7,73.4,121.3,61,20.4,25,62,125.3,63.5,9.5,15.6,27,63.6,-3
6,6,11/24/22,N,Portland,WCC,North Carolina,N,"L, 89-81",124.4,114.6,71.7,112.9,58.6,16.7,15.6,25.9,124.1,62.9,18.1,40,44.8,72.1,-1
7,7,1/12/23,C,Portland,WCC,San Francisco,H,"W, 92-87",123.3,112.1,75.1,122.6,56.2,18.7,32.3,55.4,115.9,57.4,18.7,32.4,39.3,74.8,2
8,8,3/3/23,CT,Portland,WCC,BYU,N,"L, 82-71",120.6,114.8,65.8,108,49.2,10.6,21.9,23.3,124.7,54.2,18.2,57.6,41.7,63.8,2
9,9,3/2/23,CT,Portland,WCC,San Diego,N,"W, 92-74",119.7,105.8,69.1,133.1,69.6,20.2,28.6,52.9,107,50.8,13,29.7,36.7,80.5,5
10,10,1/19/23,C,Portland,WCC,San Diego,H,"W, 88-83",117.6,119.4,67.8,129.8,70.6,16.2,23.8,41.2,122.4,54.6,14.7,35.1,21.5,45.5,1
