#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/15/22,N,Prairie View A&M,SWAC,Washington St.,H,"W, 70-59",116.5,81.2,65.8,106.4,53.3,13.7,24.2,9.8,89.6,39.8,22.8,18.8,65.9,98.4,13
2,2,3/4/23,C,Prairie View A&M,SWAC,Texas Southern,H,"W, 78-74",109.8,114.7,70.3,111,64.7,18.5,23.1,39.2,105.3,54.3,17.1,21.4,32.8,37.8,4
3,3,2/6/23,C,Prairie View A&M,SWAC,Florida A&M,H,"W, 75-45",109.4,92.6,61.9,121.2,67.7,17.8,26.1,37.5,72.7,35.5,19.4,25.6,20,87.2,10
4,4,2/13/23,C,Prairie View A&M,SWAC,Grambling St.,A,"L, 68-64",106.2,109.1,64.2,99.6,41.9,21.8,47.5,24.2,105.9,57.8,23.4,28.6,57.8,42.4,-1
5,5,11/20/22,N,Prairie View A&M,SWAC,Tennessee Martin,A,"L, 80-79",105.5,112,72.4,109.1,51.6,19.3,30.6,28.6,110.5,54.7,20.7,38.7,56.6,33.5,1
6,6,2/11/23,C,Prairie View A&M,SWAC,Southern,A,"L, 79-65",103.9,121.8,66.7,97.5,53.7,22.5,26.5,24.1,118.5,50,15,33.3,60.4,13.8,0
7,7,2/18/23,C,Prairie View A&M,SWAC,Arkansas Pine Bluff,H,"W, 82-71",103.8,114.6,72.8,112.6,60.9,20.6,14.3,32.7,97.5,47.5,20.6,32.4,28.3,24.3,-3
8,8,11/27/22,N,Prairie View A&M,SWAC,Oklahoma St.,A,"L, 78-53",103.8,111.2,63.4,83.6,43,23.7,27.8,14,123.1,60.2,17.4,50,42.6,31.3,-5
9,9,12/17/22,N,Prairie View A&M,SWAC,Montana,N,"L, 81-76",103.2,112.6,70.6,107.7,52.6,14.2,22.2,38.6,114.8,67.6,19.8,11.1,27.5,26.9,-6
10,10,1/28/23,C,Prairie View A&M,SWAC,Texas Southern,A,"W, 89-74",103,99.1,66.9,106.4,50,16.7,18.4,72.4,88.5,39.7,21.5,34.8,38.2,60.9,2
