#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/7/22,N,Purdue,B10,Hofstra,H,"W, 85-66",135.1,93.2,66.7,127.5,56.5,13.5,42.4,32.3,99,55.5,13.5,3.3,14.5,98.6,16
2,2,2/1/23,C,Purdue,B10,Penn St.,H,"W, 80-60",135.1,92.7,59.3,135,63.6,11.8,37,25.5,101.2,53.8,11.8,6.7,7.5,98.7,10
3,3,3/5/23,C,Purdue,B10,Illinois,H,"W, 76-71",130,99.9,65.3,116.3,52.8,16.8,39.4,52.8,108.6,55,23,38.5,48,95.4,10
4,4,3/10/23,CT,Purdue,B10,Rutgers,N,"W, 70-65",129.2,108.9,61,114.8,54.3,18,44.4,57.4,106.6,45.2,13.1,36.1,21,87.7,-1
5,5,12/4/22,C,Purdue,B10,Minnesota,H,"W, 89-70",127.5,107.2,68.2,130.5,56.2,10.3,40,27.7,102.7,55.1,11.7,9.4,13.6,88.1,11
6,6,3/11/23,CT,Purdue,B10,Ohio St.,N,"W, 80-66",126.7,96.2,63.8,125.5,54.3,11,34.4,37.9,103.5,51.9,14.1,18.2,32.7,96,5
7,7,11/24/22,N,Purdue,B10,West Virginia,N,"W, 80-68",126.5,88.3,68.2,117.3,59.6,26.4,38.5,59.6,99.7,45.2,17.6,37.5,27,98.4,8
8,8,1/26/23,C,Purdue,B10,Michigan,A,"W, 75-70",126.2,97.9,65.1,115.3,59,18.4,24,40,107.6,51.7,9.2,20,23.7,94.9,5
9,9,11/25/22,N,Purdue,B10,Gonzaga,N,"W, 84-66",125.4,86.7,67.2,125,55.7,11.9,36.1,36.1,98.3,47,10.4,19.5,6,98.6,3
10,10,1/13/23,C,Purdue,B10,Nebraska,H,"W, 73-55",125.1,89.6,61,119.7,54.8,19.7,44.4,38.5,90.2,50,16.4,13.3,5.7,97.9,12
11,11,11/27/22,N,Purdue,B10,Duke,N,"W, 75-56",125,82.2,65.1,115.3,50.9,16.9,41.2,32.8,86.1,37.9,16.9,28.2,29.3,99.2,8
12,12,1/8/23,C,Purdue,B10,Penn St.,A,"W, 76-63",124.8,91.9,61.9,122.8,62.5,19.4,40,12.5,101.8,48.4,14.5,27.8,4.8,97.1,4
13,13,1/29/23,C,Purdue,B10,Michigan St.,H,"W, 77-61",124.2,85.7,66.5,115.7,56,13.5,33.3,37.9,91.7,53.1,21,7.4,33.3,98.6,10
14,14,2/19/23,C,Purdue,B10,Ohio St.,H,"W, 82-55",123,82.6,65,126.1,56.5,16.9,46.7,50,84.6,44.5,16.9,14.3,20,99,9
15,15,2/9/23,C,Purdue,B10,Iowa,H,"W, 87-73",122.7,88.6,71,122.5,63.3,23.9,46.4,20,102.8,48.6,11.3,21.1,10.1,97.7,12
16,16,1/5/23,C,Purdue,B10,Ohio St.,A,"W, 71-69",121.5,104.6,60,118.3,54.3,23.3,47.1,17.2,114.9,55.2,11.7,30,12.1,84.9,-3
17,17,2/4/23,C,Purdue,B10,Indiana,A,"L, 79-74",120.6,113.8,64.8,114.2,56.1,24.7,54.8,29.8,121.9,56.1,12.3,27.6,31.6,66.1,-8
18,18,12/21/22,N,Purdue,B10,New Orleans,H,"W, 74-53",119.2,103.7,56.3,131.4,61.1,14.2,40.9,53.3,94.1,53.7,28.4,25,26.8,83.2,10
19,19,12/29/22,N,Purdue,B10,Florida A&M,H,"W, 82-49",117.2,94.7,64.3,127.6,54.2,10.9,47.1,45.8,76.2,35.2,20.2,20.6,22.2,92,14
20,20,11/15/22,N,Purdue,B10,Marquette,H,"W, 75-70",117.1,96.1,66.4,112.9,56.2,9,20,32.1,105.4,45.1,12,34.1,9.7,90.6,-2
21,21,1/16/23,C,Purdue,B10,Michigan St.,A,"W, 64-63",116.5,92.9,61.2,104.7,46.2,14.7,26.7,34.6,103,52.8,18,27.6,18.9,93.1,3
22,22,3/2/23,C,Purdue,B10,Wisconsin,A,"W, 63-61",116.5,99.8,60,105.1,54.2,20,38.5,37.5,101.7,48.3,13.3,20.6,8.6,85.5,1
