#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/14/23,C,Queens,ASun,North Alabama,H,"W, 107-78",133.6,108.9,73.6,145.4,72.7,10.9,25.9,28.1,106,51.5,12.2,22.2,24.6,91.3,15
2,2,1/19/23,C,Queens,ASun,North Florida,A,"L, 95-90",122.5,126.9,69.7,129.1,57.7,7.2,29.4,33.8,136.2,59.7,10,40,28.4,39.9,1
3,3,11/26/22,N,Queens,ASun,George Mason,A,"L, 72-65",117.9,120.3,59.6,109.1,47.3,16.8,35.1,30.4,120.8,57.1,13.4,40.6,26.8,44.3,0
4,4,2/22/23,C,Queens,ASun,Liberty,H,"L, 85-77",117.6,114.9,69.7,110.4,52.7,17.2,25.8,38.2,121.9,56.8,8.6,13.8,33.9,56.7,-4
5,5,1/21/23,C,Queens,ASun,Jacksonville,A,"L, 77-70",117.5,124.5,61.9,113.1,50.8,8.1,20,16.9,124.4,56.5,9.7,24.1,35.2,34.1,1
6,6,2/18/23,C,Queens,ASun,Kennesaw St.,A,"W, 83-76",116.6,104.9,72.3,114.7,54.2,12.4,25,47.5,105,53.6,20.7,31,43.6,77.2,-1
7,7,1/26/23,C,Queens,ASun,Florida Gulf Coast,H,"W, 84-82",116.3,123.2,69,121.7,54.2,15.9,38.9,44.1,118.8,59.8,17.4,28.1,19.7,34.1,-3
8,8,12/14/22,N,Queens,ASun,East Tennessee St.,A,"W, 78-75",115,117.4,66.4,117.5,47.7,15.1,40.5,32.8,113,58.6,13.6,19.4,17.2,44.3,0
9,9,11/7/22,N,Queens,ASun,Marshall,H,"W, 83-82",114.8,108.4,73.3,113.2,55.1,23.2,44.7,17.6,111.9,50.6,10.9,33.3,5.1,65.9,-1
10,10,1/5/23,C,Queens,ASun,Bellarmine,A,"W, 75-74",114.3,111.7,65.2,115,57.6,21.5,40.5,25.4,113.5,59.5,13.8,18.5,12.1,56.6,5
