#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,CT,Radford,BSth,Campbell,N,"L, 72-71",127.8,133,53.6,132.4,54.6,18.6,58.6,29.6,134.3,62.2,13.1,41.7,28.6,38.8,1
2,2,1/21/23,C,Radford,BSth,High Point,H,"W, 95-80",120.3,115.1,73.6,129.1,50.7,12.2,48.8,44.3,108.7,62.5,23.1,20.7,42.3,62.5,10
3,3,2/11/23,C,Radford,BSth,Charleston Southern,A,"W, 90-71",119.6,101.2,69.1,130.2,62.1,15.9,32.1,36.2,102.7,54.2,17.4,25,18.3,87.2,12
4,4,12/1/22,N,Radford,BSth,North Carolina Centr,H,"W, 80-78",118.5,112.3,71.3,112.2,64.6,19.6,19.2,62.5,109.4,56.1,22.4,37.1,7.6,64.9,6
5,5,11/10/22,N,Radford,BSth,Notre Dame,A,"L, 79-76",117.4,113.2,65.3,116.4,52.3,9.2,27.8,18.5,121,60.4,15.3,24,52.1,60.5,2
6,6,11/20/22,N,Radford,BSth,Army,N,"W, 90-75",116.6,114.5,70.8,127.2,65.2,11.3,14.8,39.3,106,61,24,16.7,34,55.2,-2
7,7,12/4/22,N,Radford,BSth,George Washington,H,"W, 86-76",115.8,105,69.5,123.7,60.3,15.8,39.3,36.2,109.4,55.1,15.8,22.2,32.2,75.5,8
8,8,12/21/22,N,Radford,BSth,Kansas St.,A,"L, 73-65",111.5,102.7,65.8,98.7,46.6,12.2,24.3,30.5,110.9,53.4,18.2,41.9,25.4,72.1,-5
9,9,3/3/23,CT,Radford,BSth,Winthrop,N,"W, 78-69",110.3,100.6,65.5,119.1,60.7,9.2,13.3,25,105.3,55,18.3,24.2,52,74.1,8
10,10,2/18/23,C,Radford,BSth,Longwood,A,"L, 73-63",109.6,126.8,58.1,108.5,56.9,27.5,44,9.8,125.7,57.8,13.8,38.7,13.8,15.8,-8
11,11,1/7/23,C,Radford,BSth,Gardner Webb,A,"W, 63-59",107.7,100,61.4,102.5,52,22.8,30.8,23.5,96,51.1,19.5,19.2,27.7,70.2,3
12,12,1/18/23,C,Radford,BSth,Campbell,A,"W, 63-55",106.3,96,57,110.5,48.2,12.3,34.3,19.3,96.5,51.1,14,7.4,17,76.5,4
13,13,2/1/23,C,Radford,BSth,Presbyterian,A,"W, 67-59",105.6,107.3,61,109.7,61.1,19.7,20.8,40,96.6,48,21.3,32.3,36,45.4,4
14,14,1/26/23,C,Radford,BSth,Longwood,H,"W, 63-59",105.4,102.3,59.3,106.1,50,11.8,29.4,17.5,99.4,50,23.6,38.2,3.4,58.5,2
15,15,12/31/22,C,Radford,BSth,Presbyterian,H,"W, 69-51",105.2,98.1,60.5,114,55.8,19.8,38.7,34.6,84.2,43.5,23.1,25,39.1,69,8
