#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Rice,CUSA,FIU,A,"W, 85-78",124.2,113.2,68.9,123.3,60.7,14.5,32.4,29.5,113.2,57.4,10.2,10.3,14.8,74.5,5
2,2,1/19/23,C,Rice,CUSA,North Texas,A,"W, 72-60",122.2,97.2,62.1,116,56.4,14.5,22.7,44.7,96.7,46.4,20.9,31.6,23.2,93.3,-2
3,3,12/4/22,N,Rice,CUSA,Texas St.,A,"W, 83-71",120.5,97.7,70.1,118.4,65.4,18.6,14.8,38.5,101.3,50,17.1,26.5,23.3,91.8,11
4,4,12/12/22,N,Rice,CUSA,Texas,A,"L, 87-81",120.4,96.1,70.2,102.6,50,21.5,35.7,24.6,110.2,53.9,19,35.1,42.2,93.1,1
5,5,11/18/22,N,Rice,CUSA,Georgia Southern,H,"W, 88-71",120,108.9,71.8,122.5,70.4,20.9,24,31.5,98.9,51.7,8.4,5.4,30,75.2,3
6,6,12/17/22,N,Rice,CUSA,Northwestern St.,H,"W, 110-73",117.7,90.6,85.6,128.5,69.8,25.7,47.6,58.6,85.3,39.7,11.7,21.1,24.4,95.3,15
7,7,3/4/23,C,Rice,CUSA,FIU,H,"L, 90-83",117,127.7,71,116.9,60.2,18.3,30,23.7,126.8,54,14.1,38.2,41.3,26.8,0
8,8,2/9/23,C,Rice,CUSA,Florida Atlantic,A,"L, 90-81",116.6,108.9,76,106.6,55.6,14.5,8.6,20.6,118.5,55.9,11.8,21.9,49.2,68.7,-6
9,9,11/19/22,N,Rice,CUSA,Western Michigan,H,"W, 96-88",116,133.1,71.3,134.7,62.9,8.4,23.5,40.3,123.5,64.2,22.5,42.9,23.3,17.1,-3
10,10,1/14/23,C,Rice,CUSA,UTEP,H,"W, 83-82",115,118.3,74.1,112,66.7,25.6,21.7,37.3,110.7,52.9,16.2,36.8,18.6,41.9,0
11,11,2/18/23,C,Rice,CUSA,Western Kentucky,H,"W, 83-77",114.9,102,73.8,112.4,52.5,12.2,19.4,37.7,104.3,51.5,13.5,18.9,15.2,79.6,11
12,12,2/4/23,C,Rice,CUSA,North Texas,H,"L, 74-64",111.4,114.8,62.5,102.5,52.9,11.2,16.1,35.3,118.5,58.3,19.2,32.1,54.2,41.5,-5
13,13,3/2/23,C,Rice,CUSA,Florida Atlantic,H,"L, 103-74",108.5,133.4,72.7,101.8,57.4,19.3,6.9,24.1,141.6,65.1,11,34.3,12.3,8.6,-18
14,14,1/5/23,C,Rice,CUSA,Louisiana Tech,H,"L, 88-82",107.7,114.6,67.7,107.6,52.6,18.4,27,52.6,115.5,59.1,15.8,22.2,22.7,32.8,1
15,15,1/11/23,C,Rice,CUSA,Middle Tennessee,H,"L, 71-68",107.2,105.5,65.7,103.5,50.8,21.3,33.3,22,108.1,57.1,16.7,29,23.2,54.5,4
16,16,1/26/23,C,Rice,CUSA,Charlotte,H,"W, 65-63",106.8,99,62,104.8,55.1,16.1,13.8,28.6,101.6,52.6,19.3,29,5.2,70.7,3
