#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,C,Rider,MAAC,Iona,H,"L, 80-78",128.4,121.9,63.4,123,58.2,11,37,18,126.1,53.1,12.6,45.7,21.5,64.6,-2
2,2,2/3/23,C,Rider,MAAC,Saint Peter's,H,"W, 82-61",119.5,96.8,67.1,122.2,62.5,20.9,33.3,58.3,90.9,41.8,17.9,19.4,51,91.8,17
3,3,2/17/23,C,Rider,MAAC,Canisius,H,"L, 81-78",117.4,128,64.7,120.5,61.1,13.9,20.8,27.8,125.1,65.3,13.9,20,53.1,27,3
4,4,1/29/23,C,Rider,MAAC,Fairfield,A,"W, 78-69",116.4,117.8,57.1,121.4,50.8,18.7,48.6,21.9,107.4,46.4,9.3,33.3,48.2,46.4,-3
5,5,12/22/22,C,Rider,MAAC,Marist,H,"W, 77-71",112,115,66.9,115.1,54.2,13.5,28.1,28.8,106.1,51.6,17.9,36.1,19.4,42.7,4
6,6,11/30/22,N,Rider,MAAC,Monmouth,H,"W, 88-62",111.9,105.4,71.3,123.4,65.4,15.4,16,51.9,87,40.4,19.6,32.6,50.9,66.6,9
7,7,1/15/23,C,Rider,MAAC,Iona,A,"W, 70-67",111.3,99.3,65.5,106.9,51.7,21.4,39.4,24.1,102.3,44,16.8,44.7,48.3,78.7,-6
8,8,3/2/23,C,Rider,MAAC,Saint Peter's,A,"W, 73-60",110.4,106.5,62.7,116.4,54.9,15.9,34.6,47.1,95.7,58,23.9,24,43.2,60.2,3
9,9,12/3/22,C,Rider,MAAC,Mount St. Mary's,A,"W, 68-65",107.6,111.1,62.8,108.3,43.1,15.9,41,39.7,103.5,53.9,28.7,40,23.5,40.9,-1
10,10,12/7/22,N,Rider,MAAC,Stonehill,A,"W, 78-67",106.5,111.7,68.9,113.3,51.6,17.4,33.3,27.4,97.3,54.6,16,11.4,25.9,36.7,-1
11,11,1/27/23,C,Rider,MAAC,Marist,A,"W, 68-52",105.9,95.5,61.1,111.4,58.3,19.7,26.9,14.8,85.2,38.5,8.2,23.3,11.5,76.8,3
12,12,11/8/22,N,Rider,MAAC,Providence,A,"L, 66-65",105.1,89.1,65.1,99.9,49.1,21.5,31.4,17.2,101.4,40,13.8,37.5,86,87,3
13,13,12/28/22,N,Rider,MAAC,Georgia,A,"L, 78-72",104.3,116.5,68.6,105,46.4,13.1,35.9,17.4,113.7,56,13.1,27,37.9,21.9,-9
14,14,2/19/23,C,Rider,MAAC,Quinnipiac,A,"L, 90-88",104,102.5,69,102,48.1,15.1,32.6,21.2,104.3,52.6,13.9,11.4,70.7,54,2
15,15,11/19/22,N,Rider,MAAC,Central Arkansas,N,"L, 90-85",103.6,124.4,76.5,111.1,52.5,24.8,41.9,41.7,117.6,63.2,19.6,27.6,60.4,10.8,-2
16,16,2/5/23,C,Rider,MAAC,Manhattan,A,"W, 67-56",103.5,93.3,63.5,105.5,50,18.9,37.5,15,88.2,44.6,12.6,17.9,21.4,76.8,8
17,17,1/20/23,C,Rider,MAAC,Niagara,H,"W, 65-62",103.3,114.1,58.6,111,50,13.7,28.6,51.1,105.8,60.2,20.5,8.3,22.7,24.2,-3
18,18,2/24/23,C,Rider,MAAC,Siena,H,"W, 69-66",101.9,103.9,67,103,50,17.9,29.4,32.1,98.5,49.1,20.9,33.3,44.4,44.5,2
19,19,12/19/22,N,Rider,MAAC,Delaware,H,"L, 60-59",98.8,105.4,58.3,101.2,47.5,13.7,37.1,8.3,102.9,49.1,13.7,23.5,20.4,32.3,2
20,20,3/8/23,CT,Rider,MAAC,Saint Peter's,N,"L, 70-62",98.8,121.8,61.6,100.7,46.4,21.1,42.4,25,113.7,56.2,19.5,30.8,41.7,8.2,-3
21,21,12/31/22,C,Rider,MAAC,Canisius,A,"W, 66-64",97.9,98.2,66.2,99.7,44.8,22.7,40,31,96.7,49.2,10.6,23.8,12.5,48.8,1
22,22,1/22/23,C,Rider,MAAC,Manhattan,H,"W, 67-65",97.1,111.2,64.8,103.5,51.1,24.7,37.5,53.3,100.4,53.8,20.1,18.2,28.8,17.3,-1
23,23,1/6/23,C,Rider,MAAC,Quinnipiac,H,"L, 72-63",96.7,109.7,65.5,96.1,48.2,13.7,12.1,23.2,109.9,49.1,12.2,29.7,45.5,19,-2
24,24,11/18/22,N,Rider,MAAC,Stetson,N,"L, 78-68",96.3,111.1,65.6,103.7,41.8,9.2,32.6,23.9,119,51.6,10.7,39,31.2,16.3,-6
25,25,1/8/23,C,Rider,MAAC,Siena,A,"L, 68-63",93.9,103.8,67.7,93,44.9,23.6,40.5,28.8,100.4,45.3,19.2,32.4,49.1,23.9,-4
26,26,1/2/23,C,Rider,MAAC,Niagara,A,"L, 61-59",90.4,99,63.5,92.9,41.8,20.5,25.9,49,96.1,50,18.9,29,36.7,25.8,-2
27,27,2/10/23,C,Rider,MAAC,Fairfield,H,"W, 58-57",89.6,98.9,62.5,92.8,50.9,25.6,36.7,15.1,91.2,51,22.4,16,22.9,24.3,0
28,28,2/26/23,C,Rider,MAAC,Mount St. Mary's,H,"L, 63-58",88,112.2,62.7,92.5,41,8,27.3,29.5,100.5,48,17.5,31.2,50,5.7,-7
29,29,11/22/22,N,Rider,MAAC,Rutgers,A,"L, 76-46",82.6,104.9,68.8,66.8,26.7,24.7,39.1,33.3,110.4,49.1,16,38.5,55.2,6,-12
