#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/1/22,C,Robert Morris,Horz,Wright St.,A,"W, 80-59",114,90.8,67.7,118.1,59.8,11.8,20.8,14.8,87.1,47.2,17.7,12.5,24.5,93.2,6
2,2,1/14/23,C,Robert Morris,Horz,Detroit,A,"L, 87-75",112.8,126.8,63.3,118.5,52.7,14.2,29.4,33.9,137.4,68.2,14.2,31,29.1,20.6,-4
3,3,11/27/22,N,Robert Morris,Horz,South Alabama,N,"L, 84-70",111.9,121.5,66.2,105.8,48.5,13.6,37.5,17.9,127,63.4,12.1,25,28.6,27.8,-7
4,4,2/21/23,C,Robert Morris,Horz,Youngstown St.,H,"W, 83-64",110.7,97.7,66.9,124.1,70.4,19.4,18.2,16.7,95.7,53.2,23.9,22.2,42.6,80.8,2
5,5,12/29/22,C,Robert Morris,Horz,Fort Wayne,H,"W, 75-70",107.5,109.4,67.8,110.6,54.2,13.3,22.9,27.1,103.3,47.4,23.6,38.5,36.8,45.2,3
6,6,1/27/23,C,Robert Morris,Horz,Detroit,H,"W, 85-77",106.4,107.2,71,119.8,64,19.7,17.9,22.8,108.5,57.3,19.7,31.4,16.1,48,1
7,7,2/18/23,C,Robert Morris,Horz,Milwaukee,H,"W, 80-60",105.8,91.6,70.6,113.4,55.9,26.9,48.5,30.5,85,48.1,22.7,17.1,30.2,84,7
8,8,3/2/23,CT,Robert Morris,Horz,Cleveland St.,A,"L, 75-70",103.4,101.1,63.2,98.5,48.4,21.1,31.4,19.4,105.5,49.2,15.5,30.3,33.3,56.5,4
9,9,12/18/22,N,Robert Morris,Horz,Mount St. Mary's,A,"W, 68-59",102.8,98.1,65.2,104.3,50.9,19.9,34.3,28.6,90.5,42.6,15.3,24.3,13.1,63.2,2
10,10,12/21/22,N,Robert Morris,Horz,St. Francis PA,H,"W, 77-66",101.6,107.3,66.3,116.1,57.5,18.1,29,39.6,99.5,47.5,19.6,36.8,23,34.9,3
11,11,2/4/23,C,Robert Morris,Horz,Wright St.,H,"L, 82-67",99.7,117.9,68.4,97.9,44.8,13.2,32.6,22.4,119.9,53.7,14.6,41.2,17.9,12.6,-3
12,12,1/19/23,C,Robert Morris,Horz,Milwaukee,A,"L, 77-69",98.7,111.1,69.5,99.2,42,14.4,32.6,15.9,110.8,51.9,15.8,21.9,50.9,20.3,-4
13,13,2/23/23,C,Robert Morris,Horz,IUPUI,A,"L, 81-75",97.1,120.9,70.5,106.3,42.9,9.9,30.2,46,114.8,54.6,21.3,38.7,51.9,7.4,0
14,14,1/29/23,C,Robert Morris,Horz,Oakland,H,"W, 68-63",96.2,97.8,65.9,103.2,50.9,19.7,25,15.5,95.6,47.2,13.7,20.6,33.3,45.1,4
15,15,1/9/23,C,Robert Morris,Horz,IUPUI,H,"W, 77-70",95.9,108.4,70.6,109.1,56.4,15.6,10.3,66,99.2,51,24.1,28.1,46.2,19.6,6
