#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/3/22,N,SIU Edwardsville,OVC,Troy,H,"W, 78-72",125.1,115.1,64,122,56.7,21.9,47.2,57.7,112.6,51.7,26.6,50,24.1,72.4,5
2,2,2/25/23,C,SIU Edwardsville,OVC,Southeast Missouri S,H,"W, 93-78",123,114.5,72,129.2,60.9,13.9,41.9,28.1,108.4,44.8,13.9,31.8,35.8,69.5,9
3,3,2/4/23,C,SIU Edwardsville,OVC,Little Rock,A,"W, 84-81",114.6,115.5,69.3,121.3,64.9,14.4,25,31.6,116.9,47.8,13,38.6,30.9,47.7,7
4,4,2/2/23,C,SIU Edwardsville,OVC,Tennessee Martin,H,"W, 89-75",110.7,95.3,78.3,113.6,53.8,14,27,39.4,95.8,43.5,12.8,19.5,45.2,84.8,17
5,5,11/19/22,N,SIU Edwardsville,OVC,VMI,N,"W, 93-67",108.2,99.6,74.7,124.6,62.7,13.4,21.9,28.6,89.8,51.8,32.2,32.4,17.5,72.2,11
6,6,1/12/23,C,SIU Edwardsville,OVC,Eastern Illinois,A,"W, 80-62",107.4,103.2,68.7,116.5,53.4,18.9,35.1,41.4,90.3,49,21.8,20.7,42.9,61.4,6
7,7,12/10/22,N,SIU Edwardsville,OVC,Illinois St.,A,"L, 77-71",105.3,115.9,67,105.9,47.7,11.9,28.6,17.2,114.9,47.4,13.4,34.3,47.4,24.8,1
8,8,12/21/22,N,SIU Edwardsville,OVC,Saint Louis,A,"W, 69-67",105,98.5,65.2,105.8,44,13.8,35.9,41.4,102.8,45.8,13.8,32.5,35,67.8,-7
9,9,2/16/23,C,SIU Edwardsville,OVC,Tennessee Martin,A,"L, 90-84",103.7,118.7,77.6,108.3,54.1,14.2,19.4,47.5,116,57.1,14.2,24.3,38.1,17.5,-4
10,10,3/2/23,CT,SIU Edwardsville,OVC,Tennessee Martin,N,"L, 81-75",103.5,115.1,70.7,106.1,52.4,15.6,27.5,25.4,114.5,51.8,14.1,21.2,49.1,22.7,2
11,11,11/15/22,N,SIU Edwardsville,OVC,Missouri,A,"L, 105-80",101.5,115.7,79.4,100.8,43.1,26.4,44.7,60.3,132.2,66,18.9,41.9,18.1,18.3,-16
12,12,12/31/22,C,SIU Edwardsville,OVC,Southeast Missouri S,A,"L, 82-73",100.8,119.5,70.7,103.2,50,22.6,31.2,69.4,115.9,54.5,11.3,22.6,50,12.4,-6
13,13,2/18/23,C,SIU Edwardsville,OVC,Tennessee St.,A,"L, 100-85",99.3,128.2,81.2,104.6,44.3,20.9,33.3,57.4,123.1,66.9,19.7,24.1,45.8,5,-13
14,14,1/5/23,C,SIU Edwardsville,OVC,Tennessee St.,H,"W, 81-72",99.3,96.9,77.4,104.6,50,20.7,29.4,80.4,93,44,12.9,22.2,35.8,57.1,7
15,15,2/11/23,C,SIU Edwardsville,OVC,Eastern Illinois,H,"L, 84-73",97.4,137.2,69.3,105.3,45.1,11.5,30,39.3,121.2,62.5,17.3,25,18.3,1.9,-7
16,16,12/29/22,C,SIU Edwardsville,OVC,Tennessee Tech,H,"W, 64-51",97.1,88,61.3,104.4,46,18,42.1,12.7,83.2,42.5,22.8,29.7,18.9,75.5,7
17,17,1/7/23,C,SIU Edwardsville,OVC,Southern Indiana,A,"W, 69-62",95.7,90.8,68.4,100.8,43.1,16.1,20.6,58.8,90.6,44.1,23.4,35,23.7,64.6,5
18,18,1/14/23,C,SIU Edwardsville,OVC,Lindenwood,H,"W, 68-58",93.7,94.8,67.1,101.4,54,22.4,30,42,86.5,39.8,17.9,25,25.4,46.8,7
19,19,1/19/23,C,SIU Edwardsville,OVC,Morehead St.,H,"L, 67-58",93.5,117.6,60.7,95.6,45.2,24.7,32.3,21.2,110.5,57.6,21.4,30.8,37,6.7,-8
20,20,11/12/22,N,SIU Edwardsville,OVC,Fort Wayne,A,"L, 81-76",93.5,106.2,79.8,95.2,53.1,20,21.2,20.3,101.5,53.2,23.8,28.2,31.7,18.8,-6
21,21,11/20/22,N,SIU Edwardsville,OVC,Longwood,A,"W, 61-56",90.7,80.6,69.1,88.2,40.9,24.6,23.3,68.2,81,36,20.2,26.3,33.3,79.5,3
22,22,11/18/22,N,SIU Edwardsville,OVC,Fairleigh Dickinson,N,"W, 79-78",90.3,100.8,76.8,102.8,48.3,19.5,36.1,58.6,101.5,50,19.5,25,32.3,22,-1
23,23,1/26/23,C,SIU Edwardsville,OVC,Tennessee Tech,A,"L, 80-68",90.3,115,71.6,94.9,41.5,19.5,34.1,27.7,111.7,56.2,20.9,25.9,64.6,5.8,-9
24,24,12/6/22,N,SIU Edwardsville,OVC,Bradley,H,"L, 56-54",89.5,84.1,64.9,83.2,52.2,24.6,6.9,26.7,86.2,46.2,27.7,32.4,24.5,67.2,2
25,25,3/1/23,CT,SIU Edwardsville,OVC,Southern Indiana,N,"W, 68-54",89.2,82.5,69.2,98.3,45.1,18.8,28.2,68.6,78.1,35.4,17.4,29.8,18.5,71.1,4
26,26,11/26/22,N,SIU Edwardsville,OVC,UMKC,A,"W, 64-54",87.6,86.6,69.7,91.8,34.3,14.3,40.4,31.3,77.5,34.7,21.5,31.7,37.3,53.2,3
27,27,2/23/23,C,SIU Edwardsville,OVC,Little Rock,H,"L, 79-74",86.4,109.8,75.8,97.6,51.9,26.4,30.3,50.9,104.2,53.6,21.1,26.7,44.6,6,-5
28,28,2/9/23,C,SIU Edwardsville,OVC,Lindenwood,A,"W, 63-58",83.5,93.5,69,91.3,39.8,21.7,35,55.6,84.1,42.5,18.8,24.4,20,21.4,-2
29,29,1/28/23,C,SIU Edwardsville,OVC,Morehead St.,A,"L, 55-50",83.2,85.2,63.7,78.5,36.4,17.3,24.4,13.6,86.3,42.5,26.7,36.8,30.2,43.2,2
30,30,1/21/23,C,SIU Edwardsville,OVC,Southern Indiana,H,"L, 82-72",83,113,77.2,93.2,41,12.9,24,23.6,106.1,50.9,18.1,31,78.2,2.8,-12
