#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/28/23,C,Sacred Heart,NEC,Stonehill,A,"L, 82-81",111.6,124.7,71.6,113.1,54.5,20.9,40.5,21.2,114.5,68.3,16.8,8,34.6,21.8,1
2,2,2/4/23,C,Sacred Heart,NEC,Central Connecticut,H,"W, 78-65",108.7,114,63.9,122.1,61.8,14.1,32,27.3,101.8,44.5,18.8,45.2,25,36.5,5
3,3,1/20/23,C,Sacred Heart,NEC,Fairleigh Dickinson,A,"W, 92-85",108.5,113.1,74.6,123.4,63.1,20.1,36.4,24.6,114,51.5,14.8,33.3,26.9,38.3,1
4,4,11/16/22,N,Sacred Heart,NEC,UMass Lowell,A,"L, 90-81",105.1,110.5,78.3,103.4,47.2,15.3,26.7,25.4,114.9,57.5,19.2,36.1,25.4,35.9,-7
5,5,11/13/22,N,Sacred Heart,NEC,Columbia,H,"W, 88-85",104.9,122.4,78.1,112.7,53,16.7,33.3,34.3,108.9,55.1,16.7,27.5,18.8,14.4,2
6,6,11/19/22,N,Sacred Heart,NEC,Binghamton,A,"W, 75-60",102.4,94.4,68.9,108.9,44.2,14.5,43.9,26.1,87.1,42.4,23.2,33.3,18.6,71.7,5
7,7,2/16/23,C,Sacred Heart,NEC,Fairleigh Dickinson,H,"W, 94-86",100.2,105,72.7,114.9,60.2,22,35.3,34.4,105.1,53.4,17.1,27.5,17.6,36.7,5
8,8,1/14/23,C,Sacred Heart,NEC,St. Francis NY,A,"L, 82-79",99.7,124,75.6,104.5,53.1,19.8,31.2,23.4,108.5,59.5,18.5,16.7,29.3,7.5,-3
9,9,1/5/23,C,Sacred Heart,NEC,Merrimack,A,"W, 59-55",99.5,100.9,62.6,94.3,44.1,24,42.1,22,87.9,43.1,16,25,41.2,45.7,1
10,10,2/2/23,C,Sacred Heart,NEC,Wagner,H,"W, 65-56",98.8,101.4,63.7,102.1,50,15.7,24.2,33.3,87.9,41.5,25.1,43.2,13.6,42.8,4
11,11,1/7/23,N,Sacred Heart,NEC,Hartford,H,"W, 78-71",98.2,124.4,68.2,114.4,53.3,11.7,31.4,31.1,104.1,50,19.1,32.5,10.6,6.2,2
12,12,2/25/23,C,Sacred Heart,NEC,Central Connecticut,A,"W, 69-67",97.8,111.6,64.9,106.3,47.2,15.4,32.4,49.1,103.2,46.4,20,34.1,39.3,17.9,0
13,13,11/22/22,N,Sacred Heart,NEC,NJIT,H,"L, 85-75",97,129.8,71.4,105.1,45.1,9.8,20.5,41,119.1,62,12.6,12.9,46.3,3.4,-7
14,14,12/31/22,C,Sacred Heart,NEC,LIU Brooklyn,A,"W, 82-64",96.6,103.3,75.3,108.9,55.8,18.6,25,33.3,85,38.8,17.3,27.3,22.4,31.6,8
15,15,3/1/23,CT,Sacred Heart,NEC,Wagner,H,"W, 67-55",96.6,98.8,65.8,101.8,51.9,16.7,20,25.9,83.6,35.8,21.3,44.2,38.3,43.8,3
16,16,12/22/22,N,Sacred Heart,NEC,Holy Cross,H,"W, 66-62",96.5,104.1,65.5,100.8,53.9,26,31,25.5,94.7,50.9,18.3,21.4,14.3,29.5,6
17,17,12/12/22,N,Sacred Heart,NEC,Stony Brook,A,"L, 71-64",96.5,111.8,66.2,96.6,45.2,21.1,35,12.7,107.2,49.2,12.1,24.3,23.3,15.5,4
18,18,12/10/22,N,Sacred Heart,NEC,Pittsburgh,A,"L, 91-66",95.9,104.8,74.9,88.1,48.4,18.7,15,23,121.5,52.7,18.7,50,20.5,26.5,-5
19,19,11/30/22,N,Sacred Heart,NEC,New Hampshire,A,"W, 66-61",95.5,100,67,98.5,45.3,16.4,29.4,54.7,91.1,43.9,17.9,23.7,22.8,37.2,-3
20,20,3/4/23,CT,Sacred Heart,NEC,Merrimack,A,"L, 71-60",95.4,121,66.8,89.8,38.9,26.9,46.5,25.4,106.2,54.7,12,13.3,32.1,6.1,-7
21,21,2/9/23,C,Sacred Heart,NEC,St. Francis PA,A,"L, 78-76",94,105.3,66.7,101.2,42,10.7,31.7,21.3,103.9,62.3,24,29.2,34,21.4,2
22,22,1/22/23,C,Sacred Heart,NEC,Wagner,A,"L, 68-58",93.5,120.1,62.6,92.7,44.9,20.8,24.2,42.9,108.7,61.7,28.8,43.5,27.7,5.3,-6
23,23,11/8/22,N,Sacred Heart,NEC,Hartford,A,"W, 77-70",92.7,110.5,73.4,104.9,50.7,15,29.3,15.9,95.3,46.7,19.1,22.9,23,11.7,2
24,24,12/7/22,N,Sacred Heart,NEC,Fairfield,A,"L, 61-59",88.2,94.9,67.1,87.9,41,16.4,24.4,18,90.9,42.4,22.3,40,32.2,30.2,0
25,25,1/26/23,C,Sacred Heart,NEC,LIU Brooklyn,H,"L, 74-70",87.8,121.5,72.2,97,50.9,16.6,17.6,47.2,102.5,50,22.2,30.6,33.9,2.3,4
26,26,12/29/22,C,Sacred Heart,NEC,Stonehill,H,"L, 74-67",84.9,126.4,70.1,95.6,47.7,15.7,22.5,9.1,105.6,58.3,18.6,23.5,15,1,-15
27,27,11/10/22,N,Sacred Heart,NEC,Rutgers,A,"L, 88-50",84.4,111,74.6,67,44.3,33.5,17.1,15.1,117.9,57.5,13.4,21.9,36.7,4.1,-15
28,28,2/18/23,C,Sacred Heart,NEC,Merrimack,H,"L, 67-55",83,117.2,67.6,81.3,43.5,23.7,23.7,29.6,99.1,51.8,25.1,37.8,24.6,1.9,-9
29,29,12/3/22,N,Sacred Heart,NEC,UMass Lowell,H,"L, 70-59",79.8,92.4,74.1,79.7,40.5,20.3,20.5,32.8,94.5,44.4,23,35.9,27,15.7,-6
30,30,12/19/22,N,Sacred Heart,NEC,Saint Joseph's,A,"L, 77-59",77.7,100.3,76.4,77.3,43.2,26.2,24.4,27.1,100.8,50.8,23.6,38.5,22.7,5.1,-12
31,31,2/23/23,C,Sacred Heart,NEC,St. Francis NY,H,"L, 70-63",75.6,119.6,72.5,86.9,45.8,19.3,23.7,28.3,96.5,48.3,23.4,35.7,35,0.5,-14
32,32,1/16/23,C,Sacred Heart,NEC,St. Francis PA,H,"W, 54-51",71.3,78.9,67.9,79.5,38.1,17.7,28.3,17.5,75.1,36.1,23.6,23.1,29.6,23.8,2
