#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/3/22,N,Saint Louis,A10,Southern Illinois,H,"W, 85-72",131.8,111.7,67.8,125.4,62.3,20.7,40,29.8,106.2,59.8,20.7,12,43.5,87,8
2,2,11/15/22,N,Saint Louis,A10,Memphis,H,"W, 90-84",126.3,97.4,78.2,115.1,52.5,14.1,27.3,60,107.4,46.4,12.8,34.1,37.1,95.2,7
3,3,3/9/23,CT,Saint Louis,A10,George Mason,N,"W, 82-54",124.7,92,65.1,126,61,13.8,37,22,82.9,40.4,23,30.3,36.5,97.1,8
4,4,2/21/23,C,Saint Louis,A10,Richmond,A,"L, 81-78",123.1,117.5,67.4,115.7,60,17.8,25,11.7,120.2,60.2,14.8,21.2,37,63.2,7
5,5,12/17/22,N,Saint Louis,A10,Drake,H,"W, 83-75",123,105,70.2,118.2,49.2,10,31.4,36.5,106.8,50.8,8.5,15.8,29,86,0
6,6,1/7/23,C,Saint Louis,A10,St. Bonaventure,H,"W, 78-55",120.8,94.7,63.6,122.7,59.2,20.4,33.3,49,86.5,45.4,17.3,21.2,18.5,94.3,9
7,7,2/18/23,C,Saint Louis,A10,Duquesne,H,"W, 90-85",119.4,113.5,74.7,120.5,59.5,17.4,40.6,39.7,113.8,57.3,21.4,34.3,29,64.3,0
8,8,3/3/23,C,Saint Louis,A10,Dayton,H,"W, 65-61",117.9,99.5,58.5,111,47.5,13.7,35.3,15.3,104.2,43.1,6.8,34.1,12.3,87.6,4
9,9,3/11/23,CT,Saint Louis,A10,VCU,N,"L, 90-78",116,123.4,73.5,106.1,56.8,20.4,23.5,30.5,122.4,63.1,16.3,33.3,36.1,33,-11
10,10,1/27/23,C,Saint Louis,A10,Davidson,A,"W, 74-70",115.6,104.9,64.6,114.5,60.4,17,24,24.5,108.3,45.5,6.2,28.9,25.8,75.5,1
11,11,1/18/23,C,Saint Louis,A10,Loyola Chicago,A,"W, 76-59",113.4,97,64.1,118.6,66.3,20.3,25,23.1,92,47.9,14,9.1,41.7,85.7,5
12,12,11/7/22,N,Saint Louis,A10,Murray St.,H,"W, 91-68",113.1,95.1,74,122.9,54.1,12.2,39,21.6,91.9,42.7,13.5,22,35.5,88,9
13,13,11/20/22,N,Saint Louis,A10,Providence,N,"W, 76-73",111.7,98.5,68.3,111.3,50,13.2,32.4,27.9,106.9,41.4,16.1,37.5,31.2,80.9,-2
14,14,2/25/23,C,Saint Louis,A10,Loyola Chicago,H,"W, 81-62",111.3,95.5,68.9,117.6,55.7,13.1,30.3,27.9,90,49.1,20.3,12.9,26.4,85.4,8
15,15,11/30/22,N,Saint Louis,A10,Tennessee St.,H,"W, 80-63",111.3,101.3,66.7,120,50,12,43.6,14.1,94.5,42.4,15,25.6,27.1,74.6,8
16,16,12/31/22,C,Saint Louis,A10,Saint Joseph's,A,"W, 83-78",111.2,100.9,76,109.2,57.6,21,29.6,35.6,102.6,52.3,15.8,25.6,25.8,75.4,4
17,17,2/3/23,C,Saint Louis,A10,VCU,H,"L, 73-65",108.9,105.4,67.7,96,55.6,20.7,17.2,14.8,107.9,49.2,14.8,25.7,30.5,59.2,-1
