#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/10/23,CT,Sam Houston St.,WAC,Grand Canyon,N,"L, 78-75",120.7,118.4,61.2,122.6,50.9,6.5,32.3,51.9,127.5,71.7,14.7,9.5,37,55.5,-1
2,2,12/31/22,C,Sam Houston St.,WAC,New Mexico St.,A,"W, 75-62",120.5,95.2,63.1,118.8,65,20.6,25,24,98.2,55.4,23.8,22.2,39.1,93.8,12
3,3,1/7/23,C,Sam Houston St.,WAC,Tarleton St.,H,"W, 75-68",119,92.2,69.2,108.4,58.5,18.8,15.2,63.8,98.2,46,20.2,36.8,20.6,94.9,16
4,4,11/22/22,N,Sam Houston St.,WAC,Northern Illinois,N,"W, 88-54",116.4,81.6,72.2,121.9,61.9,23.6,41.9,20.6,74.8,43.4,30.5,27.8,24.5,98.3,15
5,5,1/14/23,C,Sam Houston St.,WAC,Utah Tech,A,"W, 78-53",113.7,85.9,64.6,120.7,58.9,18.6,37,28.6,82,47.8,31,29.4,34.8,96.2,4
6,6,2/1/23,C,Sam Houston St.,WAC,UT Rio Grande Valley,A,"W, 67-65",113.6,114.2,57,117.6,61,21.1,36,20,114.1,57.1,19.3,33.3,22.4,48.5,2
7,7,2/11/23,C,Sam Houston St.,WAC,Abilene Christian,A,"W, 77-62",112.8,99.6,64.6,119.3,61.2,23.2,38.5,49,96,48.1,17,20,22.2,80.8,1
8,8,12/14/22,N,Sam Houston St.,WAC,Louisiana Monroe,A,"W, 79-53",112.3,88.5,67.6,116.9,60,26.6,51.6,20,78.4,45.3,26.6,13.8,51.2,93.9,8
9,9,2/18/23,C,Sam Houston St.,WAC,Tarleton St.,A,"W, 64-59",111.2,95,61.1,104.8,55.3,22.9,21.4,31.9,96.6,55.4,19.6,21.9,41.3,86,4
10,10,1/19/23,C,Sam Houston St.,WAC,Stephen F. Austin,H,"W, 76-71",110.5,106.5,68.7,110.6,60,26.2,44.8,54,103.4,54.9,24.7,25,35.3,60.4,1
11,11,1/12/23,C,Sam Houston St.,WAC,Southern Utah,A,"L, 86-74",110.2,118.8,68.1,108.7,56,19.1,26.7,19,126.3,67.6,16.2,27.6,42.6,29.6,-7
12,12,11/17/22,N,Sam Houston St.,WAC,Utah,A,"W, 65-55",109.6,82,65.1,99.8,42.7,16.9,35,22.6,84.5,51.1,24.6,15.6,34.8,96.6,5
13,13,11/23/22,N,Sam Houston St.,WAC,South Dakota,N,"W, 80-49",107.7,85.1,64.6,123.9,65.8,20.1,32,10.5,75.9,41.8,27.9,21.2,18.4,93.8,8
14,14,12/17/22,N,Sam Houston St.,WAC,Texas St.,A,"W, 69-62",107.5,96.9,63.6,108.4,52.8,14.1,26.5,39.6,97.4,40.2,23.6,32.3,60.9,76.8,3
15,15,3/3/23,C,Sam Houston St.,WAC,Abilene Christian,H,"W, 72-54",106.4,83,65.4,110,57.4,19.9,26.5,33.3,82.5,35.1,13.8,14.3,59.6,94.6,11
16,16,1/21/23,C,Sam Houston St.,WAC,UT Rio Grande Valley,H,"W, 83-64",105.7,99.4,70.3,118,56,15.6,29.4,39.7,91,48.8,29.9,20,75.6,66.9,3
17,17,11/28/22,N,Sam Houston St.,WAC,Nevada,A,"L, 78-60",103.8,107.1,65.8,91.3,38.7,19.8,32.5,49.1,118.6,53.1,15.2,27.3,69.4,41.1,-5
18,18,3/9/23,CT,Sam Houston St.,WAC,Cal Baptist,N,"W, 64-51",103.6,78.2,64.5,99.2,46.2,17.1,30,46.2,79.1,38.7,18.6,22,30.2,96.2,11
19,19,12/6/22,N,Sam Houston St.,WAC,Oklahoma St.,A,"L, 65-51",100.1,103.4,59.4,85.9,40.8,18.5,25.8,34.7,109.5,56.1,28.6,50,28.6,40.7,-6
20,20,12/29/22,C,Sam Houston St.,WAC,Utah Valley,A,"L, 80-64",98.6,108.8,71.6,89.4,38.1,16.8,31.9,25.4,111.7,60.2,22.3,34.4,25.4,24.5,-10
21,21,1/26/23,C,Sam Houston St.,WAC,Seattle,H,"W, 55-40",98.1,65.7,60.6,90.8,54.3,28.1,25.9,23.9,66,23,16.5,25,46,99,14
22,22,2/4/23,C,Sam Houston St.,WAC,UT Arlington,A,"L, 70-58",96.7,117,61.3,94.6,39.7,21.2,39,27.6,114.2,62,21.2,36,45.7,10.1,-6
23,23,2/15/23,C,Sam Houston St.,WAC,UT Arlington,H,"W, 66-56",95.2,90.3,67.1,98.3,50,14.9,23.7,27.6,83.4,45.3,23.8,21.1,26.4,64.8,3
24,24,2/23/23,C,Sam Houston St.,WAC,Cal Baptist,H,"W, 56-45",93.8,81,58.9,95.1,37.8,22.1,40,46.9,76.4,40.8,25.5,25.7,16.3,84.5,4
25,25,1/5/23,C,Sam Houston St.,WAC,Grand Canyon,H,"L, 72-68",87.6,86.7,68.3,88.5,46.2,23.4,28.9,58.5,93.8,51,32.6,30,49,53.2,3
26,26,2/25/23,C,Sam Houston St.,WAC,Southern Utah,H,"W, 64-57",86.2,77.1,72.4,88.4,42.5,20.7,21.6,50.9,78.7,37.5,20.7,20.9,37.5,78.3,3
27,27,3/1/23,C,Sam Houston St.,WAC,Stephen F. Austin,A,"W, 64-59",85.9,74.1,69.4,82,40.5,25.6,29.5,27,75.6,35,26.9,26.3,72,84.5,4
28,28,11/7/22,N,Sam Houston St.,WAC,Oklahoma,A,"W, 52-51",80.1,71.7,68.9,75.5,37.5,17.4,23.9,14.1,74,43,30.5,16.1,46.5,78.2,-6
