#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/28/22,C,Samford,SC,Mercer,H,"W, 78-69",130.6,121.9,60.4,129.2,62.5,14.9,32.1,32.7,114.3,57.7,19.9,34.6,23.1,68.8,6
2,2,1/7/23,C,Samford,SC,UNC Greensboro,A,"W, 70-68",120.9,105.2,63.6,110.1,65,15.7,3.6,22,106.9,48.1,12.6,25.7,38.9,83.3,3
3,3,2/18/23,C,Samford,SC,VMI,A,"W, 96-61",118.7,102.5,68.7,139.7,74.6,11.6,18.5,14.8,88.8,45.5,20.4,17.6,23.6,84.3,9
4,4,2/15/23,C,Samford,SC,UNC Greensboro,H,"W, 83-71",117.7,106.5,71.5,116.1,55.4,15.4,23.5,50,99.3,44.7,23.8,43.2,21.2,75.8,-1
5,5,11/30/22,N,Samford,SC,DePaul,A,"L, 103-98",116.2,115.2,76.3,114.2,52,12.8,30.4,38.7,120,67.2,22.1,21.9,44.3,52.3,-1
6,6,11/20/22,N,Samford,SC,Texas Southern,H,"W, 78-63",115.5,102.8,66.7,116.9,59,18,28.1,11.5,94.4,50.9,22.5,27.3,28.3,79.1,10
7,7,2/1/23,C,Samford,SC,Western Carolina,A,"W, 85-77",114,110.9,71.8,118.3,58.2,19.5,30.8,43.6,107.2,50.9,12.5,21.1,49.1,57.7,2
8,8,1/4/23,C,Samford,SC,VMI,H,"W, 87-78",114,128.4,66.6,130.7,65.5,21,42.9,34.5,117.2,57.9,18,29,26.3,20.3,4
9,9,1/25/23,C,Samford,SC,Furman,A,"L, 91-84",113.3,106.8,67.6,110.4,61.2,19.7,20.7,32.8,119.6,45.7,9.2,37,48.6,66.2,-1
10,10,11/23/22,N,Samford,SC,Valparaiso,H,"W, 79-49",112.4,74.8,68.9,114.7,52.9,18.9,27.3,60.8,71.1,34.5,24.7,28.6,30.9,99.1,21
11,11,1/11/23,C,Samford,SC,Wofford,H,"W, 83-58",112.2,90.2,65.2,127.2,66.7,13.8,24.1,10,88.9,49,23,17.2,28.6,92.5,11
12,12,12/4/22,N,Samford,SC,UCF,A,"L, 80-77",111.5,99.3,67.1,102,44.9,13.3,24.3,49.2,106,51.8,18.6,24.2,61.8,79.1,-1
13,13,2/25/23,C,Samford,SC,Furman,H,"L, 93-79",110.3,123.9,70.1,112.6,52.6,15.7,28.6,43.9,132.6,67.9,20,32,45.3,20.7,-9
14,14,1/21/23,C,Samford,SC,Western Carolina,H,"W, 74-65",108.9,105.3,64.6,114.5,46.4,12.4,32.4,42.9,100.6,47.9,18.6,21.9,52.1,59.5,5
15,15,1/18/23,C,Samford,SC,East Tennessee St.,A,"W, 69-59",106.6,100.2,62.3,110.7,50,14.4,29.4,37,94.6,48.2,12.8,20,23.6,66.9,2
16,16,1/14/23,C,Samford,SC,Chattanooga,H,"W, 75-74",106.5,113.7,65.7,114.2,49.1,10.7,28.2,47.4,112.7,54.4,18.3,33.3,31.6,32,-7
17,17,2/4/23,C,Samford,SC,East Tennessee St.,H,"W, 73-62",106.1,91.3,68.6,106.4,42.7,16,35.1,60,90.3,48.1,27.7,34.3,29.6,85,12
18,18,3/4/23,CT,Samford,SC,Chattanooga,N,"L, 85-82",105.4,113.1,74.2,110.5,53.7,10.8,11.8,64.8,114.6,66.3,21.6,21.4,63.3,30.6,-5
19,19,11/17/22,N,Samford,SC,Alabama A&M,A,"W, 84-64",104.4,87.5,78.9,106.4,47.5,24.1,45,61.7,81.1,39.7,19,25.5,47.6,88.4,11
20,20,12/31/22,C,Samford,SC,The Citadel,A,"W, 75-63",102.1,98.2,68.9,108.9,48.9,20.3,27.6,72.3,91.5,42.2,13.1,15,27.6,60.9,6
21,21,1/28/23,C,Samford,SC,Wofford,A,"L, 85-77",99.7,115.8,70.8,108.8,46.9,11.3,30.6,33.8,120.1,64.4,16.9,18.2,75.6,15.2,-7
22,22,2/22/23,C,Samford,SC,Chattanooga,A,"W, 75-70",97,91.8,74.6,100.6,50,18.8,21.9,56.6,93.9,41.9,13.4,20.5,40.3,65.4,0
23,23,2/11/23,C,Samford,SC,The Citadel,H,"W, 76-70",95.7,103.3,73.5,103.4,53.8,20.4,21.9,55.8,95.2,61,29.9,16,22,29.3,5
24,24,2/8/23,C,Samford,SC,Mercer,A,"W, 70-69",95.1,95.4,67.4,92.4,47.2,23.8,18.2,38.9,91,50,23.8,27.5,26.2,49,0
25,25,12/10/22,N,Samford,SC,Louisiana Lafayette,A,"L, 75-58",95,104,64.7,89.6,47.3,24.7,30.3,14.5,115.9,60.2,21.6,33.3,25.9,26,-7
26,26,12/21/22,N,Samford,SC,Belmont,A,"L, 79-56",94.6,114,62.1,90.1,43.9,27.4,35.3,32.7,127.2,67.9,16.1,26.9,26.4,10.4,-7
27,27,11/25/22,N,Samford,SC,Louisiana Tech,H,"L, 79-76",94.3,107.7,76.5,99.4,53.9,30.1,35.5,58.8,103.3,55.8,23.5,27.3,59.6,17.8,-7
28,28,12/17/22,N,Samford,SC,South Carolina St.,A,"L, 62-61",84.2,105,64.2,95,46.2,24.9,40.5,42.3,96.6,42.5,29.6,45.9,39.6,7.3,-5
