#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/25/23,C,San Diego St.,MWC,Utah St.,H,"W, 85-75",143.4,103.7,63.6,133.6,58.6,14.1,41.9,34.5,117.9,56.6,15.7,37.5,16.4,97.7,11
2,2,2/11/23,C,San Diego St.,MWC,UNLV,H,"W, 82-71",131.7,98.4,67.5,121.4,61.7,31.1,58.1,20,105.1,46.3,14.8,29.4,48.1,96.6,14
3,3,1/7/23,C,San Diego St.,MWC,Wyoming,A,"W, 80-75",127.7,115.6,62.7,127.7,60.3,16,35.5,20.7,119.7,68.9,22.3,18.2,35.6,75.9,2
4,4,11/21/22,N,San Diego St.,MWC,Ohio St.,N,"W, 88-77",126.9,96.7,71.8,122.5,59,9.7,21.2,32.8,107.2,47.7,11.1,21.1,22.7,95.8,7
5,5,1/10/23,C,San Diego St.,MWC,Nevada,H,"W, 74-65",124.8,90.6,65.5,112.9,58,18.3,25,40,99.2,44,12.2,23.5,31,97.6,13
6,6,2/21/23,C,San Diego St.,MWC,Colorado St.,H,"W, 77-58",120.5,86.9,63.1,122,53.7,14.3,35.7,42.6,91.9,51,25.4,29.6,18,97.7,12
7,7,1/28/23,C,San Diego St.,MWC,San Jose St.,H,"W, 72-51",120.1,83.2,60,120,50.9,5,30.6,37.9,85,38.8,21.7,32.4,36.7,98.6,11
8,8,2/3/23,C,San Diego St.,MWC,Boise St.,H,"W, 72-52",119.8,74,66.5,108.3,54.9,15,19.2,45.1,78.2,38.5,18.1,18.4,36.5,99.6,14
9,9,1/21/23,C,San Diego St.,MWC,Air Force,A,"W, 70-60",119.7,97.8,59.8,117,42.1,13.4,41.7,40.4,100.3,53.8,10,11.8,19.2,91.1,6
10,10,11/7/22,N,San Diego St.,MWC,Cal St. Fullerton,H,"W, 80-57",118.2,85,69.5,115.1,61.5,17.3,17.9,44.2,82,43.1,25.9,24.2,33.3,97.8,11
11,11,2/28/23,C,San Diego St.,MWC,Boise St.,A,"L, 66-60",117.6,100.4,59.4,100.9,50,20.2,27.6,21.6,111,52.9,23.6,46.7,26.9,86.1,3
12,12,1/31/23,C,San Diego St.,MWC,Nevada,A,"L, 75-66",117.4,108.4,63,104.8,51,17.5,18.5,39.6,119.1,55,9.5,14.8,46,71.4,-1
13,13,12/28/22,C,San Diego St.,MWC,Air Force,H,"W, 71-55",116.7,88.2,61.5,115.5,60.2,22.8,39.1,36.7,89.5,51,24.4,22.2,10.2,96.2,11
14,14,3/4/23,C,San Diego St.,MWC,Wyoming,H,"W, 67-50",115.9,84.9,57.2,117.1,50,15.7,41.9,27.8,87.4,41.5,17.5,27,17,97.3,12
15,15,12/31/22,C,San Diego St.,MWC,UNLV,A,"W, 76-67",115.2,91.1,70.5,107.8,55.9,31.2,48.3,52.9,95.1,45,21.3,34.2,25,93.7,6
16,16,12/12/22,N,San Diego St.,MWC,Kennesaw St.,H,"W, 88-54",115,76.8,74.7,117.8,57.4,16.1,29,41,72.3,42.9,28.1,16.7,40.8,99.1,13
