#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/20/22,N,San Diego,WCC,UC Riverside,A,"W, 92-84",124.2,110.2,66,123.9,52.1,6.7,38.1,31.9,113.2,54.8,17.5,22.6,29,79.9,4
2,2,2/4/23,C,San Diego,WCC,Loyola Marymount,H,"W, 87-79",123.9,115,68.4,127.2,62.5,19,22.2,68.8,115.5,54.6,16.1,43.6,23.1,70.1,1
3,3,11/17/22,N,San Diego,WCC,Utah St.,H,"L, 91-89",122.9,106.3,68.2,116.1,50,13,37.8,25.3,118.7,63.3,22.2,38.2,43.3,84.2,2
4,4,1/14/23,C,San Diego,WCC,Loyola Marymount,A,"L, 98-84",121.4,128.1,71.7,117.1,52.3,9.8,25,32.3,136.7,67.2,15.3,34.6,37.9,35,-5
5,5,1/19/23,C,San Diego,WCC,Portland,A,"L, 88-83",120.6,120.6,67.8,122.4,54.6,14.7,35.1,21.5,129.8,70.6,16.2,23.8,41.2,50,-1
6,6,2/11/23,C,San Diego,WCC,Pacific,A,"L, 99-94",120.4,124.7,76.7,122.6,60.3,13,25,20.6,129.2,69.7,15.7,30,21.2,40.2,-5
7,7,1/12/23,C,San Diego,WCC,Pepperdine,H,"W, 92-89",117.6,111.7,78.3,117.6,58.1,16.6,31.4,27.9,113.7,62.5,17.9,27.8,31.2,64.5,8
8,8,12/12/22,N,San Diego,WCC,UC San Diego,H,"W, 84-58",116.1,91.7,67.2,125,62.1,7.4,18.2,19.4,86.3,47.1,29.8,30.3,23.1,93.8,11
9,9,1/28/23,C,San Diego,WCC,San Francisco,H,"L, 94-81",115.5,123.3,72.2,112.2,54.4,16.6,27.3,38.6,130.2,70.9,20.8,26.1,38.2,32.1,-4
10,10,2/9/23,C,San Diego,WCC,Santa Clara,A,"L, 80-75",114.5,101.7,71.2,105.4,58.5,16.9,12.9,13.6,112.4,56.2,14,28.9,28.1,79.7,3
11,11,12/31/22,C,San Diego,WCC,San Francisco,A,"W, 80-68",112.7,95.3,70.4,113.7,48.1,12.8,23.3,62.3,96.6,47.5,18.5,27.5,28.3,87.4,0
