#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/7/22,N,Seattle,WAC,UC San Diego,A,"W, 85-71",126.7,105.8,66.3,128.3,56.9,10.6,36.8,27.7,107.1,51.9,13.6,20.7,39.6,88.8,10
2,2,1/14/23,C,Seattle,WAC,Utah Valley,A,"W, 85-80",125.5,107.2,73.7,115.3,50.8,14.9,28.2,32.3,108.5,56.6,16.3,29.4,32.8,86,0
3,3,1/7/23,C,Seattle,WAC,UT Arlington,A,"W, 76-61",124.2,107.5,60.4,125.9,63.5,16.6,34.6,23.1,101,39.3,14.9,39,27.9,84,5
4,4,3/3/23,C,Seattle,WAC,UT Arlington,H,"W, 80-56",111.5,90.2,68.7,116.5,51.8,18.9,42.4,56.4,81.6,35.5,21.8,38.1,25.8,92,9
5,5,3/9/23,CT,Seattle,WAC,Grand Canyon,N,"L, 84-79",111.2,108.9,70.8,111.6,48.2,11.3,28.6,54.4,118.7,63.5,17,18.5,51.9,56,0
6,6,12/25/22,N,Seattle,WAC,George Washington,N,"W, 85-67",109.8,86.9,73.2,116.1,50.7,17.8,42.5,19.7,91.5,47.2,13.7,11.4,54.7,93.7,12
7,7,2/8/23,C,Seattle,WAC,Utah Tech,H,"W, 75-71",108.5,101.9,68.1,110.1,54.5,25,35.5,30.4,104.3,59.8,23.5,29.6,29.4,67.3,3
8,8,11/30/22,N,Seattle,WAC,Cal St. Fullerton,H,"W, 69-62",106.8,102.3,64.4,107.1,47.4,14,36.4,40.4,96.2,47.2,18.6,30.6,39.6,62.2,-5
9,9,11/19/22,N,Seattle,WAC,Portland,A,"W, 80-68",106.3,90.3,72.1,110.9,61.3,20.8,29,16.1,94.3,46.4,16.6,18.2,35.7,86.7,4
10,10,11/13/22,N,Seattle,WAC,Portland St.,H,"W, 83-71",105.7,97.3,75.2,110.4,53.8,22.6,36.1,71.7,94.4,37.3,12,29.8,41.8,72,7
11,11,12/31/22,C,Seattle,WAC,Cal Baptist,H,"W, 71-65",103.8,94.5,69.9,101.6,54.4,18.6,19.4,21.1,93,48.2,17.2,16.7,30.4,74.7,5
12,12,2/24/23,C,Seattle,WAC,Grand Canyon,A,"W, 65-54",99.5,74.1,65.8,98.7,44.9,15.2,32.4,27.1,82,37.3,22.8,27.5,30.9,96.8,9
13,13,1/21/23,C,Seattle,WAC,Southern Utah,H,"W, 81-60",99.4,81.5,76.2,106.4,56.2,15.8,20.7,16.9,78.8,35.4,14.4,32.6,23.6,90.8,3
14,14,1/19/23,C,Seattle,WAC,Tarleton St.,H,"W, 67-47",97.9,77.1,66.6,100.6,46.6,15,25.7,20.3,70.5,33,16.5,12.8,34,94,5
15,15,12/18/22,N,Seattle,WAC,Alcorn St.,H,"W, 72-58",97.8,92.7,68.1,105.7,57.5,25,36.7,34,85.2,35.5,13.2,34.8,20.3,64.9,4
16,16,11/28/22,N,Seattle,WAC,Washington,A,"L, 77-66",97.4,103.5,73.1,90.3,39.7,20.5,38.8,11,105.4,52.9,20.5,20.7,50,33.2,-6
17,17,2/1/23,C,Seattle,WAC,Abilene Christian,H,"L, 83-68",97.3,114.9,70.3,96.8,48.5,15.7,24.4,13.8,118.1,56.7,10,23.5,13.4,12.9,-3
18,18,2/4/23,C,Seattle,WAC,New Mexico St.,A,"L, 82-75",97,108.4,76,98.7,44.4,13.2,27.8,19.7,107.9,60,19.7,14.3,52,21.8,-6
19,19,12/10/22,N,Seattle,WAC,North Dakota,A,"W, 80-78",96.6,102.9,68.5,103.7,45,11.7,26.7,34.3,101.2,58.3,24.6,27.8,50,32.7,-4
20,20,2/15/23,C,Seattle,WAC,Cal Baptist,A,"L, 84-63",96.3,126.2,67.2,93.8,43.3,11.9,21.4,26.7,125.1,57,10.4,27.3,18.8,4.2,-14
21,21,12/23/22,N,Seattle,WAC,Iona,N,"L, 83-72",95.5,102,78.6,91.6,34.5,15.3,28.3,77.6,105.6,51.7,19.1,25,45.8,31.9,-10
22,22,1/12/23,C,Seattle,WAC,New Mexico St.,H,"W, 69-66",95.1,96.1,70.2,98.3,55.6,25.7,25.9,62.2,94.1,48.2,20,24.3,33.3,47,2
23,23,12/15/22,N,Seattle,WAC,Oregon St.,A,"L, 73-58",94.9,105.7,68,85.3,42,22.1,32.4,35.7,107.4,56.1,20.6,27.3,44.9,22.4,1
24,24,1/28/23,C,Seattle,WAC,Stephen F. Austin,A,"L, 79-65",90.4,101.9,75.8,85.7,40,15.8,29.2,24.3,104.2,60.3,25.1,28.1,27.6,20.2,-7
25,25,12/22/22,N,Seattle,WAC,Utah St.,N,"L, 84-56",89.9,101.6,70.6,79.4,32.6,14.2,32.7,27.5,119.1,60.2,15.6,28.1,28.8,19.7,-9
26,26,2/11/23,C,Seattle,WAC,Grand Canyon,H,"W, 63-58",89.8,82.7,67.1,93.9,40.9,14.9,25.7,43.6,86.4,40.6,17.9,30.2,12.5,71.9,2
27,27,2/18/23,C,Seattle,WAC,Utah Valley,H,"L, 67-58",85.7,85.2,75.8,76.6,34.1,17.2,26.2,30.3,88.4,40.2,14.5,30.8,28.8,51.6,-1
28,28,1/5/23,C,Seattle,WAC,UT Rio Grande Valley,A,"W, 66-64",84.6,87.4,74.4,88.8,39.9,8.1,23.5,18.9,86.1,39.8,20.2,29.5,26.6,40.9,0
29,29,3/1/23,C,Seattle,WAC,Utah Tech,A,"L, 93-56",84.4,128.3,68.4,81.9,34.6,21.9,26.3,48.1,136,70.6,16.1,27.3,49,0.8,-20
30,30,1/26/23,C,Seattle,WAC,Sam Houston St.,A,"L, 55-40",70.1,92.9,60.6,66,23,16.5,25,46,90.8,54.3,28.1,25.9,23.9,3.8,-14
