#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,C,Seton Hall,BE,Providence,A,"W, 82-58",141.3,89.6,59.1,138.7,72.9,18.6,42.9,35.4,98.1,43.9,18.6,37.8,22.8,99.5,12
2,2,1/28/23,C,Seton Hall,BE,Butler,A,"W, 70-49",127.1,81.9,60.5,115.8,53.4,14.9,37.5,15.3,81,41.2,21.5,28.6,27.5,99.4,15
3,3,12/31/22,C,Seton Hall,BE,St. John's,H,"W, 88-66",123.1,96.7,71.4,123.3,59.8,16.8,36.7,32.8,92.5,44.1,15.4,29.5,16.2,94.2,4
4,4,2/28/23,C,Seton Hall,BE,Villanova,H,"L, 76-72",116.7,109.9,64.2,112.1,52.7,20.2,36.4,32.7,118.3,65.9,21.8,10,56.1,66.6,0
5,5,1/7/23,C,Seton Hall,BE,Butler,H,"W, 76-51",115.9,79.4,68.7,110.6,59.1,17.5,23.3,34.5,74.2,30.4,20.4,30.2,42.9,98.7,14
6,6,12/27/22,C,Seton Hall,BE,Marquette,A,"L, 83-69",114.5,109.1,65.8,104.8,52.8,22.8,38.2,40.7,126.1,61.5,10.6,27.6,18,63.5,-8
7,7,2/1/23,C,Seton Hall,BE,St. John's,A,"W, 84-72",114.5,95.7,75.6,111.1,57.3,18.5,27.8,35.5,95.2,46.6,22.5,35,45.8,88.7,-1
8,8,11/20/22,N,Seton Hall,BE,Wagner,H,"W, 82-44",113.8,82.2,66.9,122.6,62,17.9,33.3,38.9,65.8,34.7,22.4,22.7,13.6,97.7,14
9,9,2/8/23,C,Seton Hall,BE,Creighton,H,"L, 75-62",112.6,106.4,62.9,98.5,48.2,7.9,14.7,25,119.2,75,30.2,35.3,29.5,65.7,-2
10,10,12/1/22,N,Seton Hall,BE,Kansas,A,"L, 91-65",111.6,116.6,69.1,94.1,47.9,23.2,25.7,66.7,131.7,62.9,15.9,40.7,36.2,37.5,-11
11,11,11/12/22,N,Seton Hall,BE,Saint Peter's,H,"W, 80-44",110.6,74.3,67.6,118.3,58,23.7,40.7,86.4,65.1,31.9,28.1,33.3,22.4,99,18
12,12,11/25/22,N,Seton Hall,BE,Oklahoma,N,"L, 77-64",110.4,107.3,65.6,97.6,49,21.3,30,34.6,117.4,60.7,12.2,17.9,25,58.2,-1
13,13,1/14/23,C,Seton Hall,BE,DePaul,A,"W, 71-67",109.6,101.1,64.8,109.6,50,20.1,42.9,41.1,103.5,54.1,23.2,24.1,32.7,71.8,1
14,14,1/18/23,C,Seton Hall,BE,Connecticut,H,"W, 67-66",106.5,89,67.3,99.6,44.6,13.4,28.2,44.6,98.1,47.3,26.8,36.4,25,88.7,-6
15,15,11/24/22,N,Seton Hall,BE,Memphis,N,"W, 70-69",104.3,86.6,73,95.9,48,23.3,25.7,58.8,94.5,49,23.3,28.1,56.9,89.4,0
16,16,3/8/23,CT,Seton Hall,BE,DePaul,N,"L, 66-65",102.6,100.9,63.6,102.2,54,22,34.5,36,103.8,54.9,22,22.6,27.5,54.6,1
17,17,12/20/22,C,Seton Hall,BE,Xavier,A,"L, 73-70",102.4,88.1,72.2,97,49.1,19.4,26.3,40.4,101.1,49.1,19.4,29.4,37.9,84.9,-3
18,18,12/14/22,N,Seton Hall,BE,Drexel,H,"W, 66-49",101.3,73.3,67.9,97.1,48.1,22.1,31.2,35.8,72.1,32.8,20.6,30.6,9,97.6,14
19,19,1/3/23,C,Seton Hall,BE,Creighton,A,"L, 83-61",101.3,111.5,67.4,90.6,40.8,20.8,32.5,23.3,123.2,60.5,16.3,30,29.8,24.9,-14
20,20,1/10/23,C,Seton Hall,BE,Georgetown,A,"W, 66-51",98.2,83.9,64,103.1,45.2,12.5,30.8,15.9,79.7,34.4,18.7,35.6,14.1,85.9,3
21,21,11/16/22,N,Seton Hall,BE,Iowa,H,"L, 83-67",97.1,102,69.9,95.8,41.8,22.9,41.9,19.4,118.7,47.4,11.4,37.1,56.9,36.4,-6
22,22,11/9/22,N,Seton Hall,BE,Monmouth,H,"W, 79-52",96.7,81.7,75.5,104.7,52.8,26.5,38.1,73.6,68.9,31.6,30.5,34.8,42.1,87.3,13
23,23,12/17/22,C,Seton Hall,BE,Providence,H,"L, 71-67",95.3,88.7,72.1,92.9,46.5,19.4,22.2,36.8,98.4,48.1,20.8,28.6,52.8,69.8,0
24,24,2/24/23,C,Seton Hall,BE,Xavier,H,"L, 82-60",94.4,107.2,67.1,89.5,43,17.9,28.2,31.6,122.3,56.7,20.9,46.7,26.7,18.7,-11
25,25,2/14/23,C,Seton Hall,BE,Georgetown,H,"W, 76-68",94.2,87,79.1,96.1,45.3,17.7,15.8,69.8,86,41.3,20.2,19.5,28.6,71.3,7
26,26,2/5/23,C,Seton Hall,BE,DePaul,H,"W, 69-64",92.4,86.9,73.2,94.2,37.5,17.7,32.5,86.5,87.4,43.8,19.1,30.2,23.1,66.8,3
27,27,2/18/23,C,Seton Hall,BE,Connecticut,A,"L, 64-55",92.4,82.8,66.8,82.4,41.5,21,21.9,28.3,95.8,46.2,27,43.8,42.3,77.9,-6
28,28,2/11/23,C,Seton Hall,BE,Villanova,A,"L, 58-54",88.5,86.1,63,85.8,46.2,28.6,32.4,13.2,92.1,49,20.6,21.9,32.7,57.8,-5
29,29,12/11/22,N,Seton Hall,BE,Rutgers,A,"W, 45-43",87.4,72.2,59.4,75.8,39.8,25.3,25,40.9,72.4,38.4,32,26.7,25.6,89.9,0
30,30,1/21/23,C,Seton Hall,BE,Marquette,H,"L, 74-53",86.9,95,67.4,78.6,52.7,38.6,27.3,54.1,109.8,62,25.2,25.9,16.7,26.4,-8
31,31,11/27/22,N,Seton Hall,BE,Siena,N,"L, 60-55",82.3,93,67.1,82,33.7,20.9,34.1,61.5,89.5,44.9,23.9,29,46.9,19.8,-3
