#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,South Alabama,SB,Louisiana Monroe,H,"W, 81-45",133.7,91.8,57,142.1,67.5,8.8,28,8.8,79,28.3,7,32.6,26.7,98.7,15
2,2,11/27/22,N,South Alabama,SB,Robert Morris,N,"W, 84-70",126.7,113.7,66.2,127,63.4,12.1,25,28.6,105.8,48.5,13.6,37.5,17.9,77.7,7
3,3,1/28/23,C,South Alabama,SB,Troy,H,"W, 77-60",126.5,99.2,62.1,123.9,57.9,17.7,37.9,24.6,96.6,49,14.5,13.3,33.3,94.2,11
4,4,2/16/23,C,South Alabama,SB,Southern Miss,H,"W, 85-54",126,86.2,66.2,128.3,66.9,10.6,14.8,13.6,81.5,44.2,21.1,14.7,23.1,98.7,11
5,5,2/11/23,C,South Alabama,SB,Appalachian St.,H,"W, 74-57",125.5,94.9,61.5,120.3,64.3,17.9,20,22.4,92.7,41,13,30.8,16.4,96.1,13
6,6,2/2/23,C,South Alabama,SB,Arkansas St.,A,"W, 82-62",122.6,99.7,64.8,126.6,63.2,13.9,16.7,32.1,95.7,39.7,12.4,32.5,37.9,91.5,12
7,7,2/22/23,C,South Alabama,SB,Texas St.,A,"W, 76-67",122.6,106,62.1,122.4,54.4,12.9,34.4,28.1,107.9,50,16.1,21.4,36,84.2,6
8,8,3/5/23,CT,South Alabama,SB,James Madison,N,"W, 75-66",120.3,99.5,65.3,114.8,60,10.7,13.3,23.6,101.1,41.3,10.7,33.3,34.9,89.9,6
9,9,12/12/22,N,South Alabama,SB,Alabama A&M,A,"W, 78-71",118.3,106.2,68,114.7,63.8,19.1,26.7,15.5,104.4,51.7,11.8,9.4,16.9,77.6,12
10,10,3/4/23,CT,South Alabama,SB,Southern Miss,N,"W, 78-61",113.9,93.6,67.7,115.2,55.6,11.8,17.2,44.4,90.1,41.2,23.6,32.3,41.2,90.6,2
11,11,12/21/22,N,South Alabama,SB,Jacksonville St.,H,"W, 71-66",110.9,111.8,61.8,114.8,53.6,9.7,22.6,27.3,106.7,50,12.9,25,33.3,47.7,2
12,12,1/14/23,C,South Alabama,SB,Louisiana Lafayette,H,"L, 79-76",110.9,105.4,69.7,109,63.6,15.8,10.7,8.5,113.3,63,21.5,25.9,31.5,64.2,1
13,13,3/2/23,CT,South Alabama,SB,Appalachian St.,N,"W, 68-61",110.2,100.9,63.3,107.4,56.2,14.2,25.8,17.9,96.4,43.9,12.6,29.3,9.1,73.3,2
