#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/20/22,N,South Carolina St.,MEAC,Longwood,A,"L, 104-77",114.5,136.1,72.9,105.6,56.7,23.3,25.8,42.3,142.7,56.2,15.1,53.8,36.1,12,-7
2,2,12/10/22,N,South Carolina St.,MEAC,USC Upstate,A,"L, 89-84",112.9,118.6,68.2,109.5,51.7,26.1,43.8,44.1,116,49.2,13,34.1,57.1,36.2,3
3,3,2/11/23,C,South Carolina St.,MEAC,Coppin St.,H,"W, 94-84",112.6,123,74.4,126.3,67.5,18.8,31,20.6,112.9,60.2,24.2,33.3,71.4,26.6,5
4,4,11/29/22,N,South Carolina St.,MEAC,East Carolina,A,"W, 73-68",110.8,100.2,68,107.3,53.2,14.7,25.7,14.3,99.9,52.6,17.6,18.8,13.8,75.9,4
5,5,1/9/23,C,South Carolina St.,MEAC,Morgan St.,A,"L, 90-85",110.4,134.7,75.3,112.9,49.3,21.3,47.8,46.3,119.6,60,15.9,30.3,45,9.2,-7
6,6,12/13/22,N,South Carolina St.,MEAC,UNC Asheville,H,"L, 94-84",104.8,124.1,79.1,106.1,40.7,6.3,31.4,25.9,118.8,71.7,26.5,34.6,52.8,12.5,-9
7,7,11/8/22,N,South Carolina St.,MEAC,South Carolina,A,"L, 80-77",104.5,114.8,71.4,107.8,52.3,14,27.8,25,112,50,15.4,37.8,54.2,25.4,-6
8,8,12/27/22,N,South Carolina St.,MEAC,Texas Tech,A,"L, 110-71",103.1,129.5,77.1,92.1,43.3,16.9,23.9,29.9,142.7,76.3,15.6,37.9,55.9,6.8,-18
9,9,1/23/23,C,South Carolina St.,MEAC,Delaware St.,H,"L, 88-85",102.9,127.6,69.4,108.9,55.6,26.9,39.5,33.9,112.7,59.3,19.2,18.8,59.3,7.8,5
10,10,2/27/23,C,South Carolina St.,MEAC,Howard,H,"L, 82-78",102.1,115.2,73.5,106.1,52.8,23.1,32.3,46.3,111.5,59.8,27.2,40.6,21.3,20,-4
11,11,1/14/23,C,South Carolina St.,MEAC,North Carolina Centr,A,"L, 71-67",102.1,106.4,68.9,97.2,52.8,26.1,36.7,27.8,103,52.1,30.5,42.9,61.7,38.5,-3
12,12,11/23/22,N,South Carolina St.,MEAC,Wake Forest,A,"L, 105-74",100.5,121.4,78.2,94.6,41.8,14.1,34.6,17.7,134.3,76.4,20.5,28.6,58.5,10.3,-14
13,13,2/25/23,C,South Carolina St.,MEAC,Norfolk St.,H,"L, 88-76",99.8,122.5,71.8,105.8,43.6,15.3,38.8,30,122.5,67,27.8,43.5,66,8.7,-7
14,14,1/30/23,C,South Carolina St.,MEAC,Howard,A,"L, 100-74",99.3,130,75.7,97.8,49.2,21.1,34.1,31.2,132.1,72.7,25.1,43.5,45.5,4.3,-12
15,15,12/3/22,N,South Carolina St.,MEAC,Furman,A,"L, 88-76",98.5,100.8,78.6,96.7,50,21.6,28.6,19.7,112,63.2,25.4,28.6,33.3,43.5,-6
16,16,11/14/22,N,South Carolina St.,MEAC,Duquesne,A,"L, 96-71",97.7,125.8,73.9,96.1,42.5,19,40,35.8,129.9,54.7,14.9,51.1,35.1,5.2,-18
17,17,12/17/22,N,South Carolina St.,MEAC,Samford,H,"W, 62-61",97.4,89.7,64.2,96.6,42.5,29.6,45.9,39.6,95,46.2,24.9,40.5,42.3,72,5
18,18,1/28/23,C,South Carolina St.,MEAC,Norfolk St.,A,"L, 82-68",97.1,116.5,68.2,99.7,50.9,23.4,32.4,38.9,120.2,60.3,20.5,40.6,34.5,10.9,-8
19,19,1/21/23,C,South Carolina St.,MEAC,Maryland Eastern Sho,H,"L, 76-70",96.5,113.6,75.3,93,52.6,27.9,32.4,25.9,100.9,60.8,29.2,30.8,43.1,13.3,-1
20,20,11/17/22,N,South Carolina St.,MEAC,Kentucky,A,"L, 106-63",94.3,115.2,77.3,81.5,39,15.5,24.4,23.5,137.2,64.7,16.8,45.2,33.8,9.1,-14
21,21,2/20/23,C,South Carolina St.,MEAC,Delaware St.,A,"L, 69-68",92.1,111.8,69.8,97.4,43.2,14.3,31.8,25.8,98.8,46.6,24.4,38.5,30.5,9.7,-1
22,22,2/18/23,C,South Carolina St.,MEAC,Maryland Eastern Sho,A,"L, 78-62",91.7,118.6,72.2,85.9,51.8,30.5,33.3,14,108.1,60.4,23.6,28,34,4.9,-8
23,23,11/26/22,N,South Carolina St.,MEAC,Western Kentucky,A,"L, 90-64",90.6,125.2,71.5,89.5,43.3,9.8,18.2,19.4,125.9,61.2,18.2,41.2,50,2.4,-15
24,24,3/2/23,C,South Carolina St.,MEAC,North Carolina Centr,H,"L, 71-64",90.3,102.3,73.1,87.6,39,30.1,48.8,45.8,97.1,40.2,17.8,33.3,42.6,19.3,-4
25,25,12/6/22,N,South Carolina St.,MEAC,Winthrop,A,"L, 81-67",88.4,107.3,71.3,94,44.1,15.4,29.5,19.1,113.6,67.3,26.6,36.4,44.9,9.7,-6
26,26,11/19/22,N,South Carolina St.,MEAC,North Florida,A,"L, 72-66",87.5,90.4,72.9,90.5,38.4,20.6,43.1,21.9,98.8,43.6,11,15.8,58.2,40.7,4
