#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/10/23,C,South Carolina,SEC,Kentucky,A,"W, 71-68",136.9,100.3,57.5,123.5,58,26.1,51.7,12.5,118.3,53.5,10.4,45.2,24.6,97.3,8
2,2,2/18/23,C,South Carolina,SEC,LSU,A,"W, 82-73",128.8,108.6,64.9,126.3,60.2,18.5,31,33.3,112.4,47.6,9.2,37.2,41.9,87.7,7
3,3,2/28/23,C,South Carolina,SEC,Mississippi St.,A,"L, 74-68",122.9,111.6,64.7,105,50,21.6,31,32.7,114.3,52.9,13.9,28.6,46.2,75.2,-1
4,4,2/7/23,C,South Carolina,SEC,Missouri,A,"L, 83-74",121.3,114.6,62.5,118.4,61,22.4,40,42,132.9,62.3,16,38.5,39.6,65.6,-4
5,5,2/22/23,C,South Carolina,SEC,Alabama,H,"L, 78-76",118.5,94.5,66.2,102,55.6,14.8,14.7,21,104.7,49.2,16.1,33.3,40.3,93.1,0
6,6,12/11/22,N,South Carolina,SEC,Presbyterian,H,"W, 68-57",114.1,115.7,56,121.3,56.4,10.7,31,18.2,101.7,57.6,19.6,23.8,15.2,46,6
7,7,2/4/23,C,South Carolina,SEC,Arkansas,H,"L, 65-63",109.2,101.9,61.9,101.8,47.4,16.2,37.1,24.1,105,50.9,17.8,32.3,23.6,69,-5
8,8,1/28/23,C,South Carolina,SEC,Georgia,A,"L, 81-78",108.9,104.9,66.9,103.7,50.7,23.9,40.5,20.6,107.7,51.8,14.6,19.4,51.8,60.7,3
9,9,11/25/22,N,South Carolina,SEC,USC Upstate,H,"W, 68-53",108,101,59.2,114.8,50.8,13.5,41.9,18.6,89.5,48.1,21.9,32.3,17.3,68.4,3
10,10,1/3/23,C,South Carolina,SEC,Vanderbilt,A,"L, 84-79",107.8,97,67.4,104.1,47.9,14.5,31.8,20.8,110.7,50.8,17.1,36.8,58.3,77.2,1
11,11,12/30/22,N,South Carolina,SEC,Eastern Michigan,H,"W, 74-64",106.8,103.9,63.7,116.2,50.8,14.1,47.4,27,100.5,47.6,12.6,26.3,14.3,58,8
12,12,2/25/23,C,South Carolina,SEC,Tennessee,A,"L, 85-45",106.6,127.6,57.1,78.8,38.9,24.5,38.9,13,148.9,66.1,7,42.9,9.7,11.2,-12
13,13,12/14/22,N,South Carolina,SEC,UAB,A,"L, 84-70",106.3,112.1,69.6,100.5,50.8,20.1,33.3,21.3,120.6,50.7,17.2,45.9,25.4,35.2,-10
14,14,12/3/22,N,South Carolina,SEC,Georgetown,A,"W, 74-71",105,105.6,61,107.9,53.2,23.3,41.7,21,103.5,45.4,13.1,38.5,29.2,48.3,-4
15,15,11/8/22,N,South Carolina,SEC,South Carolina St.,H,"W, 80-77",102.6,113.5,71.4,112,50,15.4,37.8,54.2,107.8,52.3,14,27.8,25,24,6
16,16,1/21/23,C,South Carolina,SEC,Auburn,H,"L, 81-66",100.1,110.2,70.1,94.1,42,20,32.4,42.9,115.5,52.5,12.8,30.3,41.7,24.7,-13
17,17,2/11/23,C,South Carolina,SEC,Mississippi,A,"W, 64-61",100.1,92.3,65.5,97.7,51,22.9,27.3,40,93.2,42.6,16.8,28.6,40.7,71.6,-3
18,18,3/8/23,CT,South Carolina,SEC,Mississippi,N,"L, 67-61",99.1,102.1,64,95.3,46.7,15.6,22.2,10,104.7,50,17.2,36.1,22,41.7,-3
19,19,1/31/23,C,South Carolina,SEC,Mississippi St.,H,"L, 66-51",93.6,103.5,63.2,80.7,41.5,28.5,37.1,26.4,104.5,55.9,25.3,44,23.5,23.9,-5
20,20,1/25/23,C,South Carolina,SEC,Florida,A,"L, 81-60",93,106.5,72.6,82.7,40.8,20.7,28.6,31.7,111.6,52.3,6.9,15.4,25.8,17.4,-10
21,21,11/20/22,N,South Carolina,SEC,Furman,N,"L, 79-60",92.9,105.2,66.9,89.6,52,25.4,17.2,32.7,118,61,17.9,34.5,15.3,19.3,-6
22,22,11/18/22,N,South Carolina,SEC,Davidson,N,"L, 69-60",91.6,98,67.2,89.3,44.6,23.8,33.3,26.8,102.7,52.6,19.3,25,15.5,31.4,-3
23,23,1/14/23,C,South Carolina,SEC,Texas A&M,H,"L, 94-53",91.6,137.1,63.1,84,44,19,15.2,26,149,62.1,17.4,64.5,33.9,1,-25
