#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/11/23,C,South Florida,Amer,Houston,A,"L, 83-77",134.5,106.1,68,113.2,59.6,26.5,37,57.4,122,51.7,10.3,33.3,54.2,93.9,-3
2,2,1/21/23,C,South Florida,Amer,UCF,H,"W, 85-72",124,100,71.2,119.4,53.3,22.5,41.7,36.1,101.2,49.1,16.9,25.7,45.5,92.2,4
3,3,2/22/23,C,South Florida,Amer,UCF,A,"W, 82-75",123.3,99,71.8,114.2,62.3,26.5,45.2,47.2,104.4,45.7,15.3,21.4,50,92.5,3
4,4,2/15/23,C,South Florida,Amer,Tulsa,A,"W, 96-69",122.6,101.2,73.6,130.4,69.8,14.9,26.9,43.1,93.7,47.4,24.5,35.9,45.6,90.1,11
5,5,12/22/22,N,South Florida,Amer,NJIT,H,"W, 92-73",120.9,115,69.9,131.7,63.6,12.9,38.2,24.2,104.5,51.6,17.2,28.2,24.2,64,9
6,6,1/15/23,C,South Florida,Amer,East Carolina,A,"W, 81-70",120.8,106.3,67.7,119.7,59.8,19.2,36.4,37.5,103.4,45.7,22.2,39,41.4,81.4,4
7,7,12/29/22,C,South Florida,Amer,Memphis,A,"L, 93-86",116.9,99,83,103.6,49.3,24.1,42.9,31.4,112,51.5,16.9,35.1,53,87.1,-1
8,8,12/19/22,N,South Florida,Amer,Hofstra,H,"W, 77-70",114.7,102.1,68.1,113.2,49.2,19.1,50,33.3,102.9,57,25,21.4,30,79.2,1
9,9,2/8/23,C,South Florida,Amer,Memphis,H,"L, 99-81",113.5,117.1,77.6,104.4,54.5,21.9,28.1,52.7,127.6,57.4,10.3,26.5,35.3,41.2,-10
10,10,11/22/22,N,South Florida,Amer,Saint Joseph's,N,"W, 75-62",112.8,96.2,65.6,114.4,50,15.2,38.2,37.9,94.5,36.3,19.8,35.1,60.8,86.2,6
11,11,12/2/22,N,South Florida,Amer,Charleston Southern,H,"W, 79-59",111.6,96.7,62.6,126.1,60,16,39.4,18.3,94.2,38.2,19.2,35.1,34.5,83.9,11
12,12,2/11/23,C,South Florida,Amer,Cincinnati,A,"L, 84-65",106.6,106.3,69.6,93.4,45.2,17.2,26.3,19.4,120.7,54.5,10.1,31.7,30.3,50.9,-4
13,13,1/29/23,C,South Florida,Amer,SMU,A,"L, 82-80",104.9,113.2,75.3,106.3,53.1,18.6,36.1,24.6,109,59.6,18.6,15.6,40.4,29.5,-9
14,14,12/12/22,N,South Florida,Amer,Northern Iowa,A,"W, 72-69",104.6,95.4,70.4,102.3,58.9,19.9,20,23.2,98,57.1,24.2,11.5,32.7,74.1,6
15,15,2/25/23,C,South Florida,Amer,SMU,H,"W, 71-67",103.7,107.1,66.4,106.9,58.7,24.1,26.9,56.5,100.9,50,15.1,23.5,41.5,40.8,-6
16,16,11/14/22,N,South Florida,Amer,Stetson,H,"L, 68-67",103.7,117.4,56.9,117.8,50,5.3,37.1,21.7,119.5,53.9,10.5,24.1,31.4,19.5,-7
17,17,1/18/23,C,South Florida,Amer,Cincinnati,H,"L, 85-69",103.4,118.1,69,100,50,14.5,17.6,51.9,123.2,56.2,5.8,20.6,23.1,17.9,-13
18,18,3/1/23,C,South Florida,Amer,Tulsa,H,"W, 72-56",103,92.4,65.3,110.2,47.7,12.2,34.1,18.2,85.7,42.2,18.4,20.5,41.2,77.7,8
19,19,11/21/22,N,South Florida,Amer,UAB,N,"L, 80-65",102.2,108.7,67.9,95.7,47.4,19.1,29.7,27.6,117.8,52.7,19.1,41.2,54.5,32.9,-8
20,20,2/1/23,C,South Florida,Amer,East Carolina,H,"W, 71-63",102.1,90.2,70.8,100.2,57.4,28.2,30,22.2,88.9,41.8,24,30.6,38.2,80.6,8
21,21,1/25/23,C,South Florida,Amer,Temple,A,"L, 79-76",101.7,96.9,69.5,97.2,51.5,20.5,31,31.8,101,51.6,21.7,31.6,35.5,63.5,-2
22,22,1/8/23,C,South Florida,Amer,Wichita St.,H,"L, 70-66",98.2,92.6,71.8,91.9,40.3,18.1,40.9,26.9,97.5,45.4,15.3,27.5,26.2,66.3,3
23,23,11/25/22,N,South Florida,Amer,St. Francis NY,H,"W, 75-60",98.1,107.8,68.4,109.6,51.6,13.2,28.6,19,87.7,52.2,30.7,17.9,32.6,25.2,2
24,24,3/9/23,CT,South Florida,Amer,East Carolina,N,"L, 73-58",96.8,115.1,62.9,92.2,42.5,22.2,41,13.3,116,51.7,15.9,36.4,29.3,12,-4
25,25,11/11/22,N,South Florida,Amer,Auburn,A,"L, 67-59",95.9,82.4,71.5,82.5,37.1,23.8,43.5,40.3,93.7,45.2,28,39.5,61.5,85.2,1
26,26,2/18/23,C,South Florida,Amer,Tulane,H,"L, 84-66",92.4,105.6,74.6,88.4,45.9,21.4,27.5,27.9,112.6,55.2,5.4,5.4,19.4,17.6,-6
27,27,1/4/23,C,South Florida,Amer,Temple,H,"L, 68-64",91.5,91.8,72.2,88.7,43.4,23.5,31.7,31.1,94.2,45.9,24.9,30,53.1,48.9,-1
