#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/14/23,C,Southeast Missouri S,OVC,Morehead St.,A,"W, 91-86",126.7,125.8,71.6,127.1,66,18.2,18.2,43.4,120.1,57.6,15.4,39.4,47.5,52,-4
2,2,1/12/23,C,Southeast Missouri S,OVC,Lindenwood,H,"W, 94-71",114.8,104.7,75.1,125.2,74.5,17.3,29.4,38.2,94.6,52.6,18.7,3.8,26.3,74.4,14
3,3,12/31/22,C,Southeast Missouri S,OVC,SIU Edwardsville,H,"W, 82-73",112.7,110.1,70.7,115.9,54.5,11.3,22.6,50,103.2,50,22.6,31.2,69.4,56.8,6
4,4,12/4/22,N,Southeast Missouri S,OVC,Missouri,A,"L, 96-89",111.3,108.3,79,112.6,64.3,22.8,27.6,23.8,121.5,64.8,17.7,26.7,37.7,57.8,-9
5,5,3/4/23,CT,Southeast Missouri S,OVC,Tennessee Tech,N,"W, 89-82",109.8,110.9,68.2,116,49.2,13,30,52.4,106.9,50,11.7,22,46,47.2,4
6,6,2/2/23,C,Southeast Missouri S,OVC,Little Rock,H,"W, 99-98",109.5,128.3,80.4,123.2,64.9,13.7,19.4,61.4,121.9,60.3,17.4,29.2,62.1,14,-1
7,7,2/25/23,C,Southeast Missouri S,OVC,SIU Edwardsville,A,"L, 93-78",108,134.4,72,108.4,44.8,13.9,31.8,35.8,129.2,60.9,13.9,41.9,28.1,7.5,-9
8,8,2/18/23,C,Southeast Missouri S,OVC,Southern Indiana,H,"W, 85-80",107.5,114.1,72.7,117,45.8,8.3,29.7,67.8,110.1,54.6,20.6,34.6,48.1,33.6,2
9,9,1/26/23,C,Southeast Missouri S,OVC,Tennessee St.,H,"W, 92-75",107.4,110.5,76.2,120.7,56.2,13.1,29,40.6,98.4,57.6,22.3,25,25.4,42.1,-2
10,10,3/2/23,CT,Southeast Missouri S,OVC,Tennessee St.,N,"W, 91-83",107.1,105.4,81.4,111.8,50,18.4,27.8,73.7,101.9,42.3,18.4,44.4,32.1,54.4,6
11,11,2/23/23,C,Southeast Missouri S,OVC,Lindenwood,A,"L, 105-102",106.7,119,74,110.3,53.3,21.6,42.6,48,113.5,55.4,18.4,27,67.7,22.1,9
12,12,11/19/22,N,Southeast Missouri S,OVC,Bradley,A,"L, 73-60",103.6,103.9,65.5,91.6,42.9,16.8,26.3,28.6,111.4,55.6,19.8,34.4,40.7,49.1,-2
13,13,1/28/23,C,Southeast Missouri S,OVC,Eastern Illinois,A,"W, 79-68",101,101.4,74.1,106.6,54.5,20.2,25,47.3,91.7,44.1,21.6,31.6,39,48.8,6
14,14,1/5/23,C,Southeast Missouri S,OVC,Tennessee Martin,A,"L, 87-82",99.8,119.1,76.6,107.1,48,9.1,27.1,19.7,113.6,54.8,17,23.3,73.1,11.6,-8
15,15,12/17/22,N,Southeast Missouri S,OVC,Iowa,A,"L, 106-75",98.8,113.2,78.7,95.3,47.9,12.7,16.7,11.3,134.6,63.6,12.7,34.3,50,17.2,-15
16,16,3/3/23,CT,Southeast Missouri S,OVC,Morehead St.,N,"W, 65-58",97.5,97.3,64.5,100.8,49,17.1,27.3,40.4,89.9,41.8,15.5,22,34.5,50.6,-3
17,17,12/21/22,N,Southeast Missouri S,OVC,Southern Illinois,H,"L, 70-68",97.1,100,73.6,92.3,50,17.7,14.3,31.6,95.1,42.6,17.7,29,57.4,41.5,-1
18,18,2/16/23,C,Southeast Missouri S,OVC,Eastern Illinois,H,"W, 78-64",96.7,92.2,76.4,102.1,54.2,19.6,20.6,30,83.8,47.4,26.2,24.2,22.4,63.3,13
19,19,2/4/23,C,Southeast Missouri S,OVC,Tennessee Tech,A,"L, 82-80",96.1,112.3,77.2,103.7,52.5,19.4,16.7,35.6,106.3,54.2,19.4,25.6,44.1,14.2,-8
20,20,11/26/22,N,Southeast Missouri S,OVC,Boston University,N,"W, 63-52",95.9,88.7,63.8,98.7,44.3,18.8,30.6,39.6,81.5,36,12.5,17.9,21.1,71.1,6
21,21,3/1/23,CT,Southeast Missouri S,OVC,Lindenwood,N,"W, 84-65",95.1,96.9,78,107.7,46.2,11.5,37,20.5,83.4,45.3,23.1,13.2,49.1,44.5,2
22,22,1/21/23,C,Southeast Missouri S,OVC,Tennessee Tech,H,"W, 84-77",94.7,94.2,67.4,99.6,48.1,15.4,33.3,24.7,91.3,50.8,16.6,7.9,24.2,51.5,7
23,23,11/16/22,N,Southeast Missouri S,OVC,Evansville,A,"W, 67-61",94.6,96.4,70.2,95.5,47.3,20,21.2,29.1,86.9,34.7,17.1,36.7,50,44.7,6
24,24,1/7/23,C,Southeast Missouri S,OVC,Little Rock,A,"W, 74-68",94.3,95.2,72.4,102.2,48.5,18,34.1,25.8,93.9,50.9,23.5,24.2,21.1,47.1,4
25,25,12/29/22,C,Southeast Missouri S,OVC,Southern Indiana,A,"L, 86-81",93.4,113.2,79.1,102.4,52.4,19,25.6,48.4,108.7,46,17.7,40.9,67.7,9.8,-10
26,26,11/7/22,N,Southeast Missouri S,OVC,South Florida,A,"W, 64-61",92.7,86.4,69.7,91.8,44.6,21.5,26.8,39.3,87.5,50,22.9,22.2,36.5,69,0
27,27,2/11/23,C,Southeast Missouri S,OVC,Morehead St.,H,"L, 65-59",91.8,110.5,62.8,94,42.9,14.3,16.1,42.9,103.6,50,11.2,31.2,31.6,10.5,-6
28,28,12/14/22,N,Southeast Missouri S,OVC,Arkansas St.,A,"L, 68-61",89.2,98.8,69,88.4,46.8,23.2,16.7,55.3,98.6,42.5,14.5,29.7,66,23.6,2
29,29,11/27/22,N,Southeast Missouri S,OVC,UC Davis,N,"L, 73-71",89.1,95.8,78.7,90.2,46.6,21.6,16.7,35.6,92.8,54.4,26.7,31.6,42.1,30.2,-5
30,30,11/28/22,N,Southeast Missouri S,OVC,Milwaukee,A,"L, 84-68",86.1,107.9,78.3,86.8,43.5,20.4,21.4,33.9,107.2,56.9,28.1,36.7,64.7,6.9,-9
31,31,12/7/22,N,Southeast Missouri S,OVC,Fort Wayne,H,"L, 89-68",85.7,115.2,79.7,85.3,43.5,18.8,15.2,25.8,111.7,60.5,17.6,12.1,47.4,3.3,-8
32,32,2/9/23,C,Southeast Missouri S,OVC,Tennessee St.,A,"L, 85-65",80.3,107.6,79.8,81.5,41.8,23.8,20,50.9,106.5,50.8,18.8,30,47.6,3.4,-9
33,33,1/19/23,C,Southeast Missouri S,OVC,Tennessee Martin,H,"L, 80-60",72.5,105.1,78.7,76.2,34.1,19.1,19.5,39.7,101.6,65.4,26.7,23.8,30.8,1.4,-10
