#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/3/22,N,Southeastern Louisia,Slnd,Dayton,A,"L, 80-74",123.2,114.2,65.3,113.2,55.5,13.8,21.2,32.7,122.4,66.3,19.9,29.2,79.1,70.6,-3
2,2,2/23/23,C,Southeastern Louisia,Slnd,Lamar,A,"W, 83-60",117.2,101,65.2,127.3,63.3,10.7,24.1,16.7,92,46.3,15.3,14.3,25.9,84.6,13
3,3,2/16/23,C,Southeastern Louisia,Slnd,Northwestern St.,A,"L, 81-76",112.8,113.3,68,111.7,56,20.6,33.3,22.4,119.1,55,10.3,29.7,41.7,48.8,7
4,4,1/26/23,C,Southeastern Louisia,Slnd,New Orleans,H,"W, 92-87",112.3,130,73.8,124.6,60.5,13.5,28.1,35.5,117.9,64.8,24.4,36.7,21.3,15.7,-3
5,5,12/21/22,N,Southeastern Louisia,Slnd,Southern,H,"W, 80-62",110.3,101.4,69.7,114.9,56.6,20.1,37.5,23,89,53.9,24.4,16.1,27.5,72.5,7
6,6,12/17/22,N,Southeastern Louisia,Slnd,Troy,H,"L, 77-71",109.6,115,67.5,105.2,50.8,22.2,41.2,23.7,114.1,50,14.8,34.2,44.1,36.7,0
7,7,1/14/23,C,Southeastern Louisia,Slnd,Incarnate Word,A,"W, 75-71",108.4,113.2,66.3,113.1,48.1,16.6,32.4,46.3,107.1,55.2,18.1,25,17.2,37.7,4
8,8,11/11/22,N,Southeastern Louisia,Slnd,Colorado St.,A,"L, 80-69",107.2,111.3,65.8,104.9,52.5,15.2,16.7,16.9,121.6,61.2,15.2,29.6,55.1,39.4,-5
9,9,11/13/22,N,Southeastern Louisia,Slnd,Wyoming,A,"W, 76-72",106.9,95,72.1,105.4,57.8,22.2,20,17.2,99.9,41.4,18,37,37.5,79.6,4
10,10,1/19/23,C,Southeastern Louisia,Slnd,Northwestern St.,H,"L, 91-81",106.8,125.7,64.5,111.6,45.5,11,37.2,38.8,125.3,53.7,11,34.1,36.8,13.3,-4
11,11,11/20/22,N,Southeastern Louisia,Slnd,Appalachian St.,A,"L, 83-74",105,108.8,76,97.4,42.7,10.5,28,20,109.2,55.1,18.4,25,42.4,40.1,-2
12,12,1/28/23,C,Southeastern Louisia,Slnd,New Orleans,A,"W, 80-64",105,96.7,70.9,112.9,55.4,21.2,32.1,35.7,90.3,54.7,33.9,36.7,17,72.2,7
13,13,1/21/23,C,Southeastern Louisia,Slnd,Texas A&M Commerce,H,"W, 79-73",104.6,113.8,68.3,115.6,53.6,11.7,21.2,41.1,106.9,61.8,19,17.2,21.8,27.6,2
