#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/22/23,C,Southern Illinois,MVC,Northern Iowa,H,"W, 86-63",128.9,105.1,63.3,135.8,74,17.4,22.7,19.2,99.5,43.8,12.6,27.5,41.1,91.3,10
2,2,1/21/23,C,Southern Illinois,MVC,Missouri St.,A,"W, 61-57",119.1,103.1,53.8,113.4,54.9,14.9,27.6,11.8,106,48.1,20.5,42.9,23.1,84.1,5
3,3,2/5/23,C,Southern Illinois,MVC,Missouri St.,H,"W, 73-53",118.9,97.4,58.9,124,53.5,15.3,40,22.8,90,53.6,27.2,32,38.1,90.8,4
4,4,11/7/22,N,Southern Illinois,MVC,Little Rock,H,"W, 94-63",118.8,94,70.5,133.4,69.1,25.5,46.4,43.6,89.4,43,9.9,22.2,28.1,93.7,18
5,5,11/30/22,C,Southern Illinois,MVC,Evansville,A,"W, 80-53",112.3,91,67.9,117.9,71.4,22.1,16.7,3.6,78.1,45.2,29.5,24.2,15.4,91.8,13
6,6,12/3/22,N,Southern Illinois,MVC,Saint Louis,A,"L, 85-72",108.4,116.7,67.8,106.2,59.8,20.7,12,43.5,125.4,62.3,20.7,40,29.8,29.9,-8
7,7,1/29/23,C,Southern Illinois,MVC,Illinois St.,A,"L, 72-66",108.2,125.7,59.2,111.6,57.3,16.9,35.5,18.2,121.7,58.5,22,34.6,38.3,15.3,-3
8,8,12/29/22,C,Southern Illinois,MVC,Murray St.,A,"W, 63-57",107.3,98.9,56.6,111.4,51.9,7.1,22.6,26.4,100.8,45.7,17.7,32.3,42.6,71.9,3
9,9,1/14/23,C,Southern Illinois,MVC,Illinois St.,H,"W, 69-57",104.1,103.5,60.6,113.9,54.6,8.3,13.3,25.9,94.1,56.2,24.8,18.2,45,51.8,3
10,10,12/10/22,N,Southern Illinois,MVC,Alcorn St.,H,"W, 74-68",102.3,106.4,68,108.8,63.5,27.9,33.3,43.8,100,45.8,16.2,31.4,28.3,38.8,1
11,11,11/10/22,N,Southern Illinois,MVC,Oklahoma St.,A,"W, 61-60",101.7,86.7,67.5,90.4,45.8,13.3,13.5,11.7,88.9,45.6,20.8,29.7,28.1,86.2,-3
12,12,2/14/23,C,Southern Illinois,MVC,Valparaiso,A,"W, 66-62",101.3,97.5,65.7,100.5,50,19.8,25,44,94.4,44,18.3,26.7,46,60.7,5
13,13,2/11/23,C,Southern Illinois,MVC,Drake,A,"L, 82-59",100.3,126,62.2,94.9,45.2,19.3,27,36.5,131.8,66.4,11.3,24,8.6,6.8,-19
14,14,1/17/23,C,Southern Illinois,MVC,Evansville,H,"W, 78-70",99.8,99.8,77.4,100.8,53.1,23.3,34.3,25,90.5,55.3,24.6,18.8,26.3,50.1,13
15,15,12/7/22,C,Southern Illinois,MVC,Indiana St.,H,"L, 74-71",99.2,103.8,70.5,100.7,56.7,21.3,19.4,10,105,50,12.8,27.8,23.8,37.3,-7
