#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/19/23,C,Southern Indiana,OVC,Lindenwood,A,"W, 81-65",117.4,116.7,62.7,129.2,67,22.3,40.7,16.1,103.7,47.3,14.4,28.9,30.4,51.8,3
2,2,2/25/23,C,Southern Indiana,OVC,Tennessee St.,A,"W, 93-81",117,117,74,125.7,52.5,16.2,42.9,64.4,109.5,48.5,10.8,27.9,34.3,49.8,-1
3,3,1/5/23,C,Southern Indiana,OVC,Morehead St.,A,"L, 84-80",114.4,118.1,72.1,111,51.7,19.4,37.8,40,116.6,61.2,16.7,11.1,63.3,40.8,-1
4,4,1/26/23,C,Southern Indiana,OVC,Eastern Illinois,H,"W, 78-74",112.9,117.8,67.2,116,47.8,7.4,39.6,37.7,110.1,53.2,10.4,26.3,23.8,38.1,11
5,5,12/19/22,N,Southern Indiana,OVC,IUPUI,N,"W, 87-74",111.1,109.7,71.1,122.4,59.5,22.5,44.4,23.8,104.2,48.2,16.9,21.9,36.8,53.6,13
6,6,1/21/23,C,Southern Indiana,OVC,SIU Edwardsville,A,"W, 82-72",108.9,93.7,77.2,106.1,50.9,18.1,31,78.2,93.2,41,12.9,24,23.6,85,12
7,7,11/7/22,N,Southern Indiana,OVC,Missouri,A,"L, 97-91",108.2,107.1,81.8,111.2,60.8,26.9,31.4,40,118.5,52.7,13.4,40,38.4,53,-12
8,8,2/18/23,C,Southern Indiana,OVC,Southeast Missouri S,A,"L, 85-80",108,119.9,72.7,110.1,54.6,20.6,34.6,48.1,117,45.8,8.3,29.7,67.8,23.1,-2
9,9,12/29/22,C,Southern Indiana,OVC,Southeast Missouri S,H,"W, 86-81",107.2,104.2,79.1,108.7,46,17.7,40.9,67.7,102.4,52.4,19,25.6,48.4,58.2,10
10,10,12/11/22,N,Southern Indiana,OVC,Indiana St.,H,"W, 88-85",106.6,99.7,73.7,106.2,50,14.5,28.6,44.3,102.6,56.9,20.5,21.6,29.2,68.3,-1
11,11,2/16/23,C,Southern Indiana,OVC,Little Rock,A,"W, 82-81",105.1,117.8,70.8,115.8,62.5,18.4,29.4,25,114.4,60.7,18.4,25,35.7,21.3,-3
12,12,11/13/22,N,Southern Indiana,OVC,Southern Illinois,H,"W, 71-53",103.4,84.8,69.3,102.5,58.3,26,29.6,47.9,76.5,37.1,21.6,25.6,24.1,90.7,5
13,13,2/2/23,C,Southern Indiana,OVC,Tennessee St.,H,"L, 80-76",103,116.2,71,107.1,49.2,15.5,23.1,29.5,112.7,61.1,15.5,18.2,44.4,19.9,2
14,14,12/31/22,C,Southern Indiana,OVC,Eastern Illinois,A,"L, 91-80",101.9,135,74.4,107.5,51.7,22.8,37.1,39,122.3,68.2,20.2,23.1,41.8,3.8,-7
15,15,2/11/23,C,Southern Indiana,OVC,Lindenwood,H,"W, 74-64",101,115.3,64.4,114.9,47.3,7.8,22.2,49.1,99.4,47.1,21.7,33.3,40.4,17.9,-2
16,16,2/4/23,C,Southern Indiana,OVC,Morehead St.,H,"L, 71-66",101,111.4,58.6,100.1,50,15.2,28.9,7.8,107.7,49.1,15.2,25,36.4,24.5,-1
17,17,1/28/23,C,Southern Indiana,OVC,Tennessee Martin,A,"L, 86-83",100.2,111.5,70.3,104.9,45.3,15.2,34.7,27,108.7,52.3,11.4,21.4,47.7,22.6,-3
18,18,1/14/23,C,Southern Indiana,OVC,Tennessee Martin,H,"W, 80-66",99.5,89.9,75.9,105.3,54.2,25,34.3,30,86.9,37.5,18.4,24.4,43.3,76.3,10
19,19,2/23/23,C,Southern Indiana,OVC,Tennessee Tech,H,"L, 82-79",99.5,117.3,73.8,107.1,51.5,16.3,33.3,28.4,111.1,55.8,20.3,27.8,30,13.1,-3
