#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/18/22,N,Southern,SWAC,California,A,"W, 74-66",119,105.2,65,113.8,61.2,20,22.2,34.7,101.5,53.4,30.8,33.3,52.3,80.6,10
2,2,2/11/23,C,Southern,SWAC,Prairie View A&M,H,"W, 79-65",114.2,116.6,66.7,118.5,50,15,33.3,60.4,97.5,53.7,22.5,26.5,24.1,44,0
3,3,1/7/23,C,Southern,SWAC,Florida A&M,H,"W, 84-66",112.5,118.7,68.4,122.8,66.7,21.9,33.3,39.2,96.5,56.5,26.3,21.4,13,35.2,5
4,4,1/9/23,C,Southern,SWAC,Bethune Cookman,H,"W, 102-75",111.5,104.1,80.9,126.1,71.8,18.5,17.4,52.7,92.7,53.5,27.2,17.6,33.3,68.8,12
5,5,1/23/23,C,Southern,SWAC,Mississippi Valley S,A,"W, 84-70",108.5,109.9,72.2,116.3,59.2,15.2,23.3,33.3,96.9,49.1,15.2,11.8,43.4,46.4,6
6,6,1/14/23,C,Southern,SWAC,Grambling St.,H,"W, 81-73",105.5,100.6,78.2,103.5,46.7,12.8,23.7,53.3,93.3,44.1,21.7,25,47.5,63.4,3
7,7,1/30/23,C,Southern,SWAC,Jackson St.,H,"W, 73-62",105.2,93.4,67.8,107.6,60.6,17.7,22.2,36.5,91.4,38.5,23.6,33.3,68.8,79.6,13
8,8,1/28/23,C,Southern,SWAC,Alcorn St.,H,"W, 80-68",103.3,96.6,73.8,108.4,65.1,24.4,10.5,22.6,92.1,46,19,34.9,36.5,68.5,7
9,9,12/16/22,N,Southern,SWAC,Youngstown St.,A,"L, 85-81",102.3,103.1,76.7,105.6,56.3,18.3,25,22.2,110.8,56.5,22.2,29.6,57.4,47.9,-2
10,10,11/16/22,N,Southern,SWAC,Saint Mary's,A,"L, 72-54",100.7,101.4,63.9,84.6,44.2,18.8,15.2,19.2,112.7,53.8,23.5,43.8,39.6,47.8,-9
11,11,1/2/23,C,Southern,SWAC,Texas Southern,A,"W, 77-76",99.3,97.9,71.5,95.7,43.8,14.9,23.9,43.1,94.4,50.9,21.1,24.3,56.9,53.9,6
12,12,11/11/22,N,Southern,SWAC,Arizona,A,"L, 95-78",97.6,98.1,85.1,91.7,42,12.9,18.4,43.5,111.7,59.1,22.3,31.4,83.6,48.4,-16
13,13,11/26/22,N,Southern,SWAC,Nebraska Omaha,N,"L, 88-78",96.6,117.4,77.1,101.2,54,22,27,27.4,114.1,60.2,20.7,15.4,69.4,9.7,-2
14,14,1/4/23,C,Southern,SWAC,Prairie View A&M,A,"W, 66-62",95.7,88.2,74.4,88.7,43.9,20.2,26.5,40.4,83.4,38.3,20.2,35.1,45,72,8
15,15,11/25/22,N,Southern,SWAC,Loyola MD,N,"W, 76-58",94,78.6,76.4,99.4,54.3,26.2,26.7,27.6,75.9,53.8,40.6,33.3,75,88.8,13
16,16,2/18/23,C,Southern,SWAC,Grambling St.,A,"L, 69-64",92.7,96.5,65.5,86.9,38.2,23.1,44.2,35.3,93.7,46.6,19,25,39.7,38.5,-2
17,17,2/13/23,C,Southern,SWAC,Texas Southern,H,"L, 79-68",91.3,121.4,72.2,94.2,43.4,13.8,24.3,31.1,109.4,56.4,22.2,30,43.6,3.6,-8
18,18,2/6/23,C,Southern,SWAC,Alabama St.,A,"L, 73-66",91.1,117.9,69.3,95.2,37.9,21.6,46.7,22.9,105.3,49.2,18.8,37.8,32.2,4.9,-4
19,19,3/4/23,C,Southern,SWAC,Alabama A&M,H,"L, 68-65",91,112.9,67.4,96.4,44.5,14.8,18.8,34.5,100.9,68.5,32.6,25,17.4,7.7,-4
20,20,3/9/23,CT,Southern,SWAC,Alabama A&M,N,"L, 77-63",89.1,124.3,68,92.7,41.5,19.1,27.8,49.1,113.3,54.3,25,46.4,74.5,2.1,-10
21,21,3/2/23,C,Southern,SWAC,Alabama St.,H,"W, 66-52",88.8,81.5,71,93,48.1,22.5,25,45.3,73.2,41.3,26.8,28.6,30.8,73,12
22,22,2/4/23,C,Southern,SWAC,Alabama A&M,A,"L, 82-61",87.7,129.9,68.1,89.6,47.9,25,16.7,38.3,120.5,71,22,26.3,32,1.1,-14
23,23,12/21/22,N,Southern,SWAC,Southeastern Louisia,A,"L, 80-62",87.4,112.7,69.7,89,53.9,24.4,16.1,27.5,114.9,56.6,20.1,37.5,23,5.1,-7
24,24,12/18/22,N,Southern,SWAC,UAB,A,"L, 92-66",83.3,105.4,82.1,80.4,41.5,18.3,17,30.8,112.1,52.3,20.7,40,50,6.3,-21
25,25,2/27/23,C,Southern,SWAC,Florida A&M,A,"W, 60-58",81,95.6,70.9,84.6,44.5,18.3,16.7,34.5,81.8,44.3,19.7,19.5,13.1,13,-2
26,26,12/2/22,N,Southern,SWAC,Louisiana Tech,A,"L, 74-59",80.6,100.9,72.9,80.9,38.9,19.2,17.5,20.6,101.5,56,15.1,20,24.1,7,-10
27,27,12/13/22,N,Southern,SWAC,Xavier,A,"L, 79-59",79.1,87.5,78.7,75,43.1,25.4,13.2,17.2,100.4,55.8,24.2,24.2,30,23.9,-13
28,28,1/21/23,C,Southern,SWAC,Arkansas Pine Bluff,A,"L, 62-55",76.1,102.7,68.4,80.5,41,29.3,22.2,34,90.7,48.1,29.3,37.5,26.9,3.1,-10
29,29,11/7/22,N,Southern,SWAC,UNLV,A,"L, 66-56",76.1,82.9,77.3,72.4,43.4,36.2,27,26.4,85.3,35.4,23.3,20.6,79.2,27.4,-8
30,30,2/25/23,C,Southern,SWAC,Bethune Cookman,A,"L, 60-53",72.8,96.8,66.7,79.5,38,25.5,30,35.2,90,42.2,15,21.1,51,3.6,-5
