#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/26/23,C,St. Bonaventure,A10,Saint Joseph's,H,"W, 89-76",127.7,110.4,69.3,128.4,65.7,18.8,36,58.8,109.7,54,20.2,24.1,52,84.3,10
2,2,12/31/22,C,St. Bonaventure,A10,Massachusetts,H,"W, 83-64",121,98.5,68.5,121.2,59.8,16.1,25.8,18,93.5,43.9,24.8,38.2,63.3,91.4,12
3,3,12/19/22,N,St. Bonaventure,A10,Siena,A,"L, 76-70",118.4,129.1,60.3,116.2,57.4,18.3,37.9,24.1,126.1,60.2,19.9,38.1,59.1,26.9,-3
4,4,2/4/23,C,St. Bonaventure,A10,Dayton,H,"W, 68-59",115.2,93.4,61.5,110.5,52.9,11.4,29,36.5,95.9,42.9,14.6,32.1,30.4,91.8,4
5,5,1/4/23,C,St. Bonaventure,A10,George Mason,H,"W, 73-69",112.8,109.8,66.1,110.4,61.8,18.2,18.5,27.5,104.4,49.1,18.2,25,32.7,57.7,2
6,6,11/12/22,N,St. Bonaventure,A10,Canisius,A,"L, 84-80",111.2,119.3,63.2,112.6,50,16.9,40,35.9,118.2,56.2,12.7,30.6,57.1,30.9,-1
7,7,1/28/23,C,St. Bonaventure,A10,VCU,A,"W, 61-58",106.2,91.8,63.3,96.3,47.2,15.8,18.2,28.3,91.6,47.1,18.9,26.5,35.3,84.3,-3
8,8,11/30/22,N,St. Bonaventure,A10,Middle Tennessee,H,"W, 71-64",105.9,101.6,65.4,108.6,55.6,22.9,32,66.7,97.9,48.3,18.3,38.9,31,61.6,-2
9,9,11/19/22,N,St. Bonaventure,A10,Bowling Green,H,"W, 81-68",104.8,98.5,71,114.1,57.4,19.7,33.3,51.9,95.8,42.1,12.7,31,17.1,67.2,8
10,10,1/25/23,C,St. Bonaventure,A10,Fordham,H,"L, 79-68",104.8,115.4,68.9,98.7,45.7,18.9,25,66,114.6,50.9,16,27.8,67.9,24.7,-1
11,11,2/1/23,C,St. Bonaventure,A10,Richmond,A,"W, 66-62",103.5,93,66.4,99.3,55.3,21.1,16.7,46.8,93.3,42.7,18.1,12.9,45.8,77.4,4
12,12,1/18/23,C,St. Bonaventure,A10,Duquesne,H,"W, 65-56",102.1,77,67.3,96.6,52,19.3,21.9,42,83.3,40,14.9,24.4,30,96.3,13
13,13,11/25/22,N,St. Bonaventure,A10,Notre Dame,N,"W, 63-51",101.8,78.6,61.4,102.5,50,17.9,28.1,18.5,83,36.4,14.6,23.7,27.3,95.2,9
14,14,1/14/23,C,St. Bonaventure,A10,Richmond,H,"W, 71-63",101.6,96.6,68.9,103,44.8,11.6,23.5,39.7,91.4,46,21.8,18.8,42,64,2
15,15,2/8/23,C,St. Bonaventure,A10,La Salle,H,"L, 76-70",100.8,113.7,67.7,103.5,53.5,19.2,21.9,22.8,112.3,61.1,20.7,31,27.8,20.1,-2
16,16,12/3/22,N,St. Bonaventure,A10,Buffalo,A,"L, 83-66",99.4,118.3,68.5,96.4,47.5,19,30.8,31.7,121.2,55.1,14.6,37.5,35.6,12,-7
17,17,11/22/22,N,St. Bonaventure,A10,Southern Indiana,H,"W, 80-66",98.4,91.6,74.7,107,59.8,22.7,20,47.1,88.3,45.2,20.1,28.2,27,69.3,8
18,18,1/11/23,C,St. Bonaventure,A10,Rhode Island,A,"L, 68-67",98.1,107.5,68.5,97.8,42.6,11.7,31.1,19.1,99.3,41.5,21.9,37.1,54.7,25.8,-4
19,19,11/7/22,N,St. Bonaventure,A10,St. Francis PA,H,"W, 71-58",97.8,97.9,63.7,111.4,49.2,11,32.4,33.9,91,42.3,18.8,28.6,40.4,49.7,5
20,20,2/15/23,C,St. Bonaventure,A10,Fordham,A,"L, 78-63",96.7,111.5,69.8,90.3,46.3,17.2,12.5,31.5,111.8,58.3,22.9,35.5,40.7,16.2,-7
