#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/30/22,N,St. Francis NY,NEC,Delaware St.,H,"W, 81-73",106.2,114.8,71.9,112.6,51.5,13.9,39,39.4,101.5,43.5,18.1,47.6,29,28.9,8
2,2,1/26/23,C,St. Francis NY,NEC,Wagner,A,"W, 65-56",102.6,106.7,61,106.5,53.3,18,24.1,53.3,91.8,45.1,19.7,26.7,27.5,38.8,-1
3,3,1/10/23,N,St. Francis NY,NEC,Hartford,H,"W, 78-73",101.8,130.1,66.3,117.6,62,18.1,29.6,46,110,57.6,16.6,25.9,16.9,5.6,2
4,4,1/14/23,C,St. Francis NY,NEC,Sacred Heart,H,"W, 82-79",101.2,115.1,75.6,108.5,59.5,18.5,16.7,29.3,104.5,53.1,19.8,31.2,23.4,18.5,3
5,5,2/9/23,C,St. Francis NY,NEC,Wagner,H,"W, 64-62",99.2,104.4,58,98,43.3,24.5,47.4,26.7,95,39,16.8,38.5,35.6,35.6,6
6,6,2/23/23,C,St. Francis NY,NEC,Sacred Heart,A,"W, 70-63",97.6,87.3,72.5,96.5,48.3,23.4,35.7,35,86.9,45.8,19.3,23.7,28.3,78.3,14
7,7,2/25/23,C,St. Francis NY,NEC,Fairleigh Dickinson,A,"L, 86-69",95.9,125.9,65.6,105.3,49,22.9,33.3,43.1,131.2,66.1,18.3,43.3,23.7,4.2,-7
8,8,3/1/23,CT,St. Francis NY,NEC,Fairleigh Dickinson,A,"L, 83-75",95.7,122.5,67.9,110.5,55.2,17.7,24.2,24.1,122.3,52.2,14.7,46.2,22.1,5.5,-10
9,9,11/25/22,N,St. Francis NY,NEC,South Florida,A,"L, 75-60",94.7,102.1,68.4,87.7,52.2,30.7,17.9,32.6,109.6,51.6,13.2,28.6,19,29.7,-2
10,10,12/6/22,N,St. Francis NY,NEC,Hartford,H,"W, 68-50",93.9,97.5,61.8,110,45.5,14.6,37.1,35.7,80.9,46.7,29.1,27.6,28.3,39.5,8
11,11,1/16/23,C,St. Francis NY,NEC,LIU Brooklyn,A,"W, 73-66",93.5,114.9,69.4,105.2,54.8,20.2,32.1,44.2,95.1,44.8,20.2,33.3,43.1,8.6,2
12,12,11/11/22,N,St. Francis NY,NEC,Minnesota,A,"L, 72-54",93.1,121.8,59.2,91.3,44.7,18.6,32.4,12.3,121.7,60.2,20.3,44,38.8,4.4,-9
13,13,1/7/23,C,St. Francis NY,NEC,Merrimack,A,"L, 65-53",92.5,121.2,61,86.9,42.7,31.1,45.2,35.4,106.6,51.1,21.3,35.7,48.9,4.2,-7
14,14,12/10/22,N,St. Francis NY,NEC,UMass Lowell,A,"L, 68-59",92,103.2,64.2,91.9,38.3,15.6,36.6,31.7,105.9,53.3,21.8,29.6,56.5,21.2,-8
15,15,2/4/23,C,St. Francis NY,NEC,Stonehill,H,"L, 65-59",89.3,118.4,62.4,94.5,42.4,22.4,40,20.3,104.1,51,20.8,29.6,30,3.8,-5
16,16,1/22/23,C,St. Francis NY,NEC,Merrimack,H,"L, 63-55",88.1,110.2,65.8,83.6,48.9,34.9,35.7,35.6,95.7,53.3,22.8,13.6,42.2,7.1,-3
17,17,11/23/22,N,St. Francis NY,NEC,Miami FL,A,"L, 79-56",87.6,96.5,69,81.1,42,27.5,28.9,21.4,114.5,56.5,17.4,34.5,48.1,24.6,-8
18,18,12/17/22,N,St. Francis NY,NEC,Hartford,A,"W, 67-51",87.3,93.9,65.7,102,47.3,16.7,26.5,28.6,77.7,38.1,21.3,30.8,16.9,30.1,3
19,19,12/13/22,N,St. Francis NY,NEC,Longwood,H,"L, 63-57",85.2,96.6,66.8,85.3,40.2,21,25.7,23.2,94.3,46.9,29.9,40,49,19,-4
20,20,1/28/23,C,St. Francis NY,NEC,LIU Brooklyn,H,"W, 71-59",84.8,96.7,74,95.9,42.8,12.2,30,30.4,79.7,43.9,29.7,16.7,38.8,18.1,8
21,21,11/19/22,N,St. Francis NY,NEC,Saint Peter's,H,"W, 61-58",84.2,96.4,67.6,90.2,46.8,22.2,25,53.2,85.8,33.6,25.1,43.5,39.3,17.5,-2
