#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/19/22,N,St. Thomas,Sum,Merrimack,N,"W, 72-61",132.7,120.7,57.6,125.1,69,31.3,50,6,106,50,10.4,15.6,23.5,74.8,8
2,2,2/9/23,C,St. Thomas,Sum,Oral Roberts,H,"L, 95-88",129.6,125,70,125.7,63.3,10,15.6,26.7,135.7,65.5,8.6,19.2,41.4,60.4,-2
3,3,1/5/23,C,St. Thomas,Sum,Denver,H,"W, 81-71",121.8,107.1,66,122.8,53.4,13.6,35.3,37.9,107.6,50.9,21.2,39.3,37,81.4,15
4,4,2/2/23,C,St. Thomas,Sum,Nebraska Omaha,A,"W, 89-83",120.4,124.4,69.5,128,56.4,14.4,31,52.7,119.4,62,18.7,29.2,56,40.6,3
5,5,12/19/22,C,St. Thomas,Sum,North Dakota,H,"W, 75-62",117.6,113.8,57.5,130.5,61.3,8.7,19.2,24.5,107.8,52.9,24.4,50,15.4,59.3,4
6,6,11/18/22,N,St. Thomas,Sum,Troy,N,"W, 78-76",116.4,116.1,67.9,114.9,65.3,19.2,4.2,30.6,112,54.3,19.2,33.3,27.6,50.8,-4
7,7,12/10/22,N,St. Thomas,Sum,Idaho St.,A,"W, 76-70",115.8,108.5,64.8,117.2,58,17,15.4,38,108,55.7,23.1,35.5,26.4,67.8,5
8,8,12/21/22,C,St. Thomas,Sum,North Dakota St.,H,"W, 78-68",115.7,110.2,64,121.8,55.6,9.4,22.2,40.7,106.2,61.2,18.7,18.5,32.7,63.6,4
9,9,11/11/22,N,St. Thomas,Sum,Chicago St.,H,"W, 83-61",115.5,96.9,65.5,126.7,69.4,19.8,32,49,93.1,41,15.3,31,26.2,88.4,13
10,10,11/13/22,N,St. Thomas,Sum,St. Francis NY,H,"W, 84-48",114.8,92.3,65.4,128.5,63.6,9.2,24.1,25.4,73.4,32.2,18.4,29.3,23.7,92.5,14
11,11,2/11/23,C,St. Thomas,Sum,UMKC,H,"W, 73-43",114.3,83.8,59.5,122.7,53.8,11.8,34.5,40.4,72.3,29.4,21.9,33.3,41.2,97.3,15
12,12,11/26/22,N,St. Thomas,Sum,Utah,A,"L, 95-66",114,133.7,66.6,99.2,48.2,19.5,29.7,30.4,142.7,67.2,10.5,32.3,31.1,13.8,-12
13,13,12/13/22,N,St. Thomas,Sum,Green Bay,H,"W, 82-61",112.3,111.8,64.6,126.9,55.2,13.9,39.4,34.5,94.4,55,20.1,7.4,20,51.4,10
14,14,12/29/22,C,St. Thomas,Sum,South Dakota,A,"L, 92-84",108.4,130.9,71.7,117.2,51.5,7,23.7,31.3,128.3,67.9,19.5,32,45.3,10.3,-7
15,15,1/14/23,C,St. Thomas,Sum,Oral Roberts,A,"L, 81-69",108,109,67.2,102.8,47.6,14.9,23.1,15.9,120.6,66.7,13.4,12,35.3,47.2,-6
16,16,11/23/22,N,St. Thomas,Sum,Milwaukee,A,"W, 76-72",105.1,102.5,71.2,106.8,60.4,21.1,13.8,32.1,101.2,54.9,25.3,39.4,14.8,57.1,2
17,17,1/7/23,C,St. Thomas,Sum,Nebraska Omaha,H,"W, 80-68",104.3,105.4,69.7,114.8,52.6,12.9,29.7,43.1,97.5,45,20.1,28.2,30,47.1,5
18,18,11/7/22,N,St. Thomas,Sum,Creighton,A,"L, 72-60",102.6,96,66.8,89.9,49.1,21,18.2,6.9,107.8,45.5,7.5,29.3,21.2,68.1,-6
19,19,2/18/23,C,St. Thomas,Sum,Western Illinois,H,"W, 82-69",101.1,100.6,73.5,111.6,56.5,21.8,23.3,46.3,93.9,41.5,15,35.4,21.1,51.2,5
20,20,2/4/23,C,St. Thomas,Sum,Denver,A,"W, 68-57",100.3,91.3,65,104.6,53.6,15.4,20,27.3,87.7,35.2,20,33.3,42.6,74.6,5
21,21,12/8/22,N,St. Thomas,Sum,Montana St.,A,"L, 82-65",99.6,113.7,70.4,92.4,35.3,11.4,20.9,50,116.5,58.5,19.9,26.9,39.6,17.9,-10
22,22,2/25/23,C,St. Thomas,Sum,North Dakota,A,"L, 82-74",99.2,111.8,72.1,102.7,49.3,9.7,19.5,17.6,113.8,60.7,15.3,21.2,42.9,20.1,-2
23,23,3/5/23,CT,St. Thomas,Sum,Western Illinois,N,"W, 67-60",97.2,103.6,62.2,107.6,50.9,17.7,32.1,27.3,96.4,47.6,11.2,29.7,8.1,32.5,-2
24,24,1/12/23,C,St. Thomas,Sum,UMKC,A,"L, 81-60",97,128.6,64.8,92.6,34.8,13.9,30.8,48.2,125,56.5,13.9,40,50,3.7,-3
25,25,3/6/23,CT,St. Thomas,Sum,Oral Roberts,N,"L, 70-65",96,88.9,71.2,91.4,40,12.6,31.4,8,98.4,46.6,16.9,24.3,37.9,70.7,0
26,26,1/28/23,C,St. Thomas,Sum,South Dakota,H,"L, 81-67",93,119.8,68,98.5,47.3,10.3,8.6,32.1,119.1,64.4,17.6,22.2,38.5,5.2,-3
27,27,1/21/23,C,St. Thomas,Sum,Western Illinois,A,"L, 60-56",91.4,101,59.4,94.3,41.8,15.2,25.7,21.8,101,48.9,21.9,34.6,37,24.2,1
28,28,12/31/22,C,St. Thomas,Sum,South Dakota St.,A,"L, 71-64",91.1,100,70.6,90.7,46.2,21.2,20.6,41.5,100.6,50.8,12.7,17.6,16.1,25.7,-4
29,29,1/26/23,C,St. Thomas,Sum,South Dakota St.,H,"W, 60-54",90.3,87.5,64,93.7,45.4,18.7,20.6,22.2,84.3,47.2,25,26.5,9.3,59,1
30,30,2/23/23,C,St. Thomas,Sum,North Dakota St.,A,"L, 73-64",90.2,99.4,71.7,89.3,44.8,9.8,12.2,9,101.8,50.9,19.5,21.4,37,24.7,-2
31,31,11/17/22,N,St. Thomas,Sum,Montana,A,"L, 78-59",86,111.7,67.1,87.9,39,17.9,18.9,54,116.3,50,13.4,33.3,45.6,4.7,-13
