#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/12/23,C,Stetson,ASun,Bellarmine,A,"W, 80-51",134.9,89.5,57.5,139,67.5,15.6,34.5,7,88.6,45.7,15.6,17.9,27.7,99.1,18
2,2,2/18/23,C,Stetson,ASun,Florida Gulf Coast,A,"W, 88-84",132.8,125.2,66.4,132.6,62.3,9,28.1,27.9,126.6,63.8,7.5,10.3,24.1,66.4,4
3,3,2/4/23,C,Stetson,ASun,Central Arkansas,H,"W, 99-80",128,123.4,70.4,140.6,66.4,18.5,46.7,14.9,113.6,53.2,8.5,17.6,27.4,60.5,10
4,4,11/7/22,N,Stetson,ASun,Florida St.,A,"W, 83-74",127.4,112.6,64.7,128.3,59,12.4,40,26.2,114.4,50.8,13.9,36.8,45.8,80.6,7
5,5,11/14/22,N,Stetson,ASun,South Florida,A,"W, 68-67",127.4,110,56.9,119.5,53.9,10.5,24.1,31.4,117.8,50,5.3,37.1,21.7,84.4,7
6,6,1/21/23,C,Stetson,ASun,Jacksonville St.,H,"W, 87-81",125.8,116.6,69.6,125,61.8,18.7,32.1,56.9,116.4,62,18.7,26.7,44.4,70.5,11
7,7,2/24/23,C,Stetson,ASun,Lipscomb,H,"L, 98-91",121.5,131.7,67,120.8,55.1,13.3,28.9,24.6,130.1,61.6,6.6,21.2,23.2,28.3,-2
8,8,1/5/23,C,Stetson,ASun,Jacksonville,H,"W, 73-61",119.2,102.1,61.5,118.7,60.6,13,10.7,23.1,99.2,53,21.1,25,18,85.6,11
9,9,11/27/22,N,Stetson,ASun,Campbell,A,"L, 87-85",117.2,119.2,63.2,119.5,62.3,19.7,30,7.7,122.3,67,23.9,37.5,50,45.2,2
10,10,1/7/23,C,Stetson,ASun,North Alabama,A,"W, 95-85",116.9,117,66.3,127.3,60.8,12.1,26.5,30.8,113.9,57.6,12.1,18.2,18.2,49.9,-3
11,11,12/21/22,N,Stetson,ASun,UCF,A,"L, 73-58",114.8,120.5,56.1,103.4,45.8,12.5,39.5,8.3,130.2,55,14.3,45.2,13.3,36.4,-6
12,12,12/30/22,C,Stetson,ASun,Lipscomb,A,"W, 86-80",114.7,107.4,67,114,52.2,13.3,26.3,21.7,106.1,50.7,17.2,32.5,17.4,68.2,1
13,13,11/18/22,N,Stetson,ASun,Rider,N,"W, 78-68",114.5,103.1,65.6,119,51.6,10.7,39,31.2,103.7,41.8,9.2,32.6,23.9,77,6
14,14,2/22/23,C,Stetson,ASun,Austin Peay,H,"W, 76-51",112.8,98.3,60.4,125.8,58.8,19.9,42.3,33.3,84.4,42.6,14.9,18.9,18.5,82.9,9
15,15,2/9/23,C,Stetson,ASun,Jacksonville,A,"W, 70-67",111.1,102.5,65.3,107.2,50,10.7,19.4,37,102.6,49.1,16.8,17.6,27.3,71.5,6
16,16,2/11/23,C,Stetson,ASun,North Florida,A,"L, 92-81",107.7,129.8,68.5,118.2,55.6,11.7,24.3,25.4,134.3,67.9,14.6,25,41.5,10.5,-11
17,17,1/19/23,C,Stetson,ASun,Kennesaw St.,H,"L, 82-81",107,111.9,66.6,108,56.6,24,35.9,32.8,109.4,57.8,21.3,29,37.9,37.4,-6
18,18,2/15/23,C,Stetson,ASun,Florida Gulf Coast,H,"W, 75-72",104.5,107.5,69,108.7,53.6,17.4,20,30.9,104.3,50.9,13,12.9,38.9,42.1,1
19,19,2/28/23,CT,Stetson,ASun,Lipscomb,H,"L, 83-70",103.9,118.9,69.3,101,46.6,11.5,11.8,29.3,119.7,55.6,7.2,21.6,28.6,17.5,-3
20,20,1/14/23,C,Stetson,ASun,Eastern Kentucky,A,"L, 85-70",103.6,127.4,68.3,102.5,48.3,11.7,23.1,30,124.5,53.8,11.7,41.7,31.8,8.5,-14
21,21,2/2/23,C,Stetson,ASun,North Alabama,H,"W, 79-57",102.5,91.7,67.7,116.8,54.5,17.7,27.3,41.1,84.2,39.4,14.8,21.1,46.2,78.4,4
22,22,11/19/22,N,Stetson,ASun,Niagara,N,"L, 66-62",102,113.5,59.5,104.2,50,16.8,32.3,40.8,110.9,49.1,18.5,38.7,34,22.6,-1
23,23,12/14/22,N,Stetson,ASun,College of Charlesto,A,"L, 65-60",100,102.9,61.5,97.5,54.7,19.5,21.4,9.4,105.7,44.1,14.6,34.2,23.7,41.9,-9
24,24,1/2/23,C,Stetson,ASun,North Florida,H,"W, 68-62",97.6,94.2,63.7,106.8,51.8,12.6,25,19.3,97.4,45.4,22,31.4,31.5,59.9,5
25,25,12/17/22,N,Stetson,ASun,Ohio,A,"L, 85-66",93.6,117.5,68.7,96.1,45,24.8,41.5,26.7,123.8,56.7,14.6,37.1,17.9,6.9,-13
26,26,1/28/23,C,Stetson,ASun,Queens,A,"L, 71-65",93.6,97.4,69.1,94,46.8,17.4,24.3,9.5,102.7,48.2,15.9,26.3,42.1,38.9,0
27,27,12/4/22,N,Stetson,ASun,Florida,A,"L, 89-51",93.2,120.5,67,76.1,37,23.9,26.3,29.6,132.9,63.2,16.4,35.7,49.1,4.9,-11
28,28,1/26/23,C,Stetson,ASun,Liberty,A,"L, 74-45",87.2,107.6,60.5,74.4,41.8,21.5,18.8,18.4,122.3,55.9,14.9,38.7,16.9,8.2,-10
