#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/10/22,N,Stonehill,NEC,Quinnipiac,H,"L, 102-95",124.4,140,74.7,127.2,60.9,14.7,28.1,29.7,136.6,62.3,16.1,43.2,43.1,20.4,-5
2,2,11/15/22,N,Stonehill,NEC,Providence,A,"L, 100-76",110.1,122.8,72.2,105.3,62.1,19.4,14.3,12.1,138.6,61.2,16.6,51.6,31.3,22.2,-13
3,3,12/29/22,C,Stonehill,NEC,Sacred Heart,A,"W, 74-67",106.9,96,70.1,105.6,58.3,18.6,23.5,15,95.6,47.7,15.7,22.5,9.1,77.6,15
4,4,11/12/22,N,Stonehill,NEC,Army,A,"W, 82-77",106.3,99.7,76.5,107.2,59.3,15.7,7.7,23.7,100.6,48.3,14.4,13.3,40.7,67.5,5
5,5,1/28/23,C,Stonehill,NEC,Sacred Heart,H,"W, 82-81",105.5,126.2,71.6,114.5,68.3,16.8,8,34.6,113.1,54.5,20.9,40.5,21.2,11.2,-1
6,6,2/18/23,C,Stonehill,NEC,Central Connecticut,A,"L, 94-90",102.7,121.5,59.7,109.7,48.1,11,36.4,24.4,114.5,48.2,14.6,35.4,18.3,12.6,-1
7,7,11/19/22,N,Stonehill,NEC,Holy Cross,N,"W, 81-79",102.5,121.8,73.5,110.2,55.7,23.1,29.6,45.3,107.4,54.8,20.4,27.8,22.6,12.1,-4
8,8,12/3/22,N,Stonehill,NEC,Binghamton,A,"W, 69-66",101.4,101,67.1,102.9,54.2,16.4,13.3,43.8,98.4,47.6,22.4,34.1,21,51.1,5
9,9,2/4/23,C,Stonehill,NEC,St. Francis NY,A,"W, 65-59",101,106.2,62.4,104.1,51,20.8,29.6,30,94.5,42.4,22.4,40,20.3,36,5
10,10,1/20/23,C,Stonehill,NEC,LIU Brooklyn,A,"W, 73-66",100.1,118,66.1,110.4,56.6,15.1,21.4,34,99.8,57.7,22.7,20.7,23.1,13.2,5
11,11,12/31/22,C,Stonehill,NEC,St. Francis PA,A,"L, 73-72",97.6,109.9,67.9,106,56.9,11.8,6.7,43.1,107.5,52.8,19.1,30,45.3,20.3,0
12,12,2/16/23,C,Stonehill,NEC,LIU Brooklyn,H,"W, 75-60",97.1,106.3,68.3,109.7,48.3,11.7,27,31.7,87.8,42.2,17.6,18.9,24.1,26.3,10
13,13,12/7/22,N,Stonehill,NEC,Rider,H,"L, 78-67",96.6,109.6,68.9,97.3,54.6,16,11.4,25.9,113.3,51.6,17.4,33.3,27.4,19,1
14,14,2/2/23,C,Stonehill,NEC,St. Francis PA,H,"W, 74-61",96.6,94,68.4,108.2,55.5,16.1,16.7,27.3,89.2,49.1,21.9,23.5,21.4,57.9,8
