#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,TCU,B12,Oklahoma St.,H,"W, 100-75",145.3,99.9,75.4,132.5,75.4,21.2,33.3,38.6,99.4,55.6,22.5,21.2,40.7,98.7,12
2,2,1/21/23,C,TCU,B12,Kansas,A,"W, 83-60",132.7,77.9,70.9,117,61.4,21.2,31,28.1,84.6,44.9,24,27,18.6,99.8,12
3,3,2/25/23,C,TCU,B12,Texas Tech,A,"W, 83-82",128.1,105.6,71.1,116.8,52.9,14.1,39.4,19.1,115.4,55.8,16.9,35.5,35,90.2,3
4,4,1/11/23,C,TCU,B12,Texas,A,"L, 79-75",123.4,94.4,72.1,104,52.5,19.4,27.3,27.1,109.5,51.5,15.3,31.4,21.2,95.6,7
5,5,1/4/23,C,TCU,B12,Baylor,A,"W, 88-87",123.2,100.6,73.8,119.2,50.7,9.5,30.6,33.8,117.9,54.6,20.3,38.7,61.1,91.2,-5
6,6,3/9/23,CT,TCU,B12,Kansas St.,N,"W, 80-67",122.7,89.5,71.6,111.8,48.5,12.6,31.8,31.3,93.6,50,28,35.5,27.3,97.4,5
7,7,1/24/23,C,TCU,B12,Oklahoma,H,"W, 79-52",121,73,69.3,114.1,47.5,11.6,36.8,47.5,75.1,35.2,21.7,30.4,15.6,99.7,15
8,8,1/14/23,C,TCU,B12,Kansas St.,H,"W, 82-68",120.7,84.2,75.7,108.4,48.6,13.2,35,26.8,89.9,47.7,26.4,34.2,10.8,98.4,11
9,9,1/31/23,C,TCU,B12,West Virginia,H,"W, 76-72",120.3,93.8,68,111.7,53.4,10.3,20,32.8,105.8,49.1,14.7,23.5,33.3,94.6,5
10,10,11/17/22,N,TCU,B12,Louisiana Monroe,H,"W, 95-60",120.1,84.6,77.3,122.9,60.9,20.7,38.7,29.7,77.6,34.8,20.7,27.7,27.3,98.3,21
11,11,12/18/22,N,TCU,B12,Mississippi Valley S,H,"W, 88-43",118.9,77.2,66.7,132,55.6,13.5,48.6,41.9,64.5,38.3,30,25.7,40.4,99.3,23
12,12,3/1/23,C,TCU,B12,Texas,H,"W, 75-73",118.4,87.3,73.5,102.1,50.9,29.9,46.9,41.1,99.4,45.3,15,26.2,29.7,97.1,8
13,13,1/28/23,N,TCU,B12,Mississippi St.,A,"L, 81-74",117.6,110,64.6,101.8,44.1,13.8,30.2,29.4,111.4,56,19.3,37.5,39.7,68.2,-4
