#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/3/22,N,Temple,Amer,VCU,H,"W, 83-73",129.9,104.7,70.2,118.3,56.5,20,35.5,50,104,55.9,25.7,29.6,39.2,92.3,6
2,2,2/5/23,C,Temple,Amer,Houston,H,"L, 81-65",127.2,113.6,61.5,105.6,51,24.4,42.4,35.3,131.7,64.4,13,29.2,38.5,78.5,-4
3,3,2/22/23,C,Temple,Amer,Cincinnati,A,"L, 88-83",123.8,109.9,65,113.6,55.9,10.9,15.2,39,120.4,52.6,12.3,22.6,52.6,79.7,-2
4,4,2/12/23,C,Temple,Amer,Memphis,A,"L, 86-77",122.2,110.6,69.9,110.2,61.1,22.9,22.2,24.1,123.1,63.3,12.9,25,26.7,75.9,-5
5,5,11/15/22,N,Temple,Amer,Vanderbilt,H,"L, 89-87",119.2,111.8,64.5,119.9,60,16.5,29.7,38.3,122.6,60.7,12.4,30.6,15.7,67.7,0
6,6,11/18/22,N,Temple,Amer,Rutgers,N,"W, 72-66",118.4,85.8,73.1,98.4,49.1,27.3,34.3,35.7,90.2,39.2,17.8,32.6,48.3,97.6,11
7,7,11/27/22,N,Temple,Amer,Drexel,H,"W, 73-61",118.2,107.8,61.3,119.1,65.6,18,13.6,22.9,99.6,50,14.7,16.7,13,74.1,4
8,8,3/5/23,C,Temple,Amer,Tulane,A,"L, 83-82",114,113,71.7,114.4,50,14,36.8,39.1,115.8,58.8,16.7,25,38.6,52.7,-7
9,9,2/19/23,C,Temple,Amer,Tulsa,H,"W, 76-53",113.3,99.8,60.3,126,66,18.2,30.4,15.1,87.9,45.4,16.6,20,11.1,81.1,6
10,10,1/7/23,C,Temple,Amer,Tulane,H,"L, 87-76",112.7,116.9,70,108.6,54.8,11.4,21.1,22.2,124.3,55.1,8.6,21.2,44.1,39.6,-2
11,11,12/20/22,N,Temple,Amer,Maryland Eastern Sho,H,"L, 86-78",112.4,135.6,71.7,108.8,55.4,22.3,28.1,35.7,119.9,56.6,22.3,45.9,37.7,10.3,-3
12,12,1/1/23,C,Temple,Amer,Cincinnati,H,"W, 70-61",112.2,89.4,65.1,107.5,49.1,23,42.4,26.3,93.7,44.2,10.7,22,25,93.2,4
13,13,1/10/23,C,Temple,Amer,Tulsa,A,"W, 76-72",108.6,104.4,69.6,109.3,52.5,21.6,44.1,32.2,103.5,46.8,17.3,29.7,27.4,61.2,7
14,14,11/11/22,N,Temple,Amer,Villanova,H,"W, 68-64",108.4,91,65.3,104.2,42.5,10.7,28.9,35,98,50,19.9,22.2,32,88.2,4
15,15,1/22/23,C,Temple,Amer,Houston,A,"W, 56-55",107.7,76.2,62.2,90,40,20.9,15.6,48.9,88.4,39.3,11.3,30,37.5,98.2,2
16,16,1/28/23,C,Temple,Amer,UCF,A,"W, 77-70",107,89,67.7,101.1,52.6,22.3,26.5,42.1,91.9,44.8,19.7,24.3,43.1,89.3,0
17,17,2/16/23,C,Temple,Amer,Wichita St.,H,"L, 79-65",105.6,110.3,67.1,96.9,50,14.9,16.7,26.8,117.8,55.2,17.9,37.5,32.8,37.7,-2
18,18,1/18/23,C,Temple,Amer,East Carolina,H,"W, 73-58",102.3,96,67.2,108.7,45.2,11.9,22.9,59.6,86.3,40.3,25.3,40.9,22.6,67.5,0
19,19,11/7/22,N,Temple,Amer,Wagner,H,"L, 76-73",102.3,118.7,63.4,102.3,43.5,18.2,26.5,55.6,106.5,47.7,11.2,31.6,34.4,15.3,3
20,20,12/10/22,N,Temple,Amer,Penn,A,"L, 77-57",102.2,113.7,60.2,94.7,49,24.9,35.5,26,128,54.1,11.6,42.4,21.3,22.7,-3
21,21,3/2/23,C,Temple,Amer,UCF,H,"W, 57-55",101.9,88.8,59.5,95.8,42.9,20.2,35.5,42.9,92.4,45.5,16.8,11.5,38.6,82.9,2
22,22,11/21/22,N,Temple,Amer,St. John's,N,"L, 78-72",101.5,96,77.1,93.4,51.8,27.2,22.6,28.6,101.1,48.6,18.2,34.2,20.3,65.5,1
23,23,1/25/23,C,Temple,Amer,South Florida,H,"W, 79-76",101,96.9,69.5,101,51.6,21.7,31.6,35.5,97.2,51.5,20.5,31,31.8,61.8,2
24,24,12/6/22,N,Temple,Amer,Saint Joseph's,H,"W, 70-60",100.2,90,68.3,102.4,50.8,14.6,28.2,31.1,87.8,46.2,21.9,21.2,26.4,77.5,5
25,25,2/8/23,C,Temple,Amer,SMU,A,"L, 72-71",97.7,99.9,73.4,96.8,50.9,25.9,31.4,35.7,98.1,49.1,15,21.6,53.6,43.7,-4
26,26,1/4/23,C,Temple,Amer,South Florida,A,"W, 68-64",95.7,87.1,72.2,94.2,45.9,24.9,30,53.1,88.7,43.4,23.5,31.7,31.1,74.6,1
27,27,1/15/23,C,Temple,Amer,Memphis,H,"L, 61-59",94.3,81.7,68.3,86.4,32.8,24.9,41.5,39.7,89.4,41.4,13.2,18.4,27.6,84,0
