#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Tennessee Martin,OVC,Tennessee Tech,A,"W, 100-91",135.3,131.2,70.9,140.9,67.8,16.9,42.3,39,128.3,57.6,5.6,23.7,31.8,58.7,5
2,2,12/3/22,N,Tennessee Martin,OVC,UNC Asheville,A,"L, 90-83",119.5,125.4,71.8,115.6,57.7,16.7,32.4,16.9,125.3,62.7,22.3,38.5,43.6,36.5,-3
3,3,11/28/22,N,Tennessee Martin,OVC,McNeese St.,H,"W, 86-83",114.5,126.5,69.3,124.1,57.8,11.5,27.8,50,119.8,59.5,14.4,39.5,42.9,24.1,4
4,4,2/16/23,C,Tennessee Martin,OVC,SIU Edwardsville,H,"W, 90-84",112.9,115.3,77.6,116,57.1,14.2,24.3,38.1,108.3,54.1,14.2,19.4,47.5,43.9,4
5,5,11/20/22,N,Tennessee Martin,OVC,Prairie View A&M,H,"W, 80-79",111.3,124.1,72.4,110.5,54.7,20.7,38.7,56.6,109.1,51.6,19.3,30.6,28.6,22.3,-1
6,6,1/5/23,C,Tennessee Martin,OVC,Southeast Missouri S,H,"W, 87-82",111.3,109.7,76.6,113.6,54.8,17,23.3,73.1,107.1,48,9.1,27.1,19.7,54,8
7,7,1/21/23,C,Tennessee Martin,OVC,Eastern Illinois,H,"W, 91-78",111.1,121.7,74.3,122.5,63.1,17.5,34.5,31.1,105,44.4,13.5,32.6,28.2,25.9,4
8,8,3/2/23,CT,Tennessee Martin,OVC,SIU Edwardsville,N,"W, 81-75",109.5,115.1,70.7,114.5,51.8,14.1,21.2,49.1,106.1,52.4,15.6,27.5,25.4,36.1,-2
9,9,1/12/23,C,Tennessee Martin,OVC,Tennessee St.,A,"W, 77-66",107.3,96,69.9,110.2,48.4,12.9,29.7,33.3,94.5,38.4,15.7,29.3,51.8,78.3,8
10,10,2/4/23,C,Tennessee Martin,OVC,Lindenwood,A,"L, 80-75",106.3,121.7,68.7,109.2,45.1,10.2,36.2,20.8,116.5,59.6,16,20.7,22.8,17.5,5
11,11,1/28/23,C,Tennessee Martin,OVC,Southern Indiana,H,"W, 86-83",100.8,107.8,70.3,108.7,52.3,11.4,21.4,47.7,104.9,45.3,15.2,34.7,27,31.7,3
12,12,11/18/22,N,Tennessee Martin,OVC,Mississippi,A,"L, 72-68",100.6,95,72.1,94.3,50.9,26.4,33.3,25.9,99.9,43.5,23.6,43.6,70.4,65.8,1
13,13,2/23/23,C,Tennessee Martin,OVC,Tennessee St.,H,"L, 88-82",100.5,120.4,76.8,106.7,56.8,16.9,23.5,44.1,114.5,55.6,16.9,29.7,41.3,11.1,-4
14,14,12/17/22,N,Tennessee Martin,OVC,Bowling Green,A,"W, 75-67",100.1,90.6,72.2,103.8,44.9,11.1,30.2,26.5,92.7,44.8,18,22.5,39.7,76.1,8
15,15,12/11/22,N,Tennessee Martin,OVC,Chicago St.,H,"W, 75-74",99.3,101.6,64.1,104,50.8,19.4,34.3,29.5,102.6,53.1,22.2,34.2,18.8,43.6,8
16,16,1/19/23,C,Tennessee Martin,OVC,Southeast Missouri S,A,"W, 80-60",98.2,79.7,78.7,101.6,65.4,26.7,23.8,30.8,76.2,34.1,19.1,19.5,39.7,91.7,10
17,17,1/7/23,C,Tennessee Martin,OVC,Tennessee Tech,H,"L, 84-80",97.1,113.9,68.6,103.6,51.4,13,18.4,12.9,108.8,55.3,16.8,23.1,22.7,13.8,-2
18,18,2/11/23,C,Tennessee Martin,OVC,Little Rock,H,"W, 84-61",96.3,79.5,78.9,106.4,51.5,16.5,21.1,32.3,77.3,37.7,11.4,21.6,7.8,90,16
19,19,11/9/22,N,Tennessee Martin,OVC,Youngstown St.,A,"L, 90-72",95.8,112.4,73.7,97.7,50.8,20.3,29.7,33.3,122.1,50.7,12.2,38.6,32.4,13.7,-8
20,20,2/9/23,C,Tennessee Martin,OVC,Eastern Illinois,A,"L, 77-75",93.5,119.9,73.3,102.2,51.8,19.1,21.2,39.3,105,50,13.6,16.2,54.5,5.4,-7
21,21,11/22/22,N,Tennessee Martin,OVC,Arkansas St.,A,"L, 70-64",92.6,102.9,68.9,92.9,48.2,16,13.9,22.8,101.6,53.6,20.3,27.3,28.6,22.9,0
22,22,2/25/23,C,Tennessee Martin,OVC,Morehead St.,A,"L, 72-58",92.2,111.7,65.2,89,43.8,16.9,22.2,23.2,110.5,53.4,12.3,27.3,25.4,9.9,-7
