#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Tennessee St.,OVC,SIU Edwardsville,H,"W, 100-85",121.4,109.7,81.2,123.1,66.9,19.7,24.1,45.8,104.6,44.3,20.9,33.3,57.4,76.2,13
2,2,1/28/23,C,Tennessee St.,OVC,Lindenwood,H,"W, 83-66",114.8,112.5,65.7,126.4,63.4,16.7,29,28.6,100.5,50,18.3,27.8,16.9,56,9
3,3,12/11/22,N,Tennessee St.,OVC,Lipscomb,H,"W, 90-85",113,111.6,78.6,114.5,59.7,19.1,23.3,27.4,108.2,70.2,31.8,25,32.7,53.5,1
4,4,1/19/23,C,Tennessee St.,OVC,Eastern Illinois,H,"W, 78-74",111.8,116.5,67.9,114.8,56.2,19.1,20.7,58.3,108.9,51.6,8.8,25,29,38.3,11
5,5,11/21/22,N,Tennessee St.,OVC,Cal St. Northridge,N,"W, 74-73",110.1,119.6,65.9,112.3,54.4,12.1,19.4,35.1,110.8,50,15.2,29,61.2,27.9,4
6,6,2/23/23,C,Tennessee St.,OVC,Tennessee Martin,A,"W, 88-82",110,108.9,76.8,114.5,55.6,16.9,29.7,41.3,106.7,56.8,16.9,23.5,44.1,52.8,4
7,7,12/31/22,C,Tennessee St.,OVC,Little Rock,H,"W, 94-69",108.5,91.6,78,120.5,71.4,24.4,19.2,33.9,88.4,46.8,17.9,20.5,30.6,87.5,17
8,8,12/29/22,C,Tennessee St.,OVC,Morehead St.,H,"L, 83-75",107.2,126.2,69.3,108.2,52.5,8.7,14.3,31.7,119.8,59.5,15.9,28.1,31,13.4,-6
9,9,11/14/22,N,Tennessee St.,OVC,Alabama A&M,H,"W, 87-76",106.2,104.1,79.5,109.5,56.3,18.9,28.6,36.5,95.6,49.2,25.2,35.1,29.7,55.6,9
10,10,2/25/23,C,Tennessee St.,OVC,Southern Indiana,H,"L, 93-81",105.3,125,74,109.5,48.5,10.8,27.9,34.3,125.7,52.5,16.2,42.9,64.4,12.2,1
11,11,2/2/23,C,Tennessee St.,OVC,Southern Indiana,A,"W, 80-76",104.6,110.1,71,112.7,61.1,15.5,18.2,44.4,107.1,49.2,15.5,23.1,29.5,35.7,-2
12,12,1/26/23,C,Tennessee St.,OVC,Southeast Missouri S,A,"L, 92-75",102.7,117.3,76.2,98.4,57.6,22.3,25,25.4,120.7,56.2,13.1,29,40.6,17.7,2
13,13,12/14/22,N,Tennessee St.,OVC,Charleston Southern,H,"L, 91-87",101.5,128.5,74,117.5,51.6,13.5,34.2,53.2,122.9,67.3,24.3,30.8,46.2,6.2,-9
14,14,2/9/23,C,Tennessee St.,OVC,Southeast Missouri S,H,"W, 85-65",100,87.7,79.8,106.5,50.8,18.8,30,47.6,81.5,41.8,23.8,20,50.9,81.9,9
15,15,2/16/23,C,Tennessee St.,OVC,Morehead St.,A,"L, 74-64",99.6,112.5,66.5,96.3,50.8,12,20,20,111.3,52,19.6,33.3,60,19.9,-4
16,16,11/30/22,N,Tennessee St.,OVC,Saint Louis,A,"L, 80-63",98.5,109.8,66.7,94.5,42.4,15,25.6,27.1,120,50,12,43.6,14.1,22.3,-8
17,17,3/2/23,CT,Tennessee St.,OVC,Southeast Missouri S,N,"L, 91-83",98,116.9,81.4,101.9,42.3,18.4,44.4,32.1,111.8,50,18.4,27.8,73.7,11.6,-6
18,18,12/3/22,N,Tennessee St.,OVC,Austin Peay,A,"L, 77-61",95.7,127,63.2,96.5,47,19,25,42,121.8,58.8,17.4,34.6,39.2,3.7,-5
19,19,11/23/22,N,Tennessee St.,OVC,High Point,N,"L, 77-72",95.4,108.3,72.8,98.9,46.3,13.7,28.9,19.4,105.8,48.4,22,41.5,38.1,18.7,2
20,20,1/21/23,C,Tennessee St.,OVC,Little Rock,A,"L, 89-77",93.9,121.7,74.8,102.9,46.3,16,30.2,25,118.9,58.7,13.4,17.9,71.2,4.8,-8
21,21,11/12/22,N,Tennessee St.,OVC,South Carolina St.,H,"W, 80-61",93.6,94.9,73.2,109.3,56,15,21.2,36.2,83.3,39.8,16.4,26.1,34.4,46.1,4
22,22,1/5/23,C,Tennessee St.,OVC,SIU Edwardsville,A,"L, 81-72",91.7,109.8,77.4,93,44,12.9,22.2,35.8,104.6,50,20.7,29.4,80.4,11.3,-7
23,23,1/14/23,C,Tennessee St.,OVC,Tennessee Tech,A,"L, 71-63",89.1,98.6,70.8,89,45.8,25.4,35,23.3,100.3,44.3,12.7,23.3,37.7,23.7,2
24,24,2/11/23,C,Tennessee St.,OVC,Tennessee Tech,H,"W, 67-53",89,85.5,67.9,98.6,49.1,19.1,25,38.9,78,32.1,16.2,17.5,43.4,61.6,3
25,25,1/12/23,C,Tennessee St.,OVC,Tennessee Martin,H,"L, 77-66",87.6,116.2,69.9,94.5,38.4,15.7,29.3,51.8,110.2,48.4,12.9,29.7,33.3,3.7,-8
26,26,2/4/23,C,Tennessee St.,OVC,Eastern Illinois,A,"W, 65-61",86.9,98,69.8,93.1,46.6,21.5,32.5,31,87.3,38.5,21.5,38.1,23.1,20.2,0
27,27,1/7/23,C,Tennessee St.,OVC,Lindenwood,A,"W, 60-57",79.8,94.2,67.9,88.3,37.5,17.7,32.7,29.7,83.9,44,23.5,10.7,59.5,12.9,-7
28,28,11/17/22,N,Tennessee St.,OVC,Southern Illinois,A,"L, 57-44",66.4,84.4,70.2,62.7,32.1,24.2,20,37.7,81.2,39.4,24.2,16.1,48.9,6,-9
