#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Tennessee Tech,OVC,Tennessee Martin,H,"L, 100-91",120.2,147.3,70.9,128.3,57.6,5.6,23.7,31.8,140.9,67.8,16.9,42.3,39,8.8,-5
2,2,12/3/22,N,Tennessee Tech,OVC,Butler,A,"L, 80-66",118.8,133,61.2,107.9,47.7,9.8,34.2,10.8,130.8,59.4,9.8,28.6,39.6,21.4,-6
3,3,1/12/23,C,Tennessee Tech,OVC,Morehead St.,H,"W, 79-62",116.6,110.4,63.4,124.6,64.4,14.2,18.5,26.9,97.8,52,20.5,20.7,25.5,65.2,0
4,4,1/19/23,C,Tennessee Tech,OVC,Little Rock,A,"W, 77-75",112.1,117,64.1,120.1,66,12.5,22.2,38,117,51.5,14,35.1,16.7,37.9,4
5,5,2/9/23,C,Tennessee Tech,OVC,Southern Indiana,H,"W, 84-69",111.2,99.9,70.4,119.3,61,19.9,30,27.1,98,47,18.5,36.6,16.7,77.3,11
6,6,1/26/23,C,Tennessee Tech,OVC,SIU Edwardsville,H,"W, 80-68",109.3,100.4,71.6,111.7,56.2,20.9,25.9,64.6,94.9,41.5,19.5,34.1,27.7,72.8,9
7,7,11/27/22,N,Tennessee Tech,OVC,Northern Kentucky,A,"L, 85-77",108.7,108.6,60.7,101.4,56.7,25,30.6,26.7,112,54.2,14.5,27.5,15.5,50.2,2
8,8,2/23/23,C,Tennessee Tech,OVC,Southern Indiana,A,"W, 82-79",106,107,73.8,111.1,55.8,20.3,27.8,30,107.1,51.5,16.3,33.3,28.4,47.3,3
9,9,11/30/22,N,Tennessee Tech,OVC,Chattanooga,H,"L, 81-74",105.9,112.1,69,107.2,48.4,8.7,20.5,21.9,117.3,75.6,26.1,5.3,58.5,34.4,2
10,10,2/4/23,C,Tennessee Tech,OVC,Southeast Missouri S,H,"W, 82-80",104.8,105.5,77.2,106.3,54.2,19.4,25.6,44.1,103.7,52.5,19.4,16.7,35.6,48.2,8
11,11,1/7/23,C,Tennessee Tech,OVC,Tennessee Martin,A,"W, 84-80",104.4,105.8,68.6,108.8,55.3,16.8,23.1,22.7,103.6,51.4,13,18.4,12.9,46.3,2
12,12,2/25/23,C,Tennessee Tech,OVC,Eastern Illinois,A,"W, 75-66",103.8,108.4,67.9,110.4,56.8,14.7,24.2,20.3,97.2,46.6,16.2,20,25.9,38,4
13,13,3/4/23,CT,Tennessee Tech,OVC,Southeast Missouri S,N,"L, 89-82",103.5,120.6,68.2,106.9,50,11.7,22,46,116,49.2,13,30,52.4,14.7,-4
14,14,3/3/23,CT,Tennessee Tech,OVC,Tennessee Martin,N,"W, 78-63",102.7,95.4,70.3,111,52.6,22.8,36.1,43.9,89.7,42.3,12.8,27.3,21.5,70.1,5
15,15,1/28/23,C,Tennessee Tech,OVC,Little Rock,H,"L, 91-89",102.2,125.9,76.7,116.1,63.4,20.9,24.1,42.9,118.7,56.2,20.9,42.9,35.4,8.3,-4
16,16,1/5/23,C,Tennessee Tech,OVC,Eastern Illinois,H,"W, 70-49",101.9,86.5,63.8,109.8,58,18.8,25.8,16.1,76.8,41.3,26.7,28.6,17.3,86.7,13
17,17,2/16/23,C,Tennessee Tech,OVC,Lindenwood,H,"W, 77-68",99.5,111.7,69.2,111.2,55,14.4,20.6,21.7,98.2,52.5,18.8,23.5,15,20.8,1
18,18,11/20/22,N,Tennessee Tech,OVC,East Tennessee St.,H,"W, 69-62",98.2,93.2,68.9,100.2,54.4,21.8,21.9,15.8,90,41.7,21.8,29.7,40.7,64.7,7
19,19,12/17/22,N,Tennessee Tech,OVC,Western Carolina,H,"L, 75-65",98,115.7,65.6,99.2,51.9,18.3,15.6,26.9,114.4,52.7,12.2,25,40,12.9,-1
20,20,12/14/22,N,Tennessee Tech,OVC,Lipscomb,A,"L, 64-63",97.5,96.3,66.1,95.3,48.4,16.6,25.6,11.3,96.8,42.3,18.2,43.2,5.6,53.8,0
21,21,12/10/22,N,Tennessee Tech,OVC,Troy,A,"L, 87-64",96.9,120.2,71.1,90,48.1,26.7,28.6,31.5,122.4,62.7,12.7,18.5,28.8,7.8,-10
22,22,11/14/22,N,Tennessee Tech,OVC,Marshall,A,"L, 91-65",94.8,115.5,73,89,49.2,21.9,21.6,23.7,124.6,55.7,13.7,46.3,6.3,9.4,-14
23,23,11/17/22,N,Tennessee Tech,OVC,Coppin St.,H,"L, 90-85",92.4,116.5,73.8,102.3,49.3,16.9,25.6,25.4,108.3,61.9,22.9,18.2,25.4,6.5,-2
24,24,1/14/23,C,Tennessee Tech,OVC,Tennessee St.,H,"W, 71-63",91,97.5,70.8,100.3,44.3,12.7,23.3,37.7,89,45.8,25.4,35,23.3,31.1,-2
25,25,12/31/22,C,Tennessee Tech,OVC,Lindenwood,A,"L, 82-64",88.3,121.2,70.8,90.4,35.8,8.5,24.5,32.8,115.8,62.7,19.8,21.4,27.3,2.6,-6
26,26,1/21/23,C,Tennessee Tech,OVC,Southeast Missouri S,A,"L, 84-77",87.9,104,67.4,91.3,50.8,16.6,7.9,24.2,99.6,48.1,15.4,33.3,24.7,12.7,-7
27,27,11/7/22,N,Tennessee Tech,OVC,Tennessee,A,"L, 75-43",83.9,98.5,66.7,64.5,38.8,33,22.2,47.5,112.5,50.8,22.5,42.1,13.8,13.7,-12
28,28,12/29/22,C,Tennessee Tech,OVC,SIU Edwardsville,A,"L, 64-51",83.7,107.9,61.3,83.2,42.5,22.8,29.7,18.9,104.4,46,18,42.1,12.7,5.1,-7
29,29,2/11/23,C,Tennessee Tech,OVC,Tennessee St.,A,"L, 67-53",78.8,97.4,67.9,78,32.1,16.2,17.5,43.4,98.6,49.1,19.1,25,38.9,8,-3
30,30,2/2/23,C,Tennessee Tech,OVC,Morehead St.,A,"L, 64-45",69.2,98.8,66.3,67.9,35.6,24.1,12.9,42.2,96.5,49,22.6,30,34.6,1.6,-12
