#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/3/23,C,Tennessee,SEC,Mississippi St.,H,"W, 87-53",155.8,87.4,62.2,139.8,80.8,24.1,43.8,5.8,85.1,43.4,19.3,27,32.1,99.9,20
2,2,1/28/23,N,Tennessee,SEC,Texas,H,"W, 82-71",140.8,96.8,66,124.2,61.1,15.2,42.3,42.6,107.6,50,13.6,22.9,28.8,98.7,9
3,3,2/25/23,C,Tennessee,SEC,South Carolina,H,"W, 85-45",134.5,91.2,57.1,148.9,66.1,7,42.9,9.7,78.8,38.9,24.5,38.9,13,98.9,12
4,4,2/11/23,C,Tennessee,SEC,Missouri,H,"L, 86-85",128.2,121.4,64.4,132,56.6,15.5,46.9,62.3,133.6,64.9,10.9,24.1,29.8,65.1,-4
5,5,3/4/23,C,Tennessee,SEC,Auburn,A,"L, 79-70",125.5,109.1,64.3,108.9,54.7,17.1,31.2,35.8,122.9,56.1,9.3,21.9,35.1,83.3,-1
6,6,2/28/23,C,Tennessee,SEC,Arkansas,H,"W, 75-57",123.3,83,66.2,113.4,53.7,15.1,30.3,46.3,86.2,44.9,24.2,26.5,44.9,99,8
7,7,12/4/22,N,Tennessee,SEC,Alcorn St.,H,"W, 94-40",123.2,68.2,69,136.2,58.7,15.9,53.1,38.1,58,28.1,31.9,22.9,33.3,99.9,22
8,8,1/21/23,C,Tennessee,SEC,LSU,A,"W, 77-56",122.4,86.5,63.4,121.4,53.8,12.6,38.9,12.3,88.3,52.3,30,25.9,38.6,98.2,12
9,9,1/7/23,C,Tennessee,SEC,South Carolina,A,"W, 85-42",121.9,67.7,66.7,127.4,58.8,21,56.2,10.3,62.9,29.2,27,18.9,31.2,99.9,19
10,10,12/21/22,N,Tennessee,SEC,Austin Peay,H,"W, 86-44",120.6,75.6,65.7,130.9,62.5,19.8,53.1,18.8,67,30,22.8,26.8,25.5,99.5,24
11,11,1/17/23,C,Tennessee,SEC,Mississippi St.,A,"W, 70-59",120.5,96.7,63.8,109.7,54.9,26.7,39.3,29.4,92.5,39.5,15.7,33.3,38.6,92.7,-1
12,12,1/10/23,C,Tennessee,SEC,Vanderbilt,H,"W, 77-68",120.2,96.9,63.8,120.7,54.3,17.2,40,25.9,106.6,43.1,12.5,33.3,34.5,92.3,7
13,13,11/16/22,N,Tennessee,SEC,Florida Gulf Coast,H,"W, 81-50",116.4,83.2,65,124.6,57.1,16.9,40.6,75.5,76.9,35.9,26.1,22.2,47.8,97.9,12
14,14,3/9/23,CT,Tennessee,SEC,Mississippi,N,"W, 70-55",114.2,90.4,61.7,113.5,56.9,22.7,34.6,27.5,89.2,44.3,11.3,14.7,22.6,93.6,5
15,15,2/8/23,C,Tennessee,SEC,Vanderbilt,A,"L, 66-65",113.4,100,58.6,111,52.5,15.4,39.4,5,112.7,52.7,13.7,27.3,21.8,80.9,1
16,16,2/21/23,C,Tennessee,SEC,Texas A&M,A,"L, 68-63",112.2,92.4,64.4,97.8,48.2,24.8,40,25.5,105.6,43.5,21.7,35.5,73.9,90.3,1
17,17,2/15/23,C,Tennessee,SEC,Alabama,H,"W, 68-59",111.8,78.8,69.2,98.3,41.3,11.6,27.1,39.7,85.3,44.8,27.5,23.5,41.7,98.2,4
18,18,12/17/22,N,Tennessee,SEC,Arizona,A,"L, 75-70",108.9,89.3,71.3,98.2,49.2,16.8,24.3,15.9,105.2,47.2,21,32.3,50,90.7,-1
19,19,11/25/22,N,Tennessee,SEC,Kansas,N,"W, 64-50",107.3,69.5,66.9,95.6,52.8,35.9,46.9,18.9,74.7,36.8,23.9,25,32.1,99.3,7
20,20,12/7/22,N,Tennessee,SEC,Eastern Kentucky,H,"W, 84-49",106.6,74,75,112,44.2,21.3,47.6,68.3,65.3,26.5,21.3,33.3,26.5,98.5,10
21,21,3/10/23,CT,Tennessee,SEC,Missouri,N,"L, 79-71",106.5,98.1,68.9,103,53.6,20.3,27.3,25,114.6,61.4,16,14.3,22.8,72.1,1
22,22,11/24/22,N,Tennessee,SEC,USC,N,"W, 73-66",103.4,84.2,65.8,98.5,39.8,14.8,33.3,40.6,89.1,49.2,27,27.3,13.3,91.4,2
23,23,11/23/22,N,Tennessee,SEC,Butler,N,"W, 71-45",101.7,77.3,68.6,103.6,52.8,23.3,35.5,38.9,65.6,37.2,33.6,25.7,31.9,95.9,3
24,24,11/7/22,N,Tennessee,SEC,Tennessee Tech,H,"W, 75-43",100.4,73.2,66.7,112.5,50.8,22.5,42.1,13.8,64.5,38.8,33,22.2,47.5,97.4,12
25,25,11/30/22,N,Tennessee,SEC,McNeese St.,H,"W, 76-40",99.6,71.9,65.7,115.7,52.8,16.7,45.9,63,60.9,30.4,36.5,43.9,19.6,97.7,13
26,26,12/28/22,C,Tennessee,SEC,Mississippi,A,"W, 63-59",97.7,88.8,65.9,95.5,45.9,21.2,34.4,53.1,89.5,45.1,22.7,20.6,35.3,74.9,-2
27,27,12/11/22,N,Tennessee,SEC,Maryland,N,"W, 56-53",97.2,69.2,66.2,84.6,34.1,16.6,39.6,31.8,80,34.6,18.1,22.9,42.3,98,9
28,28,1/25/23,C,Tennessee,SEC,Georgia,H,"W, 70-41",95.4,65,69.9,100.2,46.8,12.9,26.3,30.6,58.7,32.7,28.6,25,21.8,98.8,10
29,29,11/13/22,N,Tennessee,SEC,Colorado,N,"L, 78-66",94.9,92.9,80.1,82.4,33.3,18.7,25,47.6,97.4,50,23.7,29.7,33.9,56,-1
30,30,2/1/23,C,Tennessee,SEC,Florida,A,"L, 67-54",94,97.5,65.1,83,31.6,15.4,36.7,17.6,103,51,15.4,16.7,50,39.9,-5
31,31,2/18/23,C,Tennessee,SEC,Kentucky,A,"L, 66-54",89.5,93.8,63.1,85.5,42.4,12.7,26.8,23.7,104.5,47.8,19,32.3,77.8,36.9,-10
32,32,1/14/23,C,Tennessee,SEC,Kentucky,H,"L, 63-56",86.6,81.3,68.8,81.4,43,16,11.8,17.5,91.6,40.2,27.6,40.6,49,67.3,-1
33,33,2/4/23,C,Tennessee,SEC,Auburn,H,"W, 46-43",75.3,60.5,66.6,69.1,28.6,13.5,30.6,27,64.6,26.4,18,20,34.5,92.5,2
