#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/23/23,C,Texas A&M Commerce,Slnd,Texas A&M Corpus Chr,A,"W, 84-80",124.1,113.2,67.7,124.1,70.4,23.6,35,38.8,118.1,47.7,14.8,44.7,37.5,74.2,5
2,2,12/27/22,N,Texas A&M Commerce,Slnd,Texas,A,"L, 97-72",123.6,124.3,68.3,105.4,60.6,23.4,16,38.3,141.9,65.2,14.6,43.8,22.7,48.3,-12
3,3,2/9/23,C,Texas A&M Commerce,Slnd,Northwestern St.,H,"L, 88-82",113.4,126.2,69.6,117.9,54.6,24.4,50,16.9,126.5,62.9,11.5,31.2,43.1,22.6,-1
4,4,3/1/23,C,Texas A&M Commerce,Slnd,Texas A&M Corpus Chr,H,"L, 93-88",113,119.7,67.8,115.4,58.6,11.8,11.1,28.1,122,53,13.1,35.1,34.3,34.2,1
5,5,1/14/23,C,Texas A&M Commerce,Slnd,Lamar,H,"W, 81-66",111,116.9,64.6,125.4,59.5,9.3,28.9,39.7,102.2,43,23.2,43.8,60,35.5,6
6,6,12/6/22,N,Texas A&M Commerce,Slnd,Wyoming,A,"L, 91-76",108.1,118.8,72.2,105.3,50.9,16.6,23.7,39.7,126.1,56.4,11.1,31.4,78.2,25.3,-6
7,7,1/7/23,C,Texas A&M Commerce,Slnd,McNeese St.,A,"W, 82-80",107.9,121.3,62.1,117.3,58.8,20,33.3,36.8,114.4,52.9,14.3,34.2,8.6,20.7,-4
8,8,3/5/23,CT,Texas A&M Commerce,Slnd,McNeese St.,N,"L, 79-78",107.8,125.2,66.7,116.9,52.5,12,27.8,33.3,118.4,54.2,13.5,38.2,39,15.2,-1
9,9,11/20/22,N,Texas A&M Commerce,Slnd,Eastern Kentucky,N,"W, 75-61",105.3,93.4,69.8,107.4,56.8,14.3,20,1.5,87.4,47.2,21.5,13.3,24.5,79.8,1
10,10,12/4/22,N,Texas A&M Commerce,Slnd,Denver,A,"L, 84-75",105.3,121.1,70.2,106.8,52.9,17.1,32.5,10.3,119.6,55.7,22.8,50,64.2,16.6,-3
11,11,1/21/23,C,Texas A&M Commerce,Slnd,Southeastern Louisia,A,"L, 79-73",103.1,114.9,68.3,106.9,61.8,19,17.2,21.8,115.6,53.6,11.7,21.2,41.1,22.4,-2
12,12,2/20/23,C,Texas A&M Commerce,Slnd,Nicholls St.,A,"W, 72-71",102.8,108.7,68.6,105,49.2,17.5,35.9,31.1,103.5,52.4,19,34.2,20.6,34.6,-1
13,13,12/31/22,C,Texas A&M Commerce,Slnd,Incarnate Word,H,"W, 82-74",102.1,109.7,65.9,110.6,55.4,20.2,28.1,48.2,99.8,44.4,12.1,22.5,38.7,30.4,4
14,14,2/11/23,C,Texas A&M Commerce,Slnd,Northwestern St.,A,"L, 72-64",100.5,110.7,63.1,101.4,52,20.6,26.7,34,114.1,50,15.8,41.7,24.6,24.7,-2
15,15,1/26/23,C,Texas A&M Commerce,Slnd,Lamar,A,"W, 62-57",99.4,113.1,56.3,110.1,59.5,23.1,26.1,35.7,101.2,48.9,19.5,34.5,38.3,18.4,-1
16,16,11/11/22,N,Texas A&M Commerce,Slnd,Northern Colorado,A,"L, 80-77",98.8,116.9,70.2,109.6,53.4,18.5,29.4,32.2,113.9,66,24.2,20,46.8,12.7,-11
17,17,1/5/23,C,Texas A&M Commerce,Slnd,Nicholls St.,H,"L, 66-63",98.7,106,63.9,98.6,53.9,23.5,25,27.5,103.3,54.6,17.2,25,24.1,30.5,8
18,18,2/25/23,C,Texas A&M Commerce,Slnd,Incarnate Word,A,"L, 79-75",98.7,125.4,69.6,107.8,63.5,27.3,26.9,23.1,113.5,62,21.6,23.1,44,6,-9
19,19,11/14/22,N,Texas A&M Commerce,Slnd,Air Force,A,"W, 73-69",98.4,89.9,67,96.8,49.2,22.5,29.3,36.1,91.5,50.9,21.2,18.9,49.1,74,1
20,20,1/28/23,C,Texas A&M Commerce,Slnd,Houston Christian,H,"W, 77-76",98,122.7,66.1,116.5,50,9.1,23.1,36.7,115,51.9,15.1,36.7,55.8,7,-5
21,21,2/18/23,C,Texas A&M Commerce,Slnd,Southeastern Louisia,H,"L, 78-76",97.6,110.8,64.4,104.9,57.4,15.2,15.6,44.4,107.6,56,22.1,32.1,31,18.8,-1
22,22,12/10/22,N,Texas A&M Commerce,Slnd,Abilene Christian,A,"L, 83-64",97.5,124.5,65.3,98.1,53,27.6,32.1,30,127.2,56.4,13.8,39.3,43.6,5.7,-11
23,23,2/16/23,C,Texas A&M Commerce,Slnd,New Orleans,H,"L, 84-78",97.1,128.4,72.1,108.1,50.8,18,34.3,35,116.4,58.2,19.4,33.3,50.9,3.9,-8
24,24,12/19/22,N,Texas A&M Commerce,Slnd,Fort Wayne,A,"L, 85-68",94.9,119.1,72.7,93.6,61,26.1,13,24,117,54.3,15.1,35.9,20,6.8,-8
25,25,11/7/22,N,Texas A&M Commerce,Slnd,SMU,A,"L, 77-60",90.3,107.1,70.3,85.4,38.6,11.4,28.3,24.2,109.6,52.6,17.1,30,39.7,12.3,-7
26,26,11/18/22,N,Texas A&M Commerce,Slnd,UNC Asheville,N,"L, 72-64",89.8,103.9,71.4,89.6,42.5,12.6,21.4,17.9,100.8,52.5,18.2,23.7,25.4,15.7,-7
