#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/13/23,C,Texas Southern,SWAC,Southern,A,"W, 79-68",111.1,100.7,72.2,109.4,56.4,22.2,30,43.6,94.2,43.4,13.8,24.3,31.1,75.8,8
2,2,3/4/23,C,Texas Southern,SWAC,Prairie View A&M,A,"L, 78-74",108.6,123.2,70.3,105.3,54.3,17.1,21.4,32.8,111,64.7,18.5,23.1,39.2,18.9,-4
3,3,2/27/23,C,Texas Southern,SWAC,Alcorn St.,A,"L, 89-81",107.8,120.4,74.6,108.6,54.8,17.4,26.7,24.2,119.4,50.8,5.4,23.3,67.8,22,-2
4,4,1/4/23,C,Texas Southern,SWAC,Grambling St.,H,"L, 85-72",107.1,122.9,71.6,100.6,51.9,16.8,20,54.7,118.7,66.7,22.4,30.4,47.1,17.1,-3
5,5,12/18/22,N,Texas Southern,SWAC,Hampton,N,"W, 82-77",105.8,121.6,69,118.8,53.8,7.2,34.3,26.2,111.6,51.7,18.8,30.3,35.6,16.7,0
6,6,3/10/23,CT,Texas Southern,SWAC,Alabama A&M,N,"W, 74-61",104.8,102.7,66.8,110.8,46.5,19.5,42.5,49.1,91.4,40.4,27,43.6,57.7,55.8,3
7,7,2/18/23,C,Texas Southern,SWAC,Mississippi Valley S,H,"W, 80-62",103.9,101,70.7,113.2,56.3,18.4,35.7,22.2,87.8,54.1,28.3,26.9,28.6,58.3,10
8,8,2/25/23,C,Texas Southern,SWAC,Jackson St.,A,"L, 71-69",102.9,116.6,64.2,107.5,52.5,18.7,32.1,10,110.6,54.9,14,23.1,35.3,19.1,-2
9,9,1/23/23,C,Texas Southern,SWAC,Alabama St.,A,"W, 71-65",100.6,96,71.2,99.7,45.9,15.4,26.3,34.4,91.2,43.8,19.7,24.3,35.7,63,12
10,10,11/15/22,N,Texas Southern,SWAC,Oral Roberts,H,"L, 82-64",99.9,103.7,69.7,91.8,37.8,10,34.7,16.2,117.6,52.1,11.5,36.6,13.9,39.3,-1
11,11,1/16/23,C,Texas Southern,SWAC,Jackson St.,H,"W, 84-82",99.8,119.2,76.4,109.9,63.9,30.1,40,40.7,107.3,57,22.2,32.3,42.1,11.5,-10
