#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/28/23,CT,Texas St.,SB,Georgia St.,N,"W, 81-76",121.8,121.7,65.8,123.1,54.8,13.7,33.3,53.8,115.5,50,12.2,29,51.9,50.3,6
2,2,3/4/23,CT,Texas St.,SB,Marshall,N,"W, 71-68",118.9,108.2,60.8,116.9,58.8,14.8,25,10.5,111.9,52.8,11.5,27.6,25.9,74.7,-2
3,3,2/16/23,C,Texas St.,SB,Appalachian St.,A,"L, 82-75",118.5,124.2,66.9,112,49.2,10.5,30.6,20,122.5,59.2,14.9,26.9,63.3,36.9,-4
4,4,2/18/23,C,Texas St.,SB,Coastal Carolina,A,"W, 78-75",114.7,120.1,62.5,124.7,59.3,14.4,29.6,29.6,119.9,55.9,14.4,25.9,39.2,36.9,1
5,5,1/19/23,C,Texas St.,SB,Marshall,H,"L, 81-73",112.9,115.6,66.8,109.3,51.8,18,35.5,37.5,121.3,67,18,13,32,43.2,-3
6,6,11/26/22,N,Texas St.,SB,Hawaii,N,"L, 72-65",112.9,119.5,61.7,105.3,49.1,13,30.3,20.7,116.7,57.8,14.6,25,68.9,34,-3
7,7,12/10/22,N,Texas St.,SB,UT Arlington,N,"W, 71-65",112,105.9,63.8,111.4,50.9,15.7,36.4,45.3,101.9,52.9,25.1,36,29.4,65.6,5
8,8,1/7/23,C,Texas St.,SB,South Alabama,A,"W, 64-58",111.9,84.5,62.9,101.8,44.8,12.7,31.4,27.6,92.3,51,22.3,20.7,31.2,96.2,9
9,9,2/22/23,C,Texas St.,SB,South Alabama,H,"L, 76-67",111.2,120,62.1,107.9,50,16.1,21.4,36,122.4,54.4,12.9,34.4,28.1,29.4,-6
10,10,2/11/23,C,Texas St.,SB,Old Dominion,H,"L, 70-68",109.2,118.2,61.9,109.9,50,14.5,37.1,30.4,113.2,49.2,14.5,33.3,23.7,28.8,-2
11,11,11/25/22,N,Texas St.,SB,Southern Utah,N,"W, 78-65",108.8,88.8,70.8,110.2,59.3,21.2,22.2,31.5,91.9,41.5,21.2,35,37.3,91.2,6
12,12,1/26/23,C,Texas St.,SB,Georgia Southern,H,"W, 70-67",108.6,110.7,64.7,108.3,56.6,24.7,42.9,26.4,103.6,50.9,20.1,31.4,24.6,44.4,0
13,13,3/2/23,CT,Texas St.,SB,Old Dominion,N,"W, 65-36",108.2,63.2,59.9,108.5,52.8,21.7,36.7,18.5,60.1,25,18.4,28.9,36.5,99.8,16
14,14,12/17/22,N,Texas St.,SB,Sam Houston St.,H,"L, 69-62",107.8,108.5,63.6,97.4,40.2,23.6,32.3,60.9,108.4,52.8,14.1,26.5,39.6,48.1,-3
15,15,11/7/22,N,Texas St.,SB,Washington St.,A,"L, 83-61",106.9,114,64.9,94,49,17,24.2,52,127.9,60.9,18.5,45.2,43.6,32.3,-7
16,16,2/2/23,C,Texas St.,SB,Louisiana Lafayette,A,"L, 82-63",105,114.1,64.1,98.3,44,15.6,38.9,34.5,127.9,64.3,12.5,25.9,63.3,27.9,-6
17,17,2/24/23,C,Texas St.,SB,Southern Miss,H,"L, 79-69",104.6,116.8,67.3,102.5,51.7,22.3,43.3,24.1,117.4,61,19.3,24,46,21.9,-7
18,18,11/12/22,N,Texas St.,SB,Rhode Island,A,"W, 70-66",102.5,96.1,71.3,98.1,53.7,22.4,25.8,35.2,92.5,42,30.8,39.3,79.5,67.7,5
19,19,11/21/22,N,Texas St.,SB,California,A,"W, 59-55",101.9,98.5,59.3,99.5,38.4,11.8,33.3,41.1,92.8,48.9,27,33.3,30.4,59.7,3
20,20,1/5/23,C,Texas St.,SB,James Madison,A,"W, 63-62",101.2,92,65.8,95.8,46.7,15.2,27,21.7,94.2,53.3,25.8,28.6,53.3,74.8,1
21,21,2/9/23,C,Texas St.,SB,Arkansas St.,H,"W, 66-62",100.4,109.8,61.2,107.9,56.1,21.2,23.8,61,101.3,49,14.7,21.2,40,26.4,0
22,22,2/4/23,C,Texas St.,SB,Troy,A,"L, 68-64",98.7,115.4,63,101.5,48.1,20.6,36.4,38.5,107.9,52.8,23.8,39.4,34,14.2,-12
23,23,1/28/23,C,Texas St.,SB,Southern Miss,A,"L, 67-58",98.1,100.5,63.3,91.6,36.4,23.7,41,40,105.8,50,15.8,25.8,65.2,42.9,-4
24,24,1/14/23,C,Texas St.,SB,Louisiana Monroe,A,"L, 61-58",95.3,103.3,61.8,93.8,42.7,11.3,22.9,27.3,98.6,50,14.6,10.3,37.5,28.3,-1
25,25,12/1/22,N,Texas St.,SB,Lamar,A,"W, 65-55",94.6,100.7,61.7,105.4,52.8,16.2,31.2,29.6,89.2,42.6,17.8,25.7,22.2,32.6,2
26,26,1/12/23,C,Texas St.,SB,Arkansas St.,A,"W, 61-58",92.8,92.8,64.3,94.8,52.3,21.8,14.3,47.7,90.2,46.2,21.8,23.5,26.9,50,3
27,27,12/4/22,N,Texas St.,SB,Rice,H,"L, 83-71",92.2,120.8,70.1,101.3,50,17.1,26.5,23.3,118.4,65.4,18.6,14.8,38.5,4.3,-11
28,28,3/5/23,CT,Texas St.,SB,Louisiana Lafayette,N,"L, 64-58",92.2,96.9,62.6,92.7,45.6,19.2,30.3,14,102.2,49,20.8,36.4,48,36.2,-6
29,29,1/21/23,C,Texas St.,SB,Louisiana Lafayette,H,"L, 60-51",85.8,90.9,61,83.6,39.8,22.9,29.6,50,98.3,45.7,13.1,31.2,74.5,34,-3
30,30,12/29/22,C,Texas St.,SB,Louisiana Monroe,H,"L, 57-53",83.1,97.8,62.9,84.3,33.9,19.1,35.1,33.9,90.7,33.3,14.3,35.1,60.8,13.2,-2
31,31,11/17/22,N,Texas St.,SB,UTSA,A,"L, 61-56",81.6,93.7,65.9,84.9,39.8,15.2,29.5,15.6,92.5,51,28.8,31,30.6,16.9,-3
32,32,12/31/22,C,Texas St.,SB,Troy,H,"L, 55-52",80.6,83.4,66.8,77.8,36.6,25.4,45.5,32.1,82.3,44,20.9,14.8,30,40.6,1
