#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/3/23,C,Texas,B12,Kansas St.,H,"L, 116-103",136.1,136.2,82,125.6,59.6,11,20.6,38.2,141.4,70.8,14.6,24,55,49.8,-12
2,2,2/21/23,C,Texas,B12,Iowa St.,H,"W, 72-54",135.2,86.2,60.2,119.6,57.9,19.9,41.2,19.3,89.7,46.8,26.6,32.1,27.7,99.4,12
3,3,1/24/23,C,Texas,B12,Oklahoma St.,H,"W, 89-75",131.9,99.7,74.7,119.2,57.9,24.1,46.7,47.4,100.5,49.2,21.4,28.9,32.8,96.2,7
4,4,2/11/23,C,Texas,B12,West Virginia,H,"W, 94-60",131.4,79.3,72.6,129.4,54.7,8.3,26.5,39.1,82.6,40.7,27.5,33.3,44.4,99.7,12
5,5,11/16/22,N,Texas,B12,Gonzaga,H,"W, 93-74",128.5,86.5,73.8,126,61.4,13.6,23.5,24.2,100.3,57.8,27.1,28.1,41.2,99,8
6,6,12/27/22,N,Texas,B12,Texas A&M Commerce,H,"W, 97-72",127.3,113.7,68.3,141.9,65.2,14.6,43.8,22.7,105.4,60.6,23.4,16,38.3,78.5,12
7,7,1/28/23,N,Texas,B12,Tennessee,A,"L, 82-71",127,115.8,66,107.6,50,13.6,22.9,28.8,124.2,61.1,15.2,42.3,42.6,74.3,-9
8,8,12/21/22,N,Texas,B12,Louisiana Lafayette,H,"W, 100-72",126.9,87.5,78.4,127.5,67.7,20.4,22.2,27.4,91.8,49.1,19.1,21.6,47.4,98.6,15
9,9,1/17/23,C,Texas,B12,Iowa St.,A,"L, 78-67",123,107.1,65.8,101.7,50,19.7,14.8,45.8,118.5,52.9,10.6,30,57.7,83,0
10,10,3/11/23,CT,Texas,B12,Kansas,N,"W, 76-56",122.1,79.8,67.8,112.1,53.2,14.8,30.3,19.4,82.6,44.8,22.1,22.9,10.3,99.3,6
11,11,3/4/23,C,Texas,B12,Kansas,H,"W, 75-59",119.9,80.3,69.3,108.3,50.9,10.1,12.9,43.6,85.2,42.2,15.9,17.9,25.9,99,8
12,12,2/6/23,C,Texas,B12,Kansas,A,"L, 88-80",119.8,106,75.9,105.4,52.4,19.8,29.4,28.6,115.9,50.8,14.5,37.8,43.1,80.4,-6
13,13,12/31/22,C,Texas,B12,Oklahoma,A,"W, 70-69",117.4,100.4,64.9,107.8,47.4,16.9,35.3,27.6,106.3,56.5,23.1,30,20.4,85.8,-1
14,14,12/10/22,N,Texas,B12,Arkansas Pine Bluff,H,"W, 88-43",115.8,84.1,67.1,131.2,63.8,13.4,38.7,15.4,64.1,39.2,32.8,20.6,5.9,97.5,11
15,15,1/11/23,C,Texas,B12,TCU,H,"W, 79-75",115.5,101.6,72.1,109.5,51.5,15.3,31.4,21.2,104,52.5,19.4,27.3,27.1,81.5,-7
16,16,1/30/23,C,Texas,B12,Baylor,H,"W, 76-71",113.7,88.5,68.8,110.5,54.5,13.1,25,41.8,103.3,42.6,13.1,32.6,23.5,94.7,4
17,17,11/7/22,N,Texas,B12,UTEP,H,"W, 72-57",112.3,92.3,65.9,109.2,59.5,22.7,20,69,86.4,45.2,28.8,35.3,28.8,90.5,9
18,18,2/18/23,C,Texas,B12,Oklahoma,H,"W, 85-83",111.9,99.6,71.7,105.4,52.3,17.4,25,38.5,102.9,55,22.3,27.3,36.7,79.3,0
19,19,2/13/23,C,Texas,B12,Texas Tech,A,"L, 74-67",111.1,104.9,65.4,102.5,48.3,9.2,21.1,28.8,113.2,52.6,18.4,34.4,24.1,65.9,-4
20,20,12/1/22,N,Texas,B12,Creighton,H,"W, 72-67",110.2,85.1,72.2,99.7,44.6,4.2,20,10.8,92.8,43.9,11.1,19.5,21.2,95.1,4
21,21,12/18/22,N,Texas,B12,Stanford,N,"W, 72-62",110.1,88.1,65.1,110.6,51.6,12.3,30.6,17.7,95.2,52.2,27.6,24.1,41.3,92.9,4
22,22,3/10/23,CT,Texas,B12,TCU,N,"W, 66-60",109.5,83.4,66.8,98.8,42.4,15,32.4,33.9,89.8,42.4,21,31.7,25.4,95.8,4
23,23,12/6/22,N,Texas,B12,Illinois,N,"L, 85-78",108.6,97.9,71.4,97,47.1,17.4,28.9,27.5,105.8,53.3,21.2,27,51.7,76.7,2
24,24,2/4/23,C,Texas,B12,Kansas St.,A,"W, 69-66",108.1,88.8,70.4,97.9,49,24.1,28.1,47.1,93.7,50,27,27.6,40,90.6,-3
25,25,11/26/22,N,Texas,B12,UT Rio Grande Valley,H,"W, 91-54",107.2,76,77.1,118,52.8,14.3,36.4,30.6,70,36.1,28.5,29.3,50,98.1,16
26,26,3/1/23,C,Texas,B12,TCU,A,"L, 75-73",106.8,97.5,73.5,99.4,45.3,15,26.2,29.7,102.1,50.9,29.9,46.9,41.1,74.1,-8
27,27,1/14/23,C,Texas,B12,Texas Tech,H,"W, 72-70",104.4,94.9,71.4,100.8,50.9,19.6,18.8,45.3,98,46.7,21,35,33.3,75,-3
