#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/25/23,C,The Citadel,SC,Western Carolina,A,"W, 81-70",116,105.3,68,119.1,60.9,13.2,22.2,32.7,102.9,47.5,11.8,19.4,33.9,75.3,6
2,2,12/29/22,C,The Citadel,SC,Chattanooga,H,"W, 76-68",108.7,104.3,65.6,115.9,54.8,19.8,32.1,42.3,103.7,46.2,15.2,34.1,15.4,61.6,1
3,3,11/7/22,N,The Citadel,SC,Clemson,A,"L, 80-69",108.2,107.6,69.1,99.8,52.7,18.8,14.7,21.4,115.7,51.5,11.6,34.2,27.7,51.6,-6
4,4,12/17/22,N,The Citadel,SC,Longwood,H,"L, 75-70",107.9,121.9,63.8,109.7,59.4,17.2,17.9,18.9,117.5,50,17.2,40,41.1,19.8,-6
5,5,2/15/23,C,The Citadel,SC,Furman,H,"W, 69-65",105.6,98.2,62.9,109.6,50.9,15.9,31.2,20.7,103.3,51.8,19.1,32.4,23.6,69.8,-1
6,6,1/28/23,C,The Citadel,SC,Mercer,H,"L, 74-65",104.4,121,64.2,101.3,48.2,7.8,8.6,28.6,115.3,50.9,9.3,36.7,53.7,15.5,-2
7,7,2/22/23,C,The Citadel,SC,East Tennessee St.,A,"L, 78-70",103.9,125.3,65.2,107.4,47.3,13.8,25,36.4,119.7,57.7,16.9,32.3,48.1,10.4,-8
8,8,1/30/23,N,The Citadel,SC,Chicago St.,H,"L, 76-75",103.7,123.9,64.8,115.7,60.7,10.8,13.3,25,117.2,57.4,17,32.3,35.2,11.5,-3
9,9,12/20/22,N,The Citadel,SC,North Carolina Centr,A,"L, 81-74",102.6,110.8,75.6,97.8,52.5,22.5,24.2,25,107.1,52.7,19.8,34.4,61.8,29.2,-5
10,10,11/25/22,N,The Citadel,SC,IUPUI,N,"W, 74-53",102.2,84.4,65.7,112.7,50.8,21.3,44.1,19.7,80.7,40.6,21.3,22.2,26.4,90,17
11,11,2/2/23,C,The Citadel,SC,VMI,H,"L, 75-69",101.7,129.8,61.2,112.7,52.6,6.5,14.7,19,122.5,50.8,3.3,31.6,16.9,5.7,1
12,12,11/30/22,N,The Citadel,SC,Charleston Southern,A,"W, 76-73",101.6,108.1,67.6,112.4,54.1,11.8,14.3,59.2,107.9,50.8,14.8,28.9,33.3,33,-1
13,13,1/4/23,C,The Citadel,SC,Furman,A,"L, 97-72",101,118.3,73.3,98.2,45.8,10.9,16.7,50.8,132.3,69.1,15,20.8,43.6,14,-12
14,14,12/13/22,N,The Citadel,SC,North Carolina,A,"L, 100-67",100.6,115.8,77.1,86.9,45.8,15.6,20.9,6.9,129.7,60.8,15.6,37.1,41.5,16.5,-12
15,15,2/4/23,C,The Citadel,SC,UNC Greensboro,H,"L, 79-59",100.3,125.8,63.4,93.1,51,25.3,27.6,20,124.7,60.2,20.5,44.8,38.9,6.9,-10
16,16,11/24/22,N,The Citadel,SC,Denver,N,"L, 74-71",99.7,114,67.9,104.6,51.8,16.2,21.2,30.9,109,48.1,20.6,38.9,57.4,17.6,-2
17,17,11/10/22,N,The Citadel,SC,Presbyterian,H,"W, 70-58",98.7,109.2,63.7,109.9,55.5,15.7,21.4,20,91.1,41,17.3,38.1,24.6,23.9,0
18,18,2/18/23,C,The Citadel,SC,Wofford,H,"L, 72-68",98.3,112.2,62.7,108.5,63.8,25.5,24,27.7,114.8,52.5,14.4,36.4,18.3,18,-2
19,19,1/11/23,C,The Citadel,SC,East Tennessee St.,H,"L, 96-74",97.6,134.7,74.2,99.7,51.8,26.9,31.2,35.7,129.3,62.5,16.2,38.2,32.8,2.4,-11
20,20,2/11/23,C,The Citadel,SC,Samford,A,"L, 76-70",94.5,99.3,73.5,95.2,61,29.9,16,22,103.4,53.8,20.4,21.9,55.8,36.1,-5
21,21,1/14/23,C,The Citadel,SC,Western Carolina,H,"W, 65-61",94.5,99.1,64.9,100.1,47.3,10.8,13.9,25,93.9,42.6,15.4,28.2,18,36.5,1
22,22,1/19/23,C,The Citadel,SC,UNC Greensboro,A,"L, 70-60",91.2,108.5,67.4,89.1,48.9,28.2,22.6,53.3,103.9,49,19.3,30.3,51,12,-14
23,23,2/8/23,C,The Citadel,SC,Chattanooga,A,"L, 82-63",90.1,107.9,71,88.7,51,29.6,28.6,27.5,115.5,61.1,16.9,21.2,11.1,11.1,-7
