#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,Toledo,MAC,Buffalo,H,"W, 101-71",136.2,105.3,71.1,142,68.9,8.4,30,22.7,99.8,44.7,16.9,31.7,22.7,95,13
2,2,11/16/22,N,Toledo,MAC,Oakland,H,"W, 112-90",134.1,118.2,77.9,143.8,72.2,11.6,35.5,20.8,115.6,51.3,7.7,21.7,21.3,81,16
3,3,2/28/23,C,Toledo,MAC,Central Michigan,A,"W, 99-65",134.1,113.7,68.6,144.3,67,14.6,36.4,52.8,94.7,51,24.8,28.1,46,86.9,10
4,4,2/7/23,C,Toledo,MAC,Akron,A,"W, 84-74",130.3,107.3,65.8,127.7,61,12.2,28,56,112.5,49.2,15.2,35,16.7,90.3,5
5,5,2/21/23,C,Toledo,MAC,Akron,H,"W, 84-63",129.8,94,64.9,129.4,60.7,10.8,28.1,21.3,97.1,47.5,15.4,30.6,23.7,97.6,13
6,6,2/14/23,C,Toledo,MAC,Miami OH,H,"W, 89-71",128.6,113.3,64.5,138,56.7,7.8,32.3,69.2,110.1,55,14,22.6,10,81.1,12
7,7,3/9/23,CT,Toledo,MAC,Miami OH,N,"W, 91-75",128.4,111.9,67.4,135,65.5,14.8,35.7,47.3,111.3,47.4,17.8,36.4,38.6,83,12
8,8,3/11/23,CT,Toledo,MAC,Kent St.,N,"L, 93-78",127.3,128.6,68.2,114.4,48.3,13.2,35.1,45.8,136.4,63.9,16.1,41.9,32.8,47.2,-3
9,9,3/3/23,C,Toledo,MAC,Ball St.,A,"W, 87-81",127.1,112,68.4,127.3,63.3,10.2,17.9,20,118.5,58.8,14.6,25,33.3,81,6
10,10,11/23/22,N,Toledo,MAC,Northern Kentucky,N,"W, 82-69",125.9,100.6,67.9,120.8,57.4,22.1,46.9,23,101.6,51.8,23.6,34.3,26.3,92.9,12
11,11,1/6/23,C,Toledo,MAC,Western Michigan,H,"W, 102-74",124.8,110.7,71.3,143,62.7,11.2,33.3,46,103.7,45.2,15.4,34.1,37.1,79.9,13
12,12,12/20/22,N,Toledo,MAC,Vermont,A,"W, 84-72",124.6,96.2,69.7,120.5,60.7,15.8,31,21.3,103.3,50.8,8.6,15.4,13.6,95.2,8
13,13,12/17/22,N,Toledo,MAC,Marshall,A,"L, 100-85",124.2,123.4,74,114.9,52.1,10.8,35.6,25.4,135.2,54.8,9.5,37.5,32.9,51.7,-3
14,14,1/17/23,C,Toledo,MAC,Ohio,H,"W, 90-75",122,93.3,73.8,122,66.7,20.3,27.6,48.1,101.7,47.8,19,32.5,19.4,95.6,17
15,15,11/30/22,N,Toledo,MAC,Richmond,H,"W, 90-67",120,101.5,72.2,124.6,56.3,12.5,31.2,36.5,92.8,45.7,18,21.4,34.5,87.3,5
16,16,1/20/23,C,Toledo,MAC,Buffalo,A,"W, 86-77",119.5,107.8,71.8,119.7,57.7,15.3,34.3,26.2,107.2,52.4,18.1,30.6,25.8,76.5,4
17,17,2/4/23,C,Toledo,MAC,Central Michigan,H,"W, 84-59",119.4,97.6,67.9,123.7,54.9,11.8,31.4,32.8,86.9,57.9,30.9,13,68.4,91,18
18,18,12/6/22,N,Toledo,MAC,Northern Iowa,A,"W, 83-75",119.3,107.1,69.7,119.1,60.3,17.2,28.6,22.4,107.6,56,25.8,35.5,22.4,77.5,6
19,19,1/14/23,C,Toledo,MAC,Northern Illinois,A,"W, 84-67",118.3,94.2,71.7,117.1,50,16.7,37.8,67.9,93.4,49.1,22.3,23.1,45.3,93.2,13
20,20,1/31/23,C,Toledo,MAC,Miami OH,A,"W, 81-78",118,116,66.5,121.8,58.6,12,27.3,15.6,117.3,62.1,16.5,31,19,54.8,5
21,21,1/28/23,C,Toledo,MAC,Bowling Green,H,"W, 91-77",117.2,112.8,70.8,128.5,58.3,7.1,26.5,27.3,108.7,55.1,21.2,31.2,25.4,60.9,7
22,22,1/3/23,C,Toledo,MAC,Ball St.,H,"L, 90-83",115.4,132.3,68,122.1,57.8,5.9,9.4,37.9,132.4,61.9,14.7,40,33.9,17.3,-7
23,23,11/7/22,N,Toledo,MAC,Valparaiso,H,"W, 85-70",115.2,95.1,74.7,113.8,51.4,10.7,30.8,22.9,93.7,53.2,21.4,15.2,9.7,90,19
24,24,2/18/23,C,Toledo,MAC,Bowling Green,A,"W, 91-86",114.8,116.9,74.2,122.6,60.9,14.8,14.3,50.9,115.8,63.6,18.9,22.2,22,44.7,1
25,25,11/11/22,N,Toledo,MAC,UAB,N,"W, 93-85",111.8,95,85.6,108.6,57,22.2,32.4,43.8,99.3,47.9,25.7,40,30,86.7,-1
26,26,1/10/23,C,Toledo,MAC,Kent St.,A,"L, 75-63",109.4,109.2,64.4,97.9,48.2,17.1,29.4,22.8,116.5,45,9.3,44.4,25.7,50.5,-4
27,27,11/22/22,N,Toledo,MAC,East Carolina,N,"L, 86-75",108.9,122,71,105.6,49.2,14.1,25,29.5,121.1,57.6,16.9,42.3,37.3,21.4,-3
28,28,3/10/23,CT,Toledo,MAC,Ohio,N,"W, 82-75",108.4,96.5,73.8,111.1,58,16.3,17.9,41.1,101.6,45.7,23,45.5,20,79.1,5
29,29,1/24/23,C,Toledo,MAC,Eastern Michigan,H,"W, 84-79",107.8,122.1,69.3,121.1,52.5,5.8,18.4,41,113.9,64,15.9,11.1,14,19.3,-1
30,30,12/3/22,N,Toledo,MAC,George Mason,A,"L, 80-73",107.5,109.2,73.2,99.8,43.9,17.8,35.7,30.3,109.3,57.3,20.5,32.3,49.1,45.5,0
31,31,11/21/22,N,Toledo,MAC,UMKC,N,"L, 83-71",105.6,133.6,66.7,106.4,45.5,12,31.6,19.7,124.4,60,16.5,39.1,56,6.3,-3
32,32,2/11/23,C,Toledo,MAC,Eastern Michigan,A,"W, 70-63",94,95.4,68.5,102.2,43.4,20.4,43.2,32.8,92,46.2,19,28.2,4.6,45.8,2
