#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/7/23,C,Tulane,Amer,Temple,A,"W, 87-76",126.9,107.2,70,124.3,55.1,8.6,21.2,44.1,108.6,54.8,11.4,21.1,22.2,87.4,2
2,2,1/11/23,C,Tulane,Amer,SMU,A,"W, 97-88",123.2,111.5,80,121.3,65.3,16.3,10,30.6,110,52.1,20,42.9,32.9,75.9,2
3,3,3/5/23,C,Tulane,Amer,Temple,H,"W, 83-82",122.6,108.4,71.7,115.8,58.8,16.7,25,38.6,114.4,50,14,36.8,39.1,80.4,7
4,4,1/25/23,C,Tulane,Amer,Wichita St.,A,"W, 95-90",122.1,109,71.8,117.7,57.5,9.9,13.5,37.3,111.5,54.2,17.3,33.3,22.2,78.6,-6
5,5,1/1/23,C,Tulane,Amer,Memphis,H,"W, 96-89",121.3,99.2,84.2,114,57.5,20.2,25,56.7,105.7,50,16.6,27.9,44.1,91,1
6,6,2/7/23,C,Tulane,Amer,Cincinnati,H,"W, 101-94",120,104.9,77,116.5,55.9,15,25.7,42.6,108.5,47.6,10.4,26,21.7,82.4,-3
7,7,3/10/23,CT,Tulane,Amer,Wichita St.,N,"W, 82-76",118.9,99.6,73,112.3,54.1,15.1,25.7,34.4,104.1,43.2,9.6,32,26,88.5,5
8,8,12/10/22,N,Tulane,Amer,Buffalo,N,"W, 88-63",118,87,73.7,119.5,55.3,6.8,15.8,28.8,85.5,34.4,21.7,37.8,45.9,97.1,14
9,9,11/22/22,N,Tulane,Amer,Rhode Island,N,"W, 78-75",117.5,115.9,68.3,114.3,55.7,13.2,17.2,45.3,109.9,51.6,23.4,45.7,24.6,54,4
10,10,1/4/23,C,Tulane,Amer,Tulsa,H,"W, 93-77",115.8,109.3,75.4,123.3,65.5,13.3,10.3,34.5,102.1,57.8,22.5,24.2,10.9,66.2,9
11,11,11/16/22,N,Tulane,Amer,Charleston Southern,H,"W, 99-79",115.1,112.3,74.2,133.3,61.1,8.1,30.3,15.3,106.4,50,18.9,36.4,12.3,57.2,5
12,12,12/3/22,N,Tulane,Amer,Fordham,H,"L, 95-90",113,118.6,82.5,109.1,49.2,18.2,24.3,54.8,115.2,52.1,13.3,35.7,40.8,36.5,-1
