#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/24/23,C,Tulsa,Amer,East Carolina,A,"L, 76-66",113.1,119,62.3,106,53.9,14.5,18.2,35.3,122.1,55.6,17.7,43.3,38.9,35.7,0
2,2,11/17/22,N,Tulsa,Amer,Loyola Chicago,N,"W, 85-66",110.2,98.3,72.2,117.7,58.3,18,30,48.1,91.4,50.9,30.5,25,28.3,78.8,4
3,3,1/14/23,C,Tulsa,Amer,Wichita St.,A,"L, 73-69",109.8,96.1,69.6,99.2,55.2,23,26.7,13.8,104.9,47.2,17.2,26.7,49.1,82.3,7
4,4,1/29/23,C,Tulsa,Amer,Memphis,H,"L, 80-68",109.3,105,68.9,98.7,49.2,16,24.3,26.7,116.2,54,17.4,42.4,23.8,61.3,-4
5,5,11/18/22,N,Tulsa,Amer,Charlotte,N,"L, 68-65",107.7,114.6,59.6,109.1,55.5,20.1,33.3,7.3,114.1,52.5,16.8,41.9,15.3,32.8,-6
6,6,1/1/23,C,Tulsa,Amer,SMU,A,"L, 92-67",107.6,130,67.7,98.9,47.3,16.2,24.3,40,135.8,70.2,14.8,32,33.3,10.2,-7
7,7,1/4/23,C,Tulsa,Amer,Tulane,A,"L, 93-77",105.9,115.8,75.4,102.1,57.8,22.5,24.2,10.9,123.3,65.5,13.3,10.3,34.5,26.2,-9
8,8,11/7/22,N,Tulsa,Amer,Oregon St.,A,"L, 73-70",104.7,104.1,71.3,98.2,43.2,16.8,35,27.3,102.4,56,26.7,37.5,42,51.8,6
9,9,1/10/23,C,Tulsa,Amer,Temple,H,"L, 76-72",102.7,110.4,69.6,103.5,46.8,17.3,29.7,27.4,109.3,52.5,21.6,44.1,32.2,30.2,-7
10,10,2/11/23,C,Tulsa,Amer,UCF,A,"L, 96-52",101.2,133.6,63,82.6,41.3,25.4,37.8,32.7,152.5,67.9,4.8,31,9,3.9,-12
