#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,UAB,CUSA,Middle Tennessee,H,"W, 92-69",142.1,101.4,66.5,138.4,61.1,13.5,50,33.3,103.8,48.2,18.1,25.7,38.2,98,18
2,2,1/5/23,C,UAB,CUSA,Florida Atlantic,A,"L, 88-86",130.2,110.3,72.8,118.2,56.1,12.4,26.3,27.3,120.9,57.4,16.5,35.5,34.4,87.1,-1
3,3,3/10/23,CT,UAB,CUSA,North Texas,N,"W, 76-69",129.7,95.4,66.6,114.1,48.1,15,34.3,60.4,103.6,45,15,31.6,31.7,97.2,11
4,4,2/2/23,C,UAB,CUSA,Florida Atlantic,H,"W, 86-77",124.5,97.8,73.9,116.3,50,17.6,37.1,51.7,104.2,42.7,8.1,31.9,20,94.1,6
5,5,2/9/23,C,UAB,CUSA,North Texas,A,"L, 82-79",123.8,108.3,57,110.8,55.2,15.4,27.5,14.9,115,52.7,18.2,32.3,44.6,82.3,-1
6,6,11/22/22,N,UAB,CUSA,Georgia,N,"W, 87-73",122,108.6,69.5,124,53.5,10,37.8,16.9,104.1,46.2,21.4,43.9,24.2,79.4,3
7,7,12/31/22,C,UAB,CUSA,UTSA,H,"W, 90-67",121.3,102.8,68.7,131.1,58.2,16,45.7,41,97.6,40.8,18.9,34.1,36.7,87,12
8,8,2/16/23,C,UAB,CUSA,UTEP,A,"W, 79-66",119.8,100.3,69.1,114.4,61.8,30.4,48,37.3,95.5,44.5,21.7,40.5,23.4,88.6,6
9,9,1/14/23,C,UAB,CUSA,Louisiana Tech,A,"W, 81-74",119.5,112.1,66.7,121.5,44.4,12,43.8,56.5,111,54.2,18,25.8,68.8,67.5,0
10,10,11/7/22,N,UAB,CUSA,Alabama St.,H,"W, 111-70",118.7,102.8,83.5,133,60.2,13.2,32.4,70.3,83.8,37.5,18,29.1,21.1,84,15
11,11,12/14/22,N,UAB,CUSA,South Carolina,H,"W, 84-70",118,102.1,69.6,120.6,50.7,17.2,45.9,25.4,100.5,50.8,20.1,33.3,21.3,84.1,10
12,12,11/21/22,N,UAB,CUSA,South Florida,N,"W, 80-65",118,95.5,67.9,117.8,52.7,19.1,41.2,54.5,95.7,47.4,19.1,29.7,27.6,92,8
13,13,2/23/23,C,UAB,CUSA,Rice,H,"W, 85-57",114.9,75,71.6,118.8,55.5,16.8,37.8,31.2,79.7,37.1,16.8,21.7,25.8,99.3,24
14,14,3/4/23,C,UAB,CUSA,Charlotte,A,"W, 93-91",114.8,105.6,66.7,111.6,53.1,15.6,30.2,12.5,109.2,50.7,12,25.6,35.2,72.5,1
15,15,12/18/22,N,UAB,CUSA,Southern,H,"W, 92-66",112.4,86.4,82.1,112.1,52.3,20.7,40,50,80.4,41.5,18.3,17,30.8,95.4,21
