#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/26/23,C,UC Davis,BW,Cal St. Bakersfield,A,"W, 79-58",131.6,107,60,131.8,74.4,21.7,36.8,68.3,96.7,51.1,18.3,21.7,34.8,91.5,11
2,2,2/2/23,C,UC Davis,BW,Hawaii,H,"W, 75-63",119.1,104.6,64.6,116.1,71.6,24.8,16.7,36.4,97.5,51,20.1,21.4,27.5,81.6,4
3,3,2/18/23,C,UC Davis,BW,UC Irvine,A,"L, 78-76",115.6,111.5,68.7,110.6,44.5,14.6,41.5,34.4,113.5,51.7,21.8,44.1,35,60.4,-5
4,4,1/5/23,C,UC Davis,BW,UC Irvine,H,"L, 88-83",115,115.7,75.1,110.5,61.1,22.6,30,48.1,117.2,63.2,20,27.6,43.9,48.3,-3
5,5,1/16/23,C,UC Davis,BW,UC San Diego,A,"W, 78-70",113.2,107.9,66.2,117.9,54.1,19.7,48.4,21.3,105.8,65.6,25.7,20.8,31.2,63.6,2
6,6,3/2/23,C,UC Davis,BW,UC Santa Barbara,H,"L, 89-86",112.3,110.3,75.8,113.5,52.7,17.2,20,58.2,117.5,58.9,13.2,15.4,46.4,54.9,3
7,7,1/14/23,C,UC Davis,BW,Cal St. Fullerton,H,"W, 83-79",112,103.2,77.5,107.1,50.8,20.6,32.4,44.3,102,47.4,23.2,36.8,59.6,71.9,3
8,8,11/7/22,N,UC Davis,BW,California,A,"W, 75-65",107.3,101,70,107.1,53.6,18.6,34.4,41.1,92.8,42.9,20,31,23.8,66.7,4
9,9,1/19/23,C,UC Davis,BW,UC Riverside,H,"L, 74-72",106.8,109.9,66.6,108.1,48.4,15,35.1,29.5,111.2,51.7,19.5,36.4,27.6,41.9,0
10,10,11/26/22,N,UC Davis,BW,Milwaukee,A,"L, 87-85",104.5,111.2,79.6,106.8,56.6,23.9,40.6,41,109.3,58.3,25.1,33.3,43.3,32.9,-2
11,11,12/29/22,C,UC Davis,BW,Hawaii,A,"L, 74-66",103.8,104.1,70.5,93.6,44.8,21.3,27,31,105,56.9,21.3,23.3,43.1,49.2,0
12,12,11/22/22,N,UC Davis,BW,Sacramento St.,N,"W, 82-71",102.6,105.4,73,112.4,54.8,13.7,29.4,29,97.3,57,26,15.6,48,42.3,-4
13,13,1/21/23,C,UC Davis,BW,Cal Poly,H,"W, 65-63",101.8,118.4,61.9,105,45.4,21,44.7,51.9,101.7,55.7,32.3,48,40.9,15,-5
14,14,11/12/22,N,UC Davis,BW,Loyola Marymount,A,"L, 85-75",101.7,110.4,74.1,101.2,54.2,18.9,22.2,33.9,114.7,55,14.8,34.2,17.1,28.1,-8
15,15,2/20/23,C,UC Davis,BW,UC San Diego,H,"W, 76-66",101.3,95,71.3,106.5,46.6,11.2,28.6,58.6,92.5,45.5,22.4,22.9,32.1,67.6,6
16,16,2/11/23,C,UC Davis,BW,UC Santa Barbara,A,"L, 84-74",101.2,111.3,71.5,103.5,46.6,16.8,30.3,39.7,117.5,64.8,21,22.7,31.5,25,-10
17,17,11/18/22,N,UC Davis,BW,Arkansas St.,H,"W, 75-60",101,94.6,69,108.7,60.4,26.1,34.4,34,86.9,39.2,17.4,29.3,33.3,68.1,6
18,18,1/7/23,C,UC Davis,BW,Cal St. Bakersfield,H,"W, 67-48",100.8,83.9,64.8,103.4,48,20.1,29,43.1,74.1,40.2,30.9,27.3,32.6,89.1,10
