#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/19/23,C,UC Irvine,BW,Hawaii,H,"W, 76-68",120.8,103.4,67.3,113,51.7,14.9,33.3,32.2,101.1,47.3,19.3,29.7,35.7,85.7,8
2,2,1/7/23,C,UC Irvine,BW,Long Beach St.,H,"W, 87-70",120.8,96.5,72.2,120.5,60.1,19.4,35.3,5.8,97,41.2,15.2,39.5,29.4,92.9,12
3,3,11/26/22,N,UC Irvine,BW,New Mexico St.,N,"W, 85-68",120.6,97.6,69.6,122.2,61,17.3,28.1,27.1,97.8,46.6,14.4,24.3,33.9,91.9,12
4,4,1/5/23,C,UC Irvine,BW,UC Davis,A,"W, 88-83",120.1,110,75.1,117.2,63.2,20,27.6,43.9,110.5,61.1,22.6,30,48.1,73.3,3
5,5,3/10/23,CT,UC Irvine,BW,Cal St. Fullerton,N,"L, 83-80",119.4,120.6,69.8,114.6,61,20.1,27.6,56,118.9,61.5,20.1,27.6,50,47.3,-4
6,6,2/11/23,C,UC Irvine,BW,UC Riverside,H,"W, 83-64",118.7,94.5,68.1,122,61.7,11.8,20.7,21.7,94,42.4,17.6,35,39,93.2,10
7,7,12/15/22,N,UC Irvine,BW,Santa Clara,A,"L, 86-74",116,107.9,70.8,104.5,58.8,25.4,27.6,15.8,121.4,63.6,14.1,20.7,43.6,69.7,2
8,8,2/18/23,C,UC Irvine,BW,UC Davis,H,"W, 78-76",115.8,110.6,68.7,113.5,51.7,21.8,44.1,35,110.6,44.5,14.6,41.5,34.4,62.8,5
9,9,2/15/23,C,UC Irvine,BW,UC Santa Barbara,A,"W, 70-59",115.6,94.5,59.3,118,51.8,11.8,37.1,30.4,99.4,45,11.8,13.8,32,91,4
10,10,11/15/22,N,UC Irvine,BW,Loyola Marymount,H,"W, 79-64",113.7,89.2,69.4,113.8,52.5,11.5,27.8,36.1,92.2,44.5,18.7,25.7,40,94.2,11
11,11,3/2/23,C,UC Irvine,BW,UC Riverside,A,"W, 75-65",113.3,96.3,66.1,113.5,60.6,16.6,21.4,36.5,98.3,42.1,15.1,31.7,20.6,86.6,5
12,12,11/29/22,N,UC Irvine,BW,San Diego St.,A,"L, 72-69",112.3,92.2,71.6,96.4,50.9,22.4,22.6,25,100.6,51.7,19.6,29.4,34.5,90.6,-2
13,13,3/9/23,CT,UC Irvine,BW,Cal St. Bakersfield,N,"W, 75-51",111.1,83,67.5,111.1,54.2,19.3,34.3,23.3,75.6,37.9,19.3,27.5,11.3,96.6,15
14,14,12/10/22,N,UC Irvine,BW,South Dakota,A,"W, 83-71",109.8,104.5,69.8,119,59.5,12.9,24.2,36.2,101.8,49.2,15.8,24.3,30,63.9,5
15,15,2/4/23,C,UC Irvine,BW,Long Beach St.,A,"L, 93-88",109.6,105.8,74.7,104.7,50.7,13.1,21.6,28.6,110.7,45.1,21.4,47.7,52.1,60.1,4
16,16,12/31/22,C,UC Irvine,BW,Cal St. Bakersfield,A,"W, 79-75",109.5,116.4,71.5,110.5,61.2,18.2,20,127.5,104.9,44.9,11.2,21.1,45.8,32.9,-2
17,17,1/14/23,C,UC Irvine,BW,Cal St. Northridge,A,"W, 71-57",107.5,99.3,63.5,111.9,57.5,14.2,17.9,28.3,89.8,40.2,20.5,25,58.7,71.3,6
18,18,11/11/22,N,UC Irvine,BW,Oregon,A,"W, 69-56",107.2,69.9,70,98.5,47.7,14.3,22,15.4,80,36.5,21.4,28.2,53.8,99.3,12
19,19,1/11/23,C,UC Irvine,BW,Cal St. Fullerton,H,"W, 70-65",107.1,101.6,66.6,105.1,50,19.5,40,37.5,97.6,51.8,27,33.3,23.6,64.6,-1
20,20,1/28/23,C,UC Irvine,BW,Cal St. Northridge,H,"W, 81-56",105.9,88.9,71.6,113.1,58.7,20.9,27.6,46.2,78.2,33.6,22.3,31.7,43.1,88.1,13
21,21,12/3/22,N,UC Irvine,BW,Fresno St.,H,"L, 80-66",105,118.2,67,98.5,47.5,16.4,27.3,14.8,119.4,58.3,14.9,34.6,20,20.3,-3
22,22,2/23/23,C,UC Irvine,BW,UC San Diego,H,"L, 99-91",101.9,125.2,82.9,109.7,51.4,13.3,23.1,21.6,119.4,60.5,15.7,18.9,48.4,8.5,-10
23,23,1/26/23,C,UC Irvine,BW,Cal St. Fullerton,A,"L, 62-61",101.1,95.1,64.5,94.5,52.1,20.1,14.8,29.2,96.1,43.8,17,15.2,50,67,-1
24,24,2/25/23,C,UC Irvine,BW,Hawaii,A,"L, 72-67",100.4,97.5,73.6,91.1,45.5,13.6,17.9,15.2,97.9,45.7,13.6,16.2,41.4,58.3,1
25,25,11/25/22,N,UC Irvine,BW,Nicholls St.,N,"W, 83-56",100,83.6,76.4,108.6,52.4,23.6,50,41.3,73.3,31.4,15.7,12.5,37.3,88.8,7
26,26,2/2/23,C,UC Irvine,BW,UC San Diego,A,"W, 76-60",99.1,88.9,71.4,106.4,50,12.6,26.3,14.9,84,42.7,14,15.6,24.2,77.6,2
27,27,1/16/23,C,UC Irvine,BW,UC Santa Barbara,H,"L, 73-65",98.7,102.1,66.2,98.2,47.6,13.6,25,11.1,110.2,60.6,16.6,17.4,28.8,40.3,0
28,28,2/20/23,C,UC Irvine,BW,Cal Poly,A,"W, 59-56",92.5,97.6,64.3,91.8,45.7,23.3,21.4,38.3,87.1,38.2,14,22.5,34.5,35.3,0
29,29,2/9/23,C,UC Irvine,BW,Cal Poly,H,"W, 55-54",85.4,93.3,64.8,84.8,42.7,18.5,14.7,39.6,83.3,37.5,20.1,25.6,25,26.7,2
30,30,12/20/22,N,UC Irvine,BW,Harvard,H,"L, 62-57",84.3,95,69.3,82.2,39,15.9,22.5,27.1,89.4,40,23.1,35,28.3,20.1,-3
31,31,3/4/23,C,UC Irvine,BW,Cal St. Bakersfield,H,"W, 52-44",80.9,73.5,64.9,80.1,50,27.7,4.2,33.3,67.8,30.2,17,18.9,28.3,75.1,8
32,32,11/19/22,N,UC Irvine,BW,Pepperdine,A,"L, 64-55",80.2,85,71.4,77,32.1,21,37.3,25.4,89.6,44.9,16.8,8.3,59.2,33.8,0
