#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/10/23,CT,UC Riverside,BW,UC Santa Barbara,N,"L, 92-87",128.6,125.7,67.8,128.3,58.9,14.7,33.3,42.9,135.6,64.8,7.4,17.2,55.6,56.5,1
2,2,2/20/23,C,UC Riverside,BW,Cal St. Northridge,A,"W, 96-76",126.6,112.7,73.6,130.4,65.6,14.9,36.4,29.7,103.2,52.8,23.1,33.3,56.6,79.3,11
3,3,11/21/22,N,UC Riverside,BW,Weber St.,N,"W, 72-65",122,102.8,63.5,113.4,58.2,18.9,30.3,25.5,102.4,52.3,18.9,20,63.6,87.7,11
4,4,2/15/23,C,UC Riverside,BW,Long Beach St.,H,"W, 88-76",120.9,105.8,72.3,121.7,57.9,19.4,43.6,15.7,105.1,52.8,23.5,33.3,44.4,82.2,7
5,5,1/16/23,C,UC Riverside,BW,Cal Poly,H,"W, 83-78",120.2,130.9,60.6,121.8,56.7,13.2,28.6,31.7,114.5,60.5,17.6,17.9,15.8,27.3,1
6,6,2/18/23,C,UC Riverside,BW,UC Santa Barbara,H,"W, 74-63",114.7,102.6,60.8,121.8,58.2,16.5,34.6,18.2,103.7,53.9,19.7,24,15.7,78.2,2
7,7,1/19/23,C,UC Riverside,BW,UC Davis,A,"W, 74-72",113.1,108.5,66.6,111.2,51.7,19.5,36.4,27.6,108.1,48.4,15,35.1,29.5,61.8,0
8,8,2/2/23,C,UC Riverside,BW,Cal St. Bakersfield,A,"L, 82-76",112.3,124.6,62.3,108.5,55.2,17.1,33.3,41.4,117.1,60,17.1,16.7,73.3,23.1,1
9,9,12/11/22,N,UC Riverside,BW,Idaho,A,"W, 76-74",111.9,112.8,65.2,116.6,55.9,10.7,26.5,27.1,113.6,60.5,16.9,12,72.1,47.7,5
10,10,11/23/22,N,UC Riverside,BW,Abilene Christian,N,"W, 76-65",108.2,93.8,68.8,110.5,54.8,24.7,39.3,40.4,94.5,42.5,20.4,31,30,83.9,7
11,11,11/10/22,N,UC Riverside,BW,Loyola Marymount,A,"W, 81-79",106.8,102.5,75.3,107.6,55.5,19.9,25,52.7,105,57.9,15.9,14.7,15.9,61.5,-7
12,12,2/9/23,C,UC Riverside,BW,UC Davis,H,"W, 72-65",105.8,94.4,69.1,104.2,48.5,17.4,40,19.7,94.1,47.1,23.2,21.9,36.5,78.7,7
13,13,1/28/23,C,UC Riverside,BW,UC San Diego,H,"W, 72-65",104.7,106.4,64.1,112.3,55.3,15.6,32.3,24.6,101.4,52.8,15.6,20,34,45.3,1
14,14,12/20/22,N,UC Riverside,BW,San Diego,H,"L, 92-84",103.7,119.5,66,113.2,54.8,17.5,22.6,29,123.9,52.1,6.7,38.1,31.9,16.3,-4
15,15,12/29/22,C,UC Riverside,BW,Cal St. Bakersfield,H,"W, 71-59",103.2,108.8,64.3,110.4,50,24.9,50,50,91.8,37.5,15.6,34.1,17.2,35.5,-1
16,16,3/2/23,C,UC Riverside,BW,UC Irvine,H,"L, 75-65",103.1,111.4,66.1,98.3,42.1,15.1,31.7,20.6,113.5,60.6,16.6,21.4,36.5,29.1,-5
