#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/23/23,C,UC San Diego,BW,UC Irvine,A,"W, 99-91",130.5,102.9,82.9,119.4,60.5,15.7,18.9,48.4,109.7,51.4,13.3,23.1,21.6,93.9,10
2,2,2/15/23,C,UC San Diego,BW,Cal St. Fullerton,H,"L, 76-73",119.9,115.8,65.1,112.2,61.5,16.9,15.4,23.1,116.8,57.5,10.8,19.4,45.3,59.9,4
3,3,2/9/23,C,UC San Diego,BW,Hawaii,A,"L, 69-62",113.3,111.4,61.1,101.5,47.5,13.1,30.6,11.7,113,53.4,16.4,31.2,13.8,55,2
4,4,1/19/23,C,UC San Diego,BW,Cal Poly,A,"W, 71-64",111.7,112,64.1,110.8,52.5,7.8,16.1,13.3,99.9,57.7,25,23.1,9.6,49.3,2
5,5,1/21/23,C,UC San Diego,BW,Long Beach St.,H,"L, 112-110",111.2,115.6,71.2,112.4,53.2,11.2,19.1,46.8,114.4,50,18.4,44.2,37.1,39.2,-2
6,6,11/22/22,N,UC San Diego,BW,George Washington,A,"W, 75-70",110.1,95,67.1,111.9,59.3,19.4,28.1,38.9,104.4,51.8,17.9,31.2,26.3,84.4,9
7,7,11/7/22,N,UC San Diego,BW,Seattle,H,"L, 85-71",109.9,136.7,66.3,107.1,51.9,13.6,20.7,39.6,128.3,56.9,10.6,36.8,27.7,7.5,-10
8,8,11/15/22,N,UC San Diego,BW,California,H,"W, 64-62",109.7,105,61.1,104.8,49.1,18,35.3,17.9,101.5,44.6,16.4,18.5,52.2,62.3,9
9,9,2/25/23,C,UC San Diego,BW,UC Santa Barbara,H,"L, 87-71",109.5,126,64.6,109.9,55.7,13.9,18.8,4.9,134.6,67.8,12.4,28,13.6,16.5,-6
10,10,1/16/23,C,UC San Diego,BW,UC Davis,H,"L, 78-70",108.1,118.1,66.2,105.8,65.6,25.7,20.8,31.2,117.9,54.1,19.7,48.4,21.3,26.5,-2
11,11,12/29/22,C,UC San Diego,BW,Long Beach St.,A,"W, 85-83",105.4,99.7,72.9,103.7,45.1,13.4,26.7,30.6,101.3,45.4,14.6,31.9,26.3,65.5,0
12,12,1/28/23,C,UC San Diego,BW,UC Riverside,A,"L, 72-65",104.5,106.6,64.1,101.4,52.8,15.6,20,34,112.3,55.3,15.6,32.3,24.6,44.1,-1
13,13,2/18/23,C,UC San Diego,BW,Cal St. Northridge,H,"W, 75-62",103.6,103.4,67.9,110.5,51.9,13.3,19.4,40.7,91.3,39.8,16.2,25.6,51.9,50.5,6
14,14,12/31/22,C,UC San Diego,BW,UC Santa Barbara,A,"L, 82-61",102.5,113.3,63.7,95.8,55.3,25.1,25,29.8,128.7,62.5,15.7,33.3,16.7,24,-3
15,15,1/11/23,C,UC San Diego,BW,UC Riverside,H,"L, 74-68",101.9,104.1,68.1,99.8,48.2,11.7,15.2,24.6,108.6,49.2,20.6,39.5,24.6,44.1,6
16,16,2/4/23,C,UC San Diego,BW,Cal St. Bakersfield,H,"L, 75-69",100.3,117,61.9,99,48.2,17.2,15.2,30.4,107.6,59.8,20.1,17.9,60.9,14.6,2
17,17,11/18/22,N,UC San Diego,BW,Navy,A,"L, 78-69",97.5,103.2,66.4,92.4,50,24.1,22.9,25.9,104.5,44.7,14.7,37.5,17.3,34.2,-1
18,18,1/14/23,C,UC San Diego,BW,Cal St. Bakersfield,A,"L, 56-52",96.7,100.9,57.3,90.7,50,22.7,25,17.4,97.7,47.2,20.9,33.3,11.1,37.9,8
19,19,12/14/22,N,UC San Diego,BW,Nevada,A,"L, 64-56",95.7,89.4,65.4,85.7,41.5,12.2,12.8,13.6,97.9,50,15.3,15.6,46.9,68.6,-1
20,20,2/20/23,C,UC San Diego,BW,UC Davis,A,"L, 76-66",95.2,105.7,71.3,92.5,45.5,22.4,22.9,32.1,106.5,46.6,11.2,28.6,58.6,23.2,-6
21,21,11/27/22,N,UC San Diego,BW,Eastern Michigan,A,"W, 66-63",93.6,93.4,67.3,98.1,49.1,22.3,36.1,28.1,93.7,42.9,13.4,20,41.1,50.7,5
22,22,2/2/23,C,UC San Diego,BW,UC Irvine,H,"L, 76-60",92.7,100,71.4,84,42.7,14,15.6,24.2,106.4,50,12.6,26.3,14.9,29.4,-2
23,23,1/26/23,C,UC San Diego,BW,Cal St. Northridge,A,"W, 65-57",92.1,86.9,69.9,92.9,51.9,27.2,22.6,25,81.5,38.3,18.6,22,20,66.2,7
24,24,11/12/22,N,UC San Diego,BW,Sacramento St.,H,"L, 65-55",89.3,116,58.3,94.3,40,12,28.9,29.1,111.5,55.3,18.9,28.1,40.4,4.7,-6
25,25,1/5/23,C,UC San Diego,BW,Hawaii,H,"L, 62-49",86.6,107.7,59.8,81.9,42.2,21.7,25.8,17.6,103.6,58.8,23.4,26.9,5.9,7.5,-7
26,26,12/12/22,N,UC San Diego,BW,San Diego,A,"L, 84-58",84,114.7,67.2,86.3,47.1,29.8,30.3,23.1,125,62.1,7.4,18.2,19.4,2.7,-11
27,27,11/19/22,N,UC San Diego,BW,Youngstown St.,N,"L, 73-54",83.5,103.4,64.4,83.8,39.1,21.7,41.9,10.9,113.3,59,21.7,26.9,36,7.8,-6
28,28,12/20/22,N,UC San Diego,BW,San Diego St.,A,"L, 62-46",74.4,84.3,69.3,66.4,36,23.1,15,14,89.5,44.3,21.7,34.2,16.4,19.2,-14
