#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,C,UC Santa Barbara,BW,Hawaii,H,"W, 81-61",139.7,103.3,61.2,132.3,59.7,6.5,30,16.1,99.6,53.1,19.6,20.7,24.5,97,14
2,2,3/10/23,CT,UC Santa Barbara,BW,UC Riverside,N,"W, 92-87",132.4,128.4,67.8,135.6,64.8,7.4,17.2,55.6,128.3,58.9,14.7,33.3,42.9,58.7,-1
3,3,2/25/23,C,UC Santa Barbara,BW,UC San Diego,A,"W, 87-71",129.2,112.3,64.6,134.6,67.8,12.4,28,13.6,109.9,55.7,13.9,18.8,4.9,83.5,6
4,4,2/11/23,C,UC Santa Barbara,BW,UC Davis,H,"W, 84-74",119.7,103.4,71.5,117.5,64.8,21,22.7,31.5,103.5,46.6,16.8,30.3,39.7,84.2,10
5,5,2/2/23,C,UC Santa Barbara,BW,Cal Poly,H,"W, 68-62",119.2,121.7,57.2,118.8,65,14,17.4,67.5,108.3,55.4,21,28,30.4,44.1,5
6,6,3/2/23,C,UC Santa Barbara,BW,UC Davis,A,"W, 89-86",118.6,114.8,75.8,117.5,58.9,13.2,15.4,46.4,113.5,52.7,17.2,20,58.2,59.3,-3
7,7,12/3/22,N,UC Santa Barbara,BW,Pacific,H,"W, 82-71",116.4,104.8,67.3,121.8,65.2,19.3,33.3,32.1,105.5,50.8,19.3,38.5,27.9,77.1,5
8,8,12/31/22,C,UC Santa Barbara,BW,UC San Diego,H,"W, 82-61",116.2,105.1,63.7,128.7,62.5,15.7,33.3,16.7,95.8,55.3,25.1,25,29.8,75.9,3
9,9,11/23/22,N,UC Santa Barbara,BW,North Alabama,H,"W, 89-71",115.2,111.3,68.4,130.2,73.1,17.6,25,31.5,103.9,52.6,13.2,15.2,24.1,59.9,2
10,10,1/21/23,C,UC Santa Barbara,BW,Cal St. Bakersfield,H,"W, 76-58",114.9,102.5,64.3,118.2,60.3,21.8,37,15.5,90.2,55.6,21.8,4.8,20,78.8,9
11,11,1/16/23,C,UC Santa Barbara,BW,UC Irvine,A,"W, 73-65",114.1,97.7,66.2,110.2,60.6,16.6,17.4,28.8,98.2,47.6,13.6,25,11.1,85.7,0
12,12,12/29/22,C,UC Santa Barbara,BW,Cal St. Fullerton,A,"W, 66-58",113.6,92.3,62.2,106.2,50,17.7,25.9,41.7,93.3,44,33.8,46.4,64.3,91.6,5
13,13,1/26/23,C,UC Santa Barbara,BW,Hawaii,A,"W, 65-64",112.4,99.2,63.9,101.7,52.8,15.6,25,22.2,100.1,41.4,7.8,26.3,20.3,80.9,5
14,14,1/19/23,C,UC Santa Barbara,BW,Cal St. Northridge,H,"W, 72-52",110.4,103,59.4,121.1,63.3,20.2,36.4,20.4,87.5,37,20.2,32.4,27.8,69,6
15,15,12/17/22,N,UC Santa Barbara,BW,Portland St.,A,"W, 85-73",109.6,98.2,75.4,112.7,53.6,23.9,40.6,60,96.8,45.5,18.6,25.6,57.1,78,6
